Date,Open,High,Low,Close,Adj Close,Volume
2016-08-16,16878.660156,16887.570313,16596.509766,16596.509766,16596.509766,110000000
2016-08-17,16596.259766,16772.109375,16596.259766,16745.640625,16745.640625,117400000
2016-08-18,16649.910156,16714.609375,16481.410156,16486.009766,16486.009766,130400000
2016-08-19,16558.380859,16613.039063,16452.619141,16545.820313,16545.820313,121900000
2016-08-22,16599.259766,16631.230469,16540.939453,16598.189453,16598.189453,95300000
2016-08-23,16549.820313,16663.640625,16452.009766,16497.359375,16497.359375,107600000
2016-08-24,16550.210938,16648.070313,16544.390625,16597.300781,16597.300781,91100000
2016-08-25,16580.150391,16628.789063,16520.839844,16555.949219,16555.949219,92900000
2016-08-26,16485.550781,16490.529297,16320.429688,16360.709961,16360.709961,104600000
2016-08-29,16631.060547,16764.640625,16616.650391,16737.490234,16737.490234,113900000
2016-08-30,16690.980469,16752.160156,16677.849609,16725.359375,16725.359375,103700000
2016-08-31,16857.830078,16917.859375,16836.960938,16887.400391,16887.400391,150300000
2016-09-01,16885.160156,16941.179688,16864.560547,16926.839844,16926.839844,131500000
2016-09-02,16903.779297,16946.490234,16848.119141,16925.679688,16925.679688,116200000
2016-09-05,17131.519531,17156.359375,17009.210938,17037.630859,17037.630859,127400000
2016-09-06,17035.029297,17097.589844,17022.640625,17081.980469,17081.980469,108300000
2016-09-07,16937.380859,17024.259766,16903.199219,17012.439453,17012.439453,132500000
2016-09-08,16984.000000,17001.839844,16836.650391,16958.769531,16958.769531,111300000
2016-09-09,16994.369141,17029.779297,16902.089844,16965.759766,16965.759766,123900000
2016-09-12,16748.359375,16802.000000,16601.539063,16672.919922,16672.919922,112800000
2016-09-13,16764.650391,16787.060547,16658.400391,16729.039063,16729.039063,98200000
2016-09-14,16632.060547,16706.609375,16585.800781,16614.240234,16614.240234,116300000
2016-09-15,16512.419922,16528.019531,16359.780273,16405.009766,16405.009766,117800000
2016-09-16,16458.740234,16532.839844,16415.859375,16519.289063,16519.289063,127100000
2016-09-20,16403.220703,16591.699219,16403.220703,16492.150391,16492.150391,121500000
2016-09-21,16471.849609,16823.630859,16399.650391,16807.619141,16807.619141,191100000
2016-09-23,16759.839844,16808.589844,16725.529297,16754.019531,16754.019531,138000000
2016-09-26,16707.449219,16707.449219,16514.929688,16544.560547,16544.560547,102900000
2016-09-27,16390.910156,16683.929688,16285.410156,16683.929688,16683.929688,157100000
2016-09-28,16504.990234,16515.839844,16385.029297,16465.400391,16465.400391,112200000
2016-09-29,16606.300781,16756.429688,16584.140625,16693.710938,16693.710938,122700000
2016-09-30,16474.449219,16497.550781,16407.779297,16449.839844,16449.839844,124400000
2016-10-03,16566.029297,16652.160156,16554.830078,16598.669922,16598.669922,99200000
2016-10-04,16661.509766,16747.199219,16637.820313,16735.650391,16735.650391,100300000
2016-10-05,16787.890625,16844.349609,16728.189453,16819.240234,16819.240234,115100000
2016-10-06,16913.599609,16971.279297,16888.769531,16899.099609,16899.099609,110600000
2016-10-07,16883.119141,16895.130859,16820.210938,16860.089844,16860.089844,100300000
2016-10-11,16936.310547,17074.460938,16931.119141,17024.759766,17024.759766,111600000
2016-10-12,16850.730469,16951.539063,16839.410156,16840.000000,16840.000000,116300000
2016-10-13,16923.820313,16974.250000,16739.730469,16774.240234,16774.240234,111100000
2016-10-14,16751.039063,16866.560547,16727.779297,16856.369141,16856.369141,109400000
2016-10-17,16871.839844,16954.439453,16821.490234,16900.119141,16900.119141,95100000
2016-10-18,16862.310547,16966.900391,16844.169922,16963.609375,16963.609375,98600000
2016-10-19,16952.910156,17016.660156,16938.460938,16998.910156,16998.910156,101700000
