"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","07201","福島県","福島市","飯坂町","飯坂温泉","9",3200000,"","","190",,"ほぼ整形","13.0","75","昭和43年","木造","住宅","住宅","西","市道",2.0,"第１種住居地域",60,200,"2020年第３四半期","",""
2,"宅地(土地と建物)","住宅地","07201","福島県","福島市","飯坂町","飯坂温泉","13",10000000,"","","210",,"ほぼ台形","","65","昭和45年","木造","住宅","住宅","北","市道",6.0,"第１種住居地域",60,200,"2020年第３四半期","",""
3,"宅地(土地と建物)","住宅地","07201","福島県","福島市","飯坂町","飯坂温泉","7",18000000,"","","170",,"不整形","2.5","105","令和2年","木造","住宅","住宅","北","市道",10.5,"第１種住居地域",60,200,"2020年第３四半期","",""
4,"宅地(土地)","住宅地","07201","福島県","福島市","飯坂町平野","医王寺前","21",70000,"7100","","30",2200,"不整形","45.8","","","","","その他","北西","市道",2.5,"市街化調整区域",70,200,"2020年第３四半期","",""
5,"宅地(土地)","住宅地","07201","福島県","福島市","飯坂町平野","医王寺前","8",2500000,"28000","","290",8600,"長方形","23.0","","","","","","東","県道",8.5,"市街化調整区域",70,200,"2020年第３四半期","",""
6,"宅地(土地)","住宅地","07201","福島県","福島市","飯坂町平野","医王寺前","8",3100000,"62000","","165",19000,"不整形","19.0","","","","","","東","県道",8.5,"市街化調整区域",70,200,"2020年第３四半期","",""
7,"宅地(土地と建物)","住宅地","07201","福島県","福島市","飯坂町平野","医王寺前","8",21000000,"","","185",,"ほぼ整形","19.4","100","令和2年","木造","住宅","住宅","南","道路",6.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
8,"宅地(土地と建物)","住宅地","07201","福島県","福島市","飯坂町平野","医王寺前","4",6400000,"","","175",,"ほぼ台形","18.2","145","昭和60年","木造","住宅","住宅","南","市道",4.9,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
9,"宅地(土地と建物)","住宅地","07201","福島県","福島市","飯坂町平野","平野(福島)","8",7900000,"","","155",,"長方形","11.8","100","昭和54年","木造","住宅","住宅","南","市道",6.0,"準工業地域",60,200,"2020年第３四半期","",""
10,"宅地(土地)","住宅地","07201","福島県","福島市","飯坂町平野","平野(福島)","7",8400000,"160000","","180",47000,"ほぼ整形","14.8","","","","","","東","県道",9.0,"第１種住居地域",60,200,"2020年第３四半期","",""
