"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","12101","千葉県","千葉市中央区","青葉町","千葉寺","11",49000000,"","","200",,"ほぼ台形","9.0","270","平成16年","木造","住宅","住宅","南西","市道",6.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
2,"中古マンション等","","12101","千葉県","千葉市中央区","青葉町","千葉寺","14",14000000,"","３ＬＤＫ","85",,"","","","","","","住宅","","",,"",,,"2020年第３四半期","未改装",""
3,"宅地(土地)","住宅地","12101","千葉県","千葉市中央区","稲荷町","蘇我","11",24000000,"760000","","100",230000,"ほぼ長方形","11.0","","","","","住宅","南東","市道",6.0,"第１種住居地域",60,200,"2020年第３四半期","",""
4,"宅地(土地)","住宅地","12101","千葉県","千葉市中央区","亥鼻","本千葉","14",29000000,"330000","","290",100000,"不整形","7.5","","","","","その他","北東","市道",7.2,"近隣商業地域",80,200,"2020年第３四半期","",""
5,"宅地(土地と建物)","住宅地","12101","千葉県","千葉市中央区","亥鼻","本千葉","16",56000000,"","","200",,"ほぼ長方形","10.0","240","平成17年","木造","住宅、共同住宅","住宅","南東","市道",2.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
6,"宅地(土地)","商業地","12101","千葉県","千葉市中央区","今井","蘇我","4",52000000,"780000","","220",230000,"ほぼ台形","27.0","","","","","その他","南","市道",22.0,"商業地域",80,400,"2020年第３四半期","",""
7,"宅地(土地と建物)","商業地","12101","千葉県","千葉市中央区","今井","蘇我","3",23000000,"","","75",,"ほぼ長方形","","75","昭和51年","木造","住宅、店舗","店舗","南","市道",22.0,"商業地域",80,400,"2020年第３四半期","",""
8,"中古マンション等","","12101","千葉県","千葉市中央区","今井","蘇我","3",21000000,"","３ＬＤＫ","60",,"","","","平成9年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,400,"2020年第３四半期","",""
9,"宅地(土地と建物)","住宅地","12101","千葉県","千葉市中央区","今井町","蘇我","23",24000000,"","","195",,"ほぼ長方形","12.0","120","平成4年","軽量鉄骨造","共同住宅","住宅","西","市道",4.0,"第１種住居地域",60,200,"2020年第３四半期","","私道を含む取引"
10,"宅地(土地)","住宅地","12101","千葉県","千葉市中央区","鵜の森町","蘇我","15",7000000,"330000","","70",100000,"長方形","5.5","","","","","住宅","北","市道",4.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
11,"宅地(土地)","住宅地","12101","千葉県","千葉市中央区","鵜の森町","蘇我","15",7000000,"330000","","70",99000,"長方形","5.5","","","","","住宅","北","市道",4.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
12,"宅地(土地と建物)","住宅地","12101","千葉県","千葉市中央区","大森町","大森台","13",23000000,"","","180",,"長方形","11.0","100","平成31年","木造","住宅","住宅","南","市道",3.5,"第１種低層住居専用地域",60,150,"2020年第３四半期","",""
13,"宅地(土地)","住宅地","12101","千葉県","千葉市中央区","大森町","大森台","10",14000000,"250000","","180",77000,"不整形","10.0","","","","","","東","市道",5.6,"第１種低層住居専用地域",60,150,"2020年第３四半期","",""
14,"宅地(土地)","住宅地","12101","千葉県","千葉市中央区","大森町","大森台","8",9800000,"160000","","200",49000,"不整形","12.0","","","","","住宅","東","市道",2.0,"第１種住居地域",60,200,"2020年第３四半期","",""
15,"宅地(土地)","住宅地","12101","千葉県","千葉市中央区","大森町","大森台","11",12000000,"300000","","135",90000,"ほぼ台形","9.0","","","","","住宅","南","市道",4.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
16,"宅地(土地と建物)","住宅地","12101","千葉県","千葉市中央区","大森町","大森台","9",32000000,"","","135",,"長方形","10.0","90","令和3年","木造","住宅","住宅","北東","道路",6.0,"第１種低層住居専用地域",60,150,"2020年第３四半期","",""
17,"宅地(土地)","住宅地","12101","千葉県","千葉市中央区","大森町","大森台","4",17000000,"280000","","200",85000,"台形","13.0","","","","","住宅","北","市道",4.0,"第１種低層住居専用地域",60,150,"2020年第３四半期","",""
18,"宅地(土地と建物)","住宅地","12101","千葉県","千葉市中央区","生実町","学園前(千葉)","8",15000000,"","","210",,"不整形","","150","平成3年","木造","共同住宅","住宅","北","市道",,"第２種住居地域",60,200,"2020年第３四半期","",""
19,"宅地(土地と建物)","住宅地","12101","千葉県","千葉市中央区","生実町","蘇我","30分?60分",6000000,"","","135",,"ほぼ長方形","6.5","105","平成4年","軽量鉄骨造","共同住宅、事務所、倉庫","事務所","北","市道",4.6,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
20,"宅地(土地)","宅地見込地","12101","千葉県","千葉市中央区","生実町","蘇我","30分?60分",25000000,"30000","","2000㎡以上",9100,"不整形","","","","","","","西","市道",,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
