"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"中古マンション等","","14101","神奈川県","横浜市鶴見区","朝日町","安善","10",29000000,"","３ＬＤＫ","60",,"","","","平成11年","","","住宅","","",,"準工業地域",60,200,"2020年第３四半期","改装済",""
2,"宅地(土地と建物)","住宅地","14101","神奈川県","横浜市鶴見区","朝日町","京急鶴見","28",44000000,"","","65",,"ほぼ台形","7.1","105","令和2年","木造","住宅","住宅","南東","市道",9.5,"準工業地域",60,200,"2020年第３四半期","",""
3,"宅地(土地と建物)","商業地","14101","神奈川県","横浜市鶴見区","市場上町","鶴見市場","7",41000000,"","","45",,"ほぼ台形","7.6","70","令和2年","木造","住宅","住宅","北東","市道",10.0,"第１種住居地域",60,200,"2020年第３四半期","",""
4,"宅地(土地と建物)","住宅地","14101","神奈川県","横浜市鶴見区","市場東中町","鶴見市場","1",48000000,"","","60",,"長方形","7.0","90","令和2年","木造","住宅","","南西","私道",2.5,"第１種住居地域",60,200,"2020年第３四半期","","私道を含む取引"
5,"宅地(土地と建物)","住宅地","14101","神奈川県","横浜市鶴見区","市場東中町","鶴見市場","1",43000000,"","","55",,"ほぼ長方形","6.5","80","令和2年","木造","住宅","住宅","南西","私道",4.0,"第１種住居地域",60,200,"2020年第３四半期","","私道を含む取引"
6,"宅地(土地と建物)","住宅地","14101","神奈川県","横浜市鶴見区","市場東中町","鶴見市場","1",48000000,"","","65",,"台形","9.6","90","令和2年","木造","住宅","住宅","北西","市道",4.0,"第１種住居地域",60,200,"2020年第３四半期","","私道を含む取引"
7,"中古マンション等","","14101","神奈川県","横浜市鶴見区","市場富士見町","鶴見市場","5",6600000,"","１Ｋ","15",,"","","","昭和63年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2020年第３四半期","未改装",""
8,"中古マンション等","","14101","神奈川県","横浜市鶴見区","市場大和町","鶴見市場","8",10000000,"","３ＤＫ","40",,"","","","昭和61年","ＲＣ","","住宅","","",,"準住居地域",60,200,"2020年第３四半期","未改装",""
9,"宅地(土地と建物)","住宅地","14101","神奈川県","横浜市鶴見区","潮田町","京急鶴見","11",20000000,"","","35",,"ほぼ長方形","5.6","60","平成11年","木造","住宅","住宅","北","市道",7.0,"近隣商業地域",80,300,"2020年第３四半期","",""
10,"宅地(土地と建物)","住宅地","14101","神奈川県","横浜市鶴見区","潮田町","京急鶴見","12",23000000,"","","110",,"ほぼ台形","","95","昭和45年","木造","住宅","住宅","東","市道",3.5,"近隣商業地域",80,300,"2020年第３四半期","",""
11,"宅地(土地と建物)","住宅地","14101","神奈川県","横浜市鶴見区","潮田町","京急鶴見","13",34000000,"","","65",,"長方形","5.5","85","令和2年","木造","住宅","住宅","北","私道",3.2,"第１種住居地域",60,200,"2020年第３四半期","","私道を含む取引"
12,"中古マンション等","","14101","神奈川県","横浜市鶴見区","潮田町","鶴見","20",27000000,"","３ＬＤＫ","60",,"","","","平成22年","ＲＣ","","住宅","","",,"近隣商業地域",80,300,"2020年第３四半期","",""
13,"中古マンション等","","14101","神奈川県","横浜市鶴見区","江ケ崎町","尻手","15",30000000,"","３ＬＤＫ","75",,"","","","平成21年","","","住宅","","",,"工業地域",60,200,"2020年第３四半期","未改装",""
14,"中古マンション等","","14101","神奈川県","横浜市鶴見区","江ケ崎町","尻手","20",35000000,"","２ＬＤＫ","70",,"","","","平成19年","","","住宅","","",,"工業地域",60,200,"2020年第３四半期","",""
15,"宅地(土地と建物)","住宅地","14101","神奈川県","横浜市鶴見区","江ケ崎町","矢向","15",40000000,"","","50",,"不整形","2.7","95","","","","住宅","北","私道",5.5,"第１種住居地域",60,200,"2020年第３四半期","",""
16,"宅地(土地と建物)","住宅地","14101","神奈川県","横浜市鶴見区","江ケ崎町","矢向","15",42000000,"","","50",,"台形","4.0","90","","","","住宅","西","市道",6.7,"第１種住居地域",60,200,"2020年第３四半期","",""
17,"中古マンション等","","14101","神奈川県","横浜市鶴見区","江ケ崎町","矢向","9",42000000,"","３ＬＤＫ","65",,"","","","平成24年","","","住宅","","",,"準工業地域",60,200,"2020年第３四半期","",""
18,"宅地(土地と建物)","住宅地","14101","神奈川県","横浜市鶴見区","小野町","京急鶴見","20",30000000,"","","40",,"ほぼ長方形","5.2","70","令和2年","木造","住宅","住宅","北西","市道",4.5,"工業地域",60,200,"2020年第３四半期","",""
19,"宅地(土地と建物)","住宅地","14101","神奈川県","横浜市鶴見区","小野町","鶴見小野","4",50000000,"","","370",,"不整形","3.5","240","昭和61年","木造","共同住宅","住宅","東","市道",10.8,"準工業地域",60,200,"2020年第３四半期","",""
20,"宅地(土地と建物)","住宅地","14101","神奈川県","横浜市鶴見区","梶山","鶴見","30分?60分",56000000,"","","130",,"ほぼ長方形","11.2","95","平成4年","木造","住宅","住宅","西","市道",6.0,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
21,"宅地(土地と建物)","住宅地","14101","神奈川県","横浜市鶴見区","梶山","鶴見","30分?60分",26000000,"","","155",,"不整形","8.0","95","平成15年","木造","住宅","","南西","市道",5.0,"第１種低層住居専用地域",40,80,"2020年第３四半期","",""
22,"中古マンション等","","14101","神奈川県","横浜市鶴見区","梶山","鶴見","30分?60分",24000000,"","３ＬＤＫ","65",,"","","","平成21年","","","住宅","","",,"準住居地域",60,200,"2020年第３四半期","未改装",""
23,"中古マンション等","","14101","神奈川県","横浜市鶴見区","梶山","鶴見","30分?60分",19000000,"","３ＬＤＫ","65",,"","","","昭和56年","ＲＣ","住宅","事務所","","",,"準住居地域",60,200,"2020年第３四半期","改装済",""
24,"中古マンション等","","14101","神奈川県","横浜市鶴見区","梶山","鶴見","30分?60分",32000000,"","３ＬＤＫ","80",,"","","","平成15年","","","","","",,"第１種低層住居専用地域",40,80,"2020年第３四半期","未改装",""
25,"宅地(土地)","住宅地","14101","神奈川県","横浜市鶴見区","上末吉","尻手","26",7000000,"160000","","140",50000,"不整形","","","","","","住宅","南","市道",3.9,"第２種中高層住居専用地域",60,150,"2020年第３四半期","",""
26,"宅地(土地と建物)","住宅地","14101","神奈川県","横浜市鶴見区","上末吉","鶴見","30分?60分",28000000,"","","85",,"ほぼ長方形","5.2","100","平成18年","木造","住宅","事務所","南東","市道",4.8,"準住居地域",60,200,"2020年第３四半期","",""
27,"宅地(土地と建物)","住宅地","14101","神奈川県","横浜市鶴見区","上末吉","鶴見","30分?60分",36000000,"","","60",,"ほぼ台形","9.6","95","令和2年","木造","住宅","住宅","北東","市道",4.9,"第１種住居地域",60,200,"2020年第３四半期","",""
28,"宅地(土地)","住宅地","14101","神奈川県","横浜市鶴見区","上末吉","鶴見","30分?60分",21000000,"580000","","120",170000,"ほぼ台形","4.0","","","","","住宅","南東","私道",4.0,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
29,"宅地(土地と建物)","住宅地","14101","神奈川県","横浜市鶴見区","上末吉","鶴見","30分?60分",28000000,"","","45",,"長方形","4.1","80","令和2年","木造","住宅","","北東","市道",5.0,"第１種住居地域",60,200,"2020年第３四半期","",""
30,"宅地(土地)","住宅地","14101","神奈川県","横浜市鶴見区","上末吉","鶴見","30分?60分",42000000,"1000000","","140",300000,"袋地等","3.5","","","","","住宅","南","市道",6.0,"第１種住居地域",60,200,"2020年第３四半期","",""
31,"宅地(土地)","住宅地","14101","神奈川県","横浜市鶴見区","上末吉","鶴見","30分?60分",20000000,"1000000","","65",300000,"長方形","9.0","","","","","住宅","南","市道",6.0,"第１種住居地域",60,200,"2020年第３四半期","",""
32,"宅地(土地と建物)","住宅地","14101","神奈川県","横浜市鶴見区","上末吉","鶴見","30分?60分",46000000,"","","140",,"ほぼ長方形","13.0","100","令和3年","木造","住宅","住宅","南西","私道",3.0,"第１種住居地域",60,200,"2020年第３四半期","",""
33,"中古マンション等","","14101","神奈川県","横浜市鶴見区","上末吉","鶴見","30分?60分",22000000,"","３ＬＤＫ","60",,"","","","平成19年","","","住宅","","",,"第１種住居地域",60,200,"2020年第３四半期","未改装",""
34,"宅地(土地と建物)","住宅地","14101","神奈川県","横浜市鶴見区","上末吉","矢向","30分?60分",31000000,"","","50",,"ほぼ長方形","9.0","75","令和2年","木造","","事務所","南","市道",5.0,"第１種住居地域",60,200,"2020年第３四半期","",""
35,"宅地(土地と建物)","住宅地","14101","神奈川県","横浜市鶴見区","上の宮","菊名","10",110000000,"","","230",,"ほぼ台形","13.0","200","令和2年","木造","共同住宅","住宅","西","市道",4.0,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
36,"宅地(土地と建物)","住宅地","14101","神奈川県","横浜市鶴見区","上の宮","菊名","9",16000000,"","","70",,"ほぼ長方形","7.0","80","平成20年","木造","住宅","住宅","北西","市道",3.8,"第１種住居地域",60,200,"2020年第３四半期","",""
37,"宅地(土地と建物)","住宅地","14101","神奈川県","横浜市鶴見区","上の宮","菊名","13",50000000,"","","100",,"長方形","6.0","100","令和2年","木造","住宅","住宅","南西","市道",6.7,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
38,"宅地(土地と建物)","住宅地","14101","神奈川県","横浜市鶴見区","上の宮","菊名","11",40000000,"","","105",,"ほぼ台形","10.5","100","平成10年","木造","住宅","住宅","南西","私道",4.5,"第１種住居地域",60,200,"2020年第３四半期","",""
39,"宅地(土地と建物)","住宅地","14101","神奈川県","横浜市鶴見区","上の宮","菊名","11",120000000,"","","310",,"袋地等","3.0","195","令和3年","木造","住宅","住宅","南","市道",4.0,"第１種住居地域",60,200,"2020年第３四半期","",""
40,"宅地(土地と建物)","住宅地","14101","神奈川県","横浜市鶴見区","上の宮","菊名","15",47000000,"","","125",,"不整形","7.8","95","令和3年","木造","住宅","住宅","南東","私道",4.0,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
