"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","18201","福井県","福井市","明里町","福井(福井)","30分?60分",990000,"","","90",,"ほぼ長方形","5.0","75","昭和40年","木造","住宅","その他","南","市道",9.0,"第１種住居地域",60,200,"2020年第３四半期","",""
2,"宅地(土地)","住宅地","18201","福井県","福井市","足羽","福井(福井)","22",8300000,"150000","","175",47000,"ほぼ長方形","10.0","","","","","その他","北","市道",11.0,"第１種住居地域",60,200,"2020年第３四半期","",""
3,"宅地(土地)","住宅地","18201","福井県","福井市","足羽","福井(福井)","30分?60分",10000000,"130000","","260",38000,"ほぼ長方形","10.0","","","","","","南","市道",11.0,"第２種中高層住居専用地域",60,200,"2020年第３四半期","",""
4,"宅地(土地と建物)","住宅地","18201","福井県","福井市","石盛","森田","20",21000000,"","","175",,"長方形","8.5","105","令和2年","","住宅","住宅","南","市道",6.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
5,"宅地(土地と建物)","商業地","18201","福井県","福井市","石盛町","森田","20",18000000,"","","510",,"ほぼ長方形","15.5","200","昭和62年","","工場","工場","南","市道",16.0,"工業地域",60,200,"2020年第３四半期","",""
6,"宅地(土地と建物)","住宅地","18201","福井県","福井市","板垣","福井(福井)","30分?60分",25000000,"","","240",,"長方形","9.7","130","平成23年","木造","住宅","住宅","南","市道",6.0,"第１種低層住居専用地域",50,80,"2020年第３四半期","",""
7,"宅地(土地)","住宅地","18201","福井県","福井市","今市町","ハーモニーホール","4",13000000,"44000","","980",13000,"長方形","18.2","","","","","","北西","市道",6.0,"市街化調整区域",60,200,"2020年第３四半期","",""
8,"宅地(土地と建物)","住宅地","18201","福井県","福井市","上野本町","森田","30分?60分",27000000,"","","230",,"ほぼ長方形","10.0","120","平成31年","","住宅","住宅","南","区画街路",6.0,"第１種住居地域",60,200,"2020年第３四半期","",""
9,"宅地(土地)","住宅地","18201","福井県","福井市","上野本町","森田","19",8100000,"140000","","190",42000,"ほぼ長方形","9.6","","","","","","南","区画街路",6.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
10,"宅地(土地)","住宅地","18201","福井県","福井市","上野本町","森田","24",9000000,"160000","","180",50000,"ほぼ長方形","18.0","","","","","住宅","西","市道",6.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
