"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","20201","長野県","長野市","青木島","川中島","30分?60分",13000000,"160000","","280",48000,"長方形","10.0","","","","","住宅","北","市道",4.0,"第２種中高層住居専用地域",60,200,"2020年第３四半期","",""
2,"宅地(土地)","住宅地","20201","長野県","長野市","青木島町","川中島","30分?60分",13000000,"230000","","190",70000,"長方形","11.0","","","","","住宅","南","道路",5.0,"第２種中高層住居専用地域",60,200,"2020年第３四半期","",""
3,"宅地(土地)","住宅地","20201","長野県","長野市","青木島町","川中島","30分?60分",14000000,"190000","","230",58000,"ほぼ長方形","18.5","","","","","住宅","南東","市道",4.5,"市街化調整区域",60,200,"2020年第３四半期","",""
4,"宅地(土地)","宅地見込地","20201","長野県","長野市","青木島町","川中島","30分?60分",3000000,"16000","","620",4800,"長方形","12.0","","","","","","北東","市道",5.0,"市街化調整区域",60,200,"2020年第３四半期","",""
5,"宅地(土地)","宅地見込地","20201","長野県","長野市","青木島町","川中島","30分?60分",2200000,"10000","","730",3000,"ほぼ長方形","9.8","","","","","","北東","市道",5.0,"市街化調整区域",60,200,"2020年第３四半期","",""
6,"宅地(土地)","宅地見込地","20201","長野県","長野市","青木島町","川中島","30分?60分",1800000,"10000","","610",3000,"ほぼ長方形","9.5","","","","","","北東","市道",5.0,"市街化調整区域",60,200,"2020年第３四半期","",""
7,"宅地(土地と建物)","商業地","20201","長野県","長野市","青木島町","川中島","30分?60分",10000000,"","","290",,"ほぼ長方形","10.5","130","平成3年","","共同住宅、事務所、作業場","店舗","北東","市道",16.0,"第２種住居地域",60,200,"2020年第３四半期","",""
8,"宅地(土地と建物)","住宅地","20201","長野県","長野市","青木島町","川中島","30分?60分",36000000,"","","195",,"台形","14.0","110","令和3年","","","住宅","東","市道",3.6,"第１種低層住居専用地域",50,80,"2020年第３四半期","",""
9,"宅地(土地と建物)","住宅地","20201","長野県","長野市","青木島町","川中島","30分?60分",26000000,"","","370",,"不整形","13.0","390","平成5年","鉄骨造","共同住宅","住宅","南西","道路",4.7,"第２種中高層住居専用地域",60,200,"2020年第３四半期","",""
10,"宅地(土地と建物)","住宅地","20201","長野県","長野市","青木島町","川中島","30分?60分",20000000,"","","110",,"不整形","24.0","85","令和2年","木造","住宅","住宅","南","市道",6.0,"第２種中高層住居専用地域",60,200,"2020年第３四半期","",""
