"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"中古マンション等","","27102","大阪府","大阪市都島区","網島町","大阪城北詰","3",16000000,"","１Ｋ","20",,"","","","平成27年","ＲＣ","住宅","住宅","","",,"第２種住居地域",80,300,"2020年第３四半期","未改装",""
2,"中古マンション等","","27102","大阪府","大阪市都島区","網島町","大阪城北詰","5",30000000,"","１ＬＤＫ","85",,"","","","昭和50年","ＳＲＣ","住宅","住宅","","",,"第２種住居地域",80,300,"2020年第３四半期","改装済",""
3,"宅地(土地と建物)","住宅地","27102","大阪府","大阪市都島区","内代町","野江内代","7",3800000,"","","35",,"ほぼ長方形","3.2","","","","住宅","住宅","西","市道",6.0,"第１種住居地域",80,300,"2020年第３四半期","",""
4,"宅地(土地)","商業地","27102","大阪府","大阪市都島区","片町","大阪城北詰","1",300000000,"3100000","","320",950000,"長方形","10.2","","","","","住宅","北","府道",27.0,"商業地域",80,400,"2020年第３四半期","",""
5,"中古マンション等","","27102","大阪府","大阪市都島区","片町","大阪城北詰","1",6000000,"","１Ｋ","15",,"","","","平成10年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2020年第３四半期","未改装",""
6,"宅地(土地と建物)","住宅地","27102","大阪府","大阪市都島区","毛馬町","城北公園通","14",35000000,"","","85",,"長方形","7.3","95","平成29年","木造","住宅","","南","私道",4.0,"第２種中高層住居専用地域",60,200,"2020年第３四半期","",""
7,"宅地(土地)","住宅地","27102","大阪府","大阪市都島区","毛馬町","城北公園通","14",22000000,"690000","","105",210000,"ほぼ長方形","11.3","","","","","その他","西","市道",11.0,"第１種住居地域",80,200,"2020年第３四半期","","私道を含む取引"
8,"宅地(土地)","住宅地","27102","大阪府","大阪市都島区","毛馬町","城北公園通","11",950000,"95000","","35",29000,"長方形","2.9","","","","","","東","私道",2.1,"第１種住居地域",80,200,"2020年第３四半期","","私道を含む取引"
9,"宅地(土地)","住宅地","27102","大阪府","大阪市都島区","毛馬町","城北公園通","13",26000000,"500000","","175",150000,"不整形","10.8","","","","","住宅","南","市道",6.0,"第２種中高層住居専用地域",60,200,"2020年第３四半期","",""
10,"宅地(土地と建物)","住宅地","27102","大阪府","大阪市都島区","毛馬町","城北公園通","13",120000000,"","","200",,"長方形","8.8","280","令和2年","木造","共同住宅","住宅","北西","市道",6.0,"第２種中高層住居専用地域",60,200,"2020年第３四半期","",""
