"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"中古マンション等","","37201","香川県","高松市","茜町","昭和町(香川)","13",6500000,"","３ＬＤＫ","60",,"","","","平成2年","ＳＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2020年第３四半期","改装済",""
2,"宅地(土地)","工業地","37201","香川県","高松市","庵治町","八栗","1H?1H30",8100000,"63000","","420",19000,"ほぼ台形","18.5","","","","","その他","南","市道",4.5,"都市計画区域外",,,"2020年第３四半期","",""
3,"宅地(土地と建物)","住宅地","37201","香川県","高松市","庵治町","八栗","1H?1H30",1000000,"","","220",,"ほぼ台形","19.0","55","昭和39年","木造","","その他","東","市道",4.0,"都市計画区域外",,,"2020年第３四半期","",""
4,"宅地(土地と建物)","住宅地","37201","香川県","高松市","庵治町","八栗","1H?1H30",9800000,"","","770",,"ほぼ台形","14.0","160","昭和56年","木造","住宅","住宅","北東","道路",3.5,"都市計画区域外",,,"2020年第３四半期","",""
5,"宅地(土地と建物)","工業地","37201","香川県","高松市","庵治町","八栗","30分?60分",1800000,"","","670",,"ほぼ長方形","31.5","25","平成6年","軽量鉄骨造","事務所","","北西","市道",4.0,"都市計画区域外",,,"2020年第３四半期","",""
6,"宅地(土地と建物)","工業地","37201","香川県","高松市","庵治町","八栗","29",15000000,"","","1300",,"ほぼ長方形","14.0","450","平成5年","鉄骨造","工場","工場","南東","市道",9.3,"都市計画区域外",,,"2020年第３四半期","",""
7,"林地","","37201","香川県","高松市","庵治町","","",24000,"","","720",,"","","","","","","","","",,"",,,"2020年第３四半期","",""
8,"宅地(土地と建物)","住宅地","37201","香川県","高松市","飯田町","鬼無","21",110000000,"","","1200",,"ほぼ台形","21.0","490","平成24年","軽量鉄骨造","共同住宅","住宅","東","県道",20.0,"市街化区域及び市街化調整区域外の都市計画区域",60,200,"2020年第３四半期","",""
9,"宅地(土地)","住宅地","37201","香川県","高松市","飯田町","鬼無","19",4700000,"75000","","200",23000,"ほぼ長方形","12.0","","","","","住宅","北","市道",6.5,"市街化区域及び市街化調整区域外の都市計画区域",60,100,"2020年第３四半期","",""
10,"宅地(土地と建物)","住宅地","37201","香川県","高松市","生島町","香西","1H?1H30",2800000,"","","290",,"ほぼ台形","18.0","125","","木造","住宅","住宅","東","市道",2.5,"市街化区域及び市街化調整区域外の都市計画区域",60,100,"2020年第３四半期","",""
