"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","38201","愛媛県","松山市","浅海原","浅海","12",6500000,"","","450",,"台形","18.0","75","平成24年","","住宅","住宅","北","市道",4.5,"都市計画区域外",,,"2020年第３四半期","",""
2,"農地","","38201","愛媛県","松山市","浅海原","","",5000,"","","200",,"","","","","","","","","",,"",,,"2020年第３四半期","",""
3,"宅地(土地)","住宅地","38201","愛媛県","松山市","浅海本谷","浅海","2",2400000,"30000","","270",9000,"台形","16.0","","","","","その他","南東","国道",14.0,"都市計画区域外",,,"2020年第３四半期","",""
4,"農地","","38201","愛媛県","松山市","浅海本谷","","",1300000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"2020年第３四半期","",""
5,"宅地(土地と建物)","商業地","38201","愛媛県","松山市","旭町","勝山町","8",5200000,"","","170",,"長方形","18.0","25","","木造","住宅","その他","接面道路無","",,"近隣商業地域",80,300,"2020年第３四半期","",""
6,"宅地(土地)","宅地見込地","38201","愛媛県","松山市","朝生田町","いよ立花","13",6000000,"110000","","180",34000,"長方形","11.0","","","","","その他","西","市道",4.0,"近隣商業地域",80,300,"2020年第３四半期","",""
7,"宅地(土地)","住宅地","38201","愛媛県","松山市","朝生田町","いよ立花","8",15000000,"360000","","135",110000,"長方形","15.0","","","","","住宅","東","市道",5.3,"第１種住居地域",60,200,"2020年第３四半期","",""
8,"中古マンション等","","38201","愛媛県","松山市","朝生田町","いよ立花","10",23000000,"","４ＬＤＫ","100",,"","","","平成13年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2020年第３四半期","改装済",""
9,"宅地(土地)","住宅地","38201","愛媛県","松山市","天山","いよ立花","11",52000000,"200000","","880",59000,"ほぼ長方形","21.0","","","","","店舗","西","国道",24.0,"近隣商業地域",80,200,"2020年第３四半期","",""
10,"宅地(土地)","住宅地","38201","愛媛県","松山市","安城寺町","伊予和気","5",7200000,"120000","","200",35000,"不整形","4.0","","","","","住宅","北","私道",4.0,"第１種住居地域",60,200,"2020年第３四半期","","私道を含む取引"
11,"宅地(土地)","住宅地","38201","愛媛県","松山市","居相","市坪","30分?60分",2700000,"270000","","35",82000,"ほぼ長方形","1.9","","","","","住宅","接面道路無","",,"第１種低層住居専用地域",50,80,"2020年第３四半期","",""
12,"宅地(土地)","住宅地","38201","愛媛県","松山市","居相","市坪","28",7500000,"99000","","250",30000,"ほぼ長方形","","","","","","住宅","北","私道",4.0,"第１種低層住居専用地域",50,80,"2020年第３四半期","","私道を含む取引"
13,"宅地(土地)","住宅地","38201","愛媛県","松山市","居相","市坪","28",9000000,"280000","","105",86000,"長方形","6.5","","","","","住宅","北","私道",4.0,"第１種低層住居専用地域",50,80,"2020年第３四半期","",""
14,"宅地(土地)","住宅地","38201","愛媛県","松山市","居相","市坪","29",22000000,"310000","","230",94000,"長方形","18.5","","","","","住宅","東","私道",4.0,"第１種低層住居専用地域",50,80,"2020年第３四半期","",""
15,"宅地(土地)","住宅地","38201","愛媛県","松山市","居相","いよ立花","30分?60分",15000000,"300000","","165",91000,"長方形","13.9","","","","","住宅","西","私道",4.3,"第１種低層住居専用地域",50,80,"2020年第３四半期","",""
16,"宅地(土地)","住宅地","38201","愛媛県","松山市","石手","道後温泉","21",7000000,"100000","","230",30000,"ほぼ台形","8.4","","","","","住宅","南西","私道",4.5,"第２種住居地域",60,200,"2020年第３四半期","","私道を含む取引"
17,"宅地(土地と建物)","住宅地","38201","愛媛県","松山市","石手白石","道後温泉","26",21000000,"","","240",,"不整形","18.0","180","昭和62年","軽量鉄骨造","共同住宅","住宅","東","私道",4.0,"第１種低層住居専用地域",50,80,"2020年第３四半期","",""
18,"宅地(土地)","住宅地","38201","愛媛県","松山市","石風呂町","港山","29",7800000,"140000","","190",41000,"長方形","12.8","","","","","住宅","北","市道",6.3,"第１種低層住居専用地域",50,80,"2020年第３四半期","",""
19,"宅地(土地と建物)","住宅地","38201","愛媛県","松山市","市坪南","市坪","5",29000000,"","","125",,"ほぼ台形","9.0","100","令和2年","木造","住宅","住宅","東","私道",4.0,"第２種中高層住居専用地域",60,200,"2020年第３四半期","",""
20,"宅地(土地)","住宅地","38201","愛媛県","松山市","市坪南","市坪","8",15000000,"330000","","150",100000,"長方形","9.0","","","","","住宅","南","私道",4.3,"第２種中高層住居専用地域",60,200,"2020年第３四半期","",""
21,"中古マンション等","","38201","愛媛県","松山市","一番町","勝山町","2",29000000,"","３ＬＤＫ","65",,"","","","平成30年","ＲＣ","","住宅","","",,"商業地域",80,500,"2020年第３四半期","未改装",""
22,"宅地(土地と建物)","住宅地","38201","愛媛県","松山市","和泉南","市坪","16",27000000,"","","470",,"ほぼ長方形","","120","","木造","住宅","住宅","南","私道",4.0,"第１種低層住居専用地域",,,"2020年第３四半期","","調停・競売等"
