"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","42201","長崎県","長崎市","青山町","浦上","29",5500000,"","","165",,"ほぼ台形","9.0","105","昭和50年","木造","住宅","住宅","北","道路",1.3,"第１種住居地域",60,200,"2020年第３四半期","",""
2,"中古マンション等","","42201","長崎県","長崎市","赤迫","西浦上","6",28000000,"","３ＬＤＫ","75",,"","","","平成22年","ＲＣ","","住宅","","",,"商業地域",80,400,"2020年第３四半期","改装済",""
3,"宅地(土地と建物)","商業地","42201","長崎県","長崎市","飽の浦町","長崎(長崎)","23",30000000,"","","100",,"ほぼ長方形","10.5","140","昭和58年","鉄骨造","事務所、駐車場","事務所","西","市道",6.0,"近隣商業地域",80,300,"2020年第３四半期","",""
4,"宅地(土地と建物)","住宅地","42201","長崎県","長崎市","愛宕","長崎(長崎)","30分?60分",4200000,"","","90",,"ほぼ正方形","9.1","40","昭和48年","木造","住宅","住宅","南","私道",1.2,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
5,"宅地(土地と建物)","住宅地","42201","長崎県","長崎市","愛宕","長崎(長崎)","30分?60分",2300000,"","","65",,"ほぼ長方形","10.0","70","昭和52年","木造","住宅","住宅","東","道路",2.0,"第１種住居地域",60,200,"2020年第３四半期","",""
6,"宅地(土地)","住宅地","42201","長崎県","長崎市","愛宕","長崎(長崎)","30分?60分",14000000,"76000","","590",23000,"不整形","","","","","","","東","市道",3.0,"第１種低層住居専用地域",50,100,"2020年第３四半期","","私道を含む取引"
7,"宅地(土地)","商業地","42201","長崎県","長崎市","油屋町","長崎(長崎)","21",40000000,"1700000","","75",520000,"長方形","7.5","","","","","工場","北東","国道",6.5,"商業地域",80,500,"2020年第３四半期","",""
8,"宅地(土地と建物)","住宅地","42201","長崎県","長崎市","石神町","西浦上","22",140000000,"","","380",,"ほぼ台形","","700","平成15年","ＲＣ","共同住宅、駐車場","住宅","南東","市道",4.0,"第２種住居地域",60,200,"2020年第３四半期","",""
9,"宅地(土地と建物)","住宅地","42201","長崎県","長崎市","石神町","西浦上","23",12000000,"","","125",,"ほぼ長方形","","","","","","住宅","南東","市道",4.0,"第２種住居地域",60,200,"2020年第３四半期","",""
10,"宅地(土地)","住宅地","42201","長崎県","長崎市","石神町","西浦上","22",16000000,"320000","","160",96000,"不整形","10.0","","","","","住宅","南東","市道",4.0,"第２種住居地域",60,200,"2020年第３四半期","",""
11,"宅地(土地)","住宅地","42201","長崎県","長崎市","泉","西浦上","15",2100000,"69000","","100",21000,"ほぼ整形","13.0","","","","","","南西","市道",6.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
12,"宅地(土地)","住宅地","42201","長崎県","長崎市","泉","西浦上","11",3000000,"91000","","110",27000,"ほぼ整形","10.0","","","","","住宅","北","道路",1.9,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
13,"中古マンション等","","42201","長崎県","長崎市","泉","西浦上","11",23000000,"","３ＬＤＫ","75",,"","","","平成12年","ＳＲＣ","","住宅","","",,"第１種住居地域",60,200,"2020年第３四半期","未改装",""
14,"中古マンション等","","42201","長崎県","長崎市","泉","西浦上","11",24000000,"","３ＬＤＫ","80",,"","","","平成12年","ＳＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2020年第３四半期","未改装",""
15,"宅地(土地と建物)","住宅地","42201","長崎県","長崎市","伊良林","長崎(長崎)","20",83000000,"","","440",,"不整形","","165","昭和55年","木造","住宅","","東","市道",2.5,"商業地域",80,400,"2020年第３四半期","",""
16,"宅地(土地)","住宅地","42201","長崎県","長崎市","岩見町","浦上","21",9300000,"170000","","180",52000,"台形","16.0","","","","","住宅","南東","市道",4.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
17,"中古マンション等","","42201","長崎県","長崎市","岩見町","浦上","18",17000000,"","３ＬＤＫ","75",,"","","","平成9年","ＲＣ","","住宅","","",,"",,,"2020年第３四半期","未改装",""
18,"宅地(土地と建物)","住宅地","42201","長崎県","長崎市","上田町","長崎(長崎)","30分?60分",60000000,"","","290",,"不整形","14.5","490","平成2年","ＲＣ","共同住宅","住宅","南東","市道",2.5,"第１種住居地域",60,200,"2020年第３四半期","",""
19,"宅地(土地)","住宅地","42201","長崎県","長崎市","江川町","長崎(長崎)","2H?",3000000,"45000","","220",13000,"不整形","18.5","","","","","その他","北","道路",4.5,"",,,"2020年第３四半期","","調停・競売等"
20,"宅地(土地)","住宅地","42201","長崎県","長崎市","江の浦町","長崎(長崎)","23",500000,"16000","","100",4900,"台形","9.5","","","","","","南西","市道",1.0,"第２種住居地域",60,200,"2020年第３四半期","",""
21,"宅地(土地)","住宅地","42201","長崎県","長崎市","江平","浦上","20",2800000,"53000","","175",16000,"ほぼ台形","","","","","","その他","接面道路無","",,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
22,"中古マンション等","","42201","長崎県","長崎市","大浦町","長崎(長崎)","24",16000000,"","２ＬＤＫ","60",,"","","","","","住宅","住宅","","",,"",,,"2020年第３四半期","改装済",""
