"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","商業地","44201","大分県","大分市","青崎","大在","28",17000000,"","","330",,"長方形","11.0","25","平成23年","軽量鉄骨造","事務所","倉庫","南","県道",40.0,"準工業地域",60,200,"2020年第３四半期","",""
2,"宅地(土地と建物)","住宅地","44201","大分県","大分市","大字丹川","大在","30分?60分",24000000,"","","185",,"ほぼ長方形","15.0","105","平成31年","木造","住宅","住宅","南東","市道",5.0,"第１種住居地域",60,200,"2020年第３四半期","",""
3,"宅地(土地と建物)","住宅地","44201","大分県","大分市","明磧町","南大分","20",16000000,"","","360",,"長方形","15.0","80","昭和41年","木造","住宅","住宅","南","市道",6.0,"近隣商業地域",80,200,"2020年第３四半期","",""
4,"宅地(土地と建物)","住宅地","44201","大分県","大分市","明野北","高城","30分?60分",43000000,"","","175",,"ほぼ台形","15.0","85","令和2年","木造","住宅","住宅","北西","道路",6.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
5,"中古マンション等","","44201","大分県","大分市","明野北","高城","30分?60分",14000000,"","４ＬＤＫ","85",,"","","","平成19年","","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第３四半期","未改装","調停・競売等"
6,"中古マンション等","","44201","大分県","大分市","明野北","高城","30分?60分",30000000,"","４ＬＤＫ","80",,"","","","平成29年","ＲＣ","","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第３四半期","未改装",""
7,"中古マンション等","","44201","大分県","大分市","明野北","高城","30分?60分",16000000,"","３ＬＤＫ","75",,"","","","平成5年","","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第３四半期","改装済",""
8,"中古マンション等","","44201","大分県","大分市","明野北","高城","30分?60分",14000000,"","３ＬＤＫ","85",,"","","","平成2年","ＳＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第３四半期","改装済",""
9,"中古マンション等","","44201","大分県","大分市","明野北","高城","25",16000000,"","４ＬＤＫ","80",,"","","","平成18年","ＲＣ","","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第３四半期","改装済",""
10,"宅地(土地と建物)","住宅地","44201","大分県","大分市","明野西","高城","26",45000000,"","","175",,"長方形","12.0","105","令和3年","木造","住宅","住宅","南","市道",6.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
11,"中古マンション等","","44201","大分県","大分市","明野西","牧(大分)","30分?60分",18000000,"","４ＬＤＫ","90",,"","","","平成9年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第３四半期","未改装",""
12,"宅地(土地と建物)","住宅地","44201","大分県","大分市","明野東","高城","30分?60分",30000000,"","","165",,"長方形","16.5","","平成31年","木造","住宅","","東","県道",16.0,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
13,"中古マンション等","","44201","大分県","大分市","明野東","高城","1H?1H30",22000000,"","４ＬＤＫ","80",,"","","","平成21年","","住宅","住宅","","",,"",,,"2020年第３四半期","未改装",""
14,"宅地(土地)","住宅地","44201","大分県","大分市","明野南","牧(大分)","30分?60分",22000000,"380000","","190",110000,"ほぼ長方形","16.0","","","","","","南東","私道",6.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
15,"宅地(土地)","住宅地","44201","大分県","大分市","明野南","牧(大分)","30分?60分",26000000,"370000","","230",110000,"ほぼ長方形","19.0","","","","","住宅","北西","私道",6.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
16,"宅地(土地と建物)","住宅地","44201","大分県","大分市","曙台","大在","21",8000000,"","","230",,"正方形","15.0","115","昭和51年","軽量鉄骨造","住宅、店舗","住宅","西","市道",7.0,"第１種低層住居専用地域",50,100,"2020年第３四半期","",""
17,"宅地(土地)","住宅地","44201","大分県","大分市","大字生石","西大分","8",3100000,"72000","","140",22000,"不整形","4.7","","","","","住宅","南西","道路",4.5,"第１種住居地域",60,200,"2020年第３四半期","",""
18,"宅地(土地)","住宅地","44201","大分県","大分市","大字生石","西大分","7",3500000,"87000","","130",26000,"ほぼ長方形","9.9","","","","","住宅","南西","道路",4.5,"第１種住居地域",60,200,"2020年第３四半期","",""
19,"宅地(土地)","住宅地","44201","大分県","大分市","大字生石","西大分","7",4300000,"100000","","140",31000,"ほぼ長方形","10.1","","","","","住宅","南西","道路",4.5,"第１種住居地域",60,200,"2020年第３四半期","",""
20,"宅地(土地と建物)","住宅地","44201","大分県","大分市","大字生石","西大分","14",7300000,"","","140",,"ほぼ長方形","14.1","40","","木造","住宅","住宅","東","道路",4.2,"第１種住居地域",60,200,"2020年第３四半期","",""
21,"宅地(土地)","住宅地","44201","大分県","大分市","大字生石","西大分","7",10000000,"170000","","195",51000,"ほぼ長方形","19.0","","","","","その他","南西","私道",4.5,"第１種住居地域",60,200,"2020年第３四半期","",""
22,"宅地(土地と建物)","商業地","44201","大分県","大分市","生石","西大分","7",32000000,"","","300",,"ほぼ長方形","15.4","370","昭和48年","ＲＣ","住宅、事務所","事務所","北","道路",16.1,"近隣商業地域",80,300,"2020年第３四半期","",""
23,"宅地(土地と建物)","商業地","44201","大分県","大分市","生石港町","西大分","3",4000000,"","","90",,"台形","12.2","105","昭和48年","木造","住宅","その他","北東","国道",32.3,"近隣商業地域",80,300,"2020年第３四半期","",""
24,"宅地(土地)","住宅地","44201","大分県","大分市","大字市","豊後国分","30分?60分",6200000,"160000","","130",47000,"不整形","4.0","","","","","その他","南","市道",4.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
25,"宅地(土地)","住宅地","44201","大分県","大分市","大字市","豊後国分","30分?60分",12000000,"200000","","190",61000,"台形","10.0","","","","","その他","東","市道",4.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
26,"宅地(土地と建物)","住宅地","44201","大分県","大分市","大字市","豊後国分","30分?60分",53000000,"","","190",,"正方形","13.0","65","昭和47年","木造","住宅","店舗","南","市道",7.0,"近隣商業地域",80,200,"2020年第３四半期","",""
27,"中古マンション等","","44201","大分県","大分市","大字市","豊後国分","30分?60分",31000000,"","３ＬＤＫ","90",,"","","","平成29年","ＲＣ","","住宅","","",,"第２種住居地域",60,200,"2020年第３四半期","改装済",""
28,"宅地(土地と建物)","住宅地","44201","大分県","大分市","大字猪野","高城","30分?60分",110000000,"","","1000",,"ほぼ整形","26.0","850","平成10年","ＲＣ","共同住宅","その他","南西","市道",4.0,"第２種中高層住居専用地域",60,200,"2020年第３四半期","",""
29,"宅地(土地)","住宅地","44201","大分県","大分市","大字猪野","高城","23",4900000,"180000","","90",54000,"不整形","","","","","","その他","北東","市道",9.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
30,"宅地(土地)","住宅地","44201","大分県","大分市","大字猪野","高城","23",12000000,"200000","","200",61000,"ほぼ台形","","","","","","その他","北東","市道",9.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
