"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","45201","宮崎県","宮崎市","青島","青島","4",8600000,"70000","","400",21000,"袋地等","13.2","","","","","その他","南西","市道",6.1,"近隣商業地域",80,300,"2020年第３四半期","",""
2,"宅地(土地と建物)","住宅地","45201","宮崎県","宮崎市","青島","折生迫","11",9500000,"","","460",,"不整形","40.0","145","昭和63年","木造","住宅","住宅","南東","市道",7.0,"第１種住居地域",60,200,"2020年第３四半期","",""
3,"宅地(土地)","住宅地","45201","宮崎県","宮崎市","青島","子供の国","6",14000000,"100000","","440",31000,"長方形","24.5","","","","","住宅","東","市道",12.0,"第２種住居地域",60,200,"2020年第３四半期","",""
4,"宅地(土地と建物)","住宅地","45201","宮崎県","宮崎市","大字赤江","南宮崎","30分?60分",14000000,"","","100",,"台形","7.5","90","平成24年","木造","住宅","","南東","市道",4.0,"第２種住居地域",60,200,"2020年第３四半期","",""
5,"農地","","45201","宮崎県","宮崎市","大字赤江","","",3000000,"","","970",,"","","","","","","","","",,"",,,"2020年第３四半期","",""
6,"中古マンション等","","45201","宮崎県","宮崎市","旭","宮崎","11",19000000,"","３ＬＤＫ","75",,"","","","平成12年","ＳＲＣ","","住宅","","",,"近隣商業地域",80,300,"2020年第３四半期","改装済",""
7,"宅地(土地)","宅地見込地","45201","宮崎県","宮崎市","大字跡江","宮崎神宮","30分?60分",5300000,"29000","","600",8900,"ほぼ長方形","50.0m以上","","","","","","南西","市道",5.2,"市街化調整区域",70,200,"2020年第３四半期","",""
8,"宅地(土地と建物)","住宅地","45201","宮崎県","宮崎市","大字跡江","宮崎神宮","30分?60分",10000000,"","","710",,"ほぼ長方形","15.0","155","昭和53年","木造","住宅","その他","北東","市道",5.4,"市街化調整区域",70,200,"2020年第３四半期","",""
9,"宅地(土地)","住宅地","45201","宮崎県","宮崎市","大字有田","宮崎神宮","1H?1H30",4000000,"52000","","260",16000,"ほぼ整形","18.0","","","","","","南","市道",11.5,"市街化調整区域",70,200,"2020年第３四半期","",""
10,"宅地(土地)","住宅地","45201","宮崎県","宮崎市","阿波岐原町","宮崎神宮","30分?60分",4800000,"43000","","370",13000,"長方形","16.5","","","","","","東","市道",5.0,"市街化調整区域",70,200,"2020年第３四半期","",""
11,"林地","","45201","宮崎県","宮崎市","大字生目","","",300000,"","","270",,"","","","","","","","","",,"",,,"2020年第３四半期","",""
12,"農地","","45201","宮崎県","宮崎市","大字生目","","",1500000,"","","1000",,"","","","","","","","","",,"",,,"2020年第３四半期","",""
13,"宅地(土地と建物)","住宅地","45201","宮崎県","宮崎市","生目台東","南宮崎","1H?1H30",21000000,"","","250",,"正方形","16.0","105","昭和63年","軽量鉄骨造","住宅","住宅","南","市道",6.0,"第１種低層住居専用地域",40,60,"2020年第３四半期","",""
14,"宅地(土地と建物)","住宅地","45201","宮崎県","宮崎市","大字糸原","宮崎神宮","1H30?2H",33000000,"","","780",,"ほぼ台形","29.0","110","","","","住宅","北","県道",16.0,"市街化調整区域",70,200,"2020年第３四半期","",""
15,"宅地(土地と建物)","住宅地","45201","宮崎県","宮崎市","大字浮田","宮崎","1H?1H30",10000000,"","","270",,"不整形","30.0","125","平成5年","木造","住宅","住宅","南東","市道",4.0,"市街化調整区域",70,200,"2020年第３四半期","",""
16,"宅地(土地)","宅地見込地","45201","宮崎県","宮崎市","大字浮田","宮崎","1H?1H30",1500000,"27000","","185",8200,"長方形","21.5","","","","","","西","市道",4.5,"市街化調整区域",70,200,"2020年第３四半期","",""
17,"宅地(土地)","住宅地","45201","宮崎県","宮崎市","浮城町","宮崎","24",32000000,"130000","","840",38000,"ほぼ整形","","","","","","事務所","南","市道",12.0,"第１種低層住居専用地域",60,100,"2020年第３四半期","",""
18,"宅地(土地)","住宅地","45201","宮崎県","宮崎市","浮城町","宮崎","24",52000000,"200000","","840",62000,"不整形","32.9","","","","","住宅","南","市道",13.0,"第１種低層住居専用地域",60,100,"2020年第３四半期","",""
19,"宅地(土地と建物)","住宅地","45201","宮崎県","宮崎市","大字内海","小内海","25",15000000,"","","240",,"長方形","11.8","85","昭和52年","木造","住宅","住宅","西","道路",5.0,"都市計画区域外",,,"2020年第３四半期","",""
20,"宅地(土地)","住宅地","45201","宮崎県","宮崎市","大字瓜生野","佐土原","2H?",5200000,"66000","","260",20000,"ほぼ正方形","17.5","","","","","","東","市道",12.0,"都市計画区域外",,,"2020年第３四半期","",""
