"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","商業地","46201","鹿児島県","鹿児島市","荒田","鹿児島中央","16",19000000,"","","80",,"ほぼ整形","6.5","70","昭和49年","ブロック造","その他","店舗","北西","市道",22.0,"近隣商業地域",80,200,"2020年第３四半期","",""
2,"宅地(土地と建物)","住宅地","46201","鹿児島県","鹿児島市","荒田","鹿児島中央","22",25000000,"","","120",,"正方形","10.5","110","昭和61年","軽量鉄骨造","住宅","住宅","北西","市道",4.0,"第１種住居地域",60,200,"2020年第３四半期","",""
3,"宅地(土地と建物)","住宅地","46201","鹿児島県","鹿児島市","荒田","鹿児島中央","20",82000000,"","","200",,"台形","15.0","470","昭和60年","ＲＣ","共同住宅、駐車場、店舗","その他","北東","市道",10.0,"第１種住居地域",60,200,"2020年第３四半期","",""
4,"宅地(土地と建物)","住宅地","46201","鹿児島県","鹿児島市","伊敷","鹿児島中央","1H?1H30",11000000,"","","120",,"不整形","15.0","90","昭和63年","木造","住宅","住宅","北","道路",4.0,"第１種低層住居専用地域",50,80,"2020年第３四半期","",""
5,"宅地(土地と建物)","住宅地","46201","鹿児島県","鹿児島市","伊敷","鹿児島中央","1H?1H30",1400000,"","","65",,"ほぼ長方形","","30","昭和39年","木造","住宅","その他","南西","私道",1.3,"第１種住居地域",60,200,"2020年第３四半期","",""
6,"宅地(土地と建物)","住宅地","46201","鹿児島県","鹿児島市","伊敷","鹿児島中央","30分?60分",26000000,"","","115",,"ほぼ長方形","8.6","95","令和2年","木造","住宅","住宅","南東","市道",5.0,"第１種低層住居専用地域",50,80,"2020年第３四半期","",""
7,"宅地(土地)","住宅地","46201","鹿児島県","鹿児島市","伊敷","鹿児島中央","30分?60分",21000000,"320000","","210",98000,"長方形","20.5","","","","","その他","北東","市道",3.0,"第１種住居地域",60,200,"2020年第３四半期","",""
8,"宅地(土地と建物)","住宅地","46201","鹿児島県","鹿児島市","伊敷台","鹿児島中央","1H?1H30",22000000,"","","190",,"長方形","11.0","115","平成2年","鉄骨造","住宅","住宅","北","市道",15.0,"第２種中高層住居専用地域",60,200,"2020年第３四半期","",""
9,"宅地(土地と建物)","住宅地","46201","鹿児島県","鹿児島市","石谷町","上伊集院","30分?60分",30000000,"","","220",,"台形","10.0","105","令和2年","","","住宅","南東","市道",13.0,"市街化区域及び市街化調整区域外の都市計画区域",60,200,"2020年第３四半期","",""
10,"宅地(土地)","住宅地","46201","鹿児島県","鹿児島市","石谷町","上伊集院","24",3500000,"46000","","250",14000,"ほぼ長方形","14.5","","","","","住宅","東","道路",6.0,"第１種中高層住居専用地域",60,200,"2020年第３四半期","",""
11,"農地","","46201","鹿児島県","鹿児島市","犬迫町","","",2800000,"","","440",,"","","","","","","","","",,"",,,"2020年第３四半期","",""
12,"農地","","46201","鹿児島県","鹿児島市","犬迫町","","",2200000,"","","360",,"","","","","","","","","",,"",,,"2020年第３四半期","",""
