"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","02201","青森県","青森市","青柳","青森","26",6700000,"120000","","190",35000,"ほぼ長方形","8.0","","","","","その他","南","道路",14.5,"準工業地域",60,200,"2020年第４四半期","",""
2,"宅地(土地)","住宅地","02201","青森県","青森市","青柳","青森","29",5800000,"160000","","115",50000,"ほぼ長方形","6.5","","","","","住宅","西","市道",18.0,"近隣商業地域",80,200,"2020年第４四半期","",""
3,"宅地(土地と建物)","住宅地","02201","青森県","青森市","青柳","青森","29",300000,"","","30",,"ほぼ正方形","5.5","80","昭和52年","鉄骨造","住宅、店舗","住宅","南西","市道",17.5,"近隣商業地域",80,200,"2020年第４四半期","",""
4,"宅地(土地)","住宅地","02201","青森県","青森市","旭町","青森","30分?60分",6800000,"140000","","165",42000,"ほぼ長方形","18.0","","","","","","南西","私道",6.5,"第１種低層住居専用地域",60,150,"2020年第４四半期","",""
5,"宅地(土地と建物)","住宅地","02201","青森県","青森市","旭町","青森","23",20000000,"","","450",,"不整形","13.0","260","平成9年","木造","住宅","住宅","西","市道",7.0,"第１種住居地域",60,200,"2020年第４四半期","",""
6,"宅地(土地)","商業地","02201","青森県","青森市","大字浅虫","浅虫温泉","3",12000000,"72000","","540",22000,"長方形","17.5","","","","","その他","西","県道",9.0,"商業地域",80,400,"2020年第４四半期","",""
7,"宅地(土地)","工業地","02201","青森県","青森市","大字油川","油川","30分?60分",30000000,"39000","","2000㎡以上",12000,"不整形","","","","","","事務所","北東","道路",16.0,"工業専用地域",60,200,"2020年第４四半期","",""
8,"宅地(土地)","工業地","02201","青森県","青森市","大字油川","油川","30分?60分",7000000,"35000","","660",11000,"長方形","","","","","","","接面道路無","",,"工業専用地域",60,200,"2020年第４四半期","",""
9,"農地","","02201","青森県","青森市","大字荒川","","",150000,"","","400",,"","","","","","","","","",,"",,,"2020年第４四半期","",""
10,"宅地(土地)","住宅地","02201","青森県","青森市","大字石江","新青森","11",10000000,"42000","","780",13000,"ほぼ長方形","21.0","","","","","その他","西","私道",4.0,"第１種低層住居専用地域",50,80,"2020年第４四半期","",""
11,"宅地(土地)","住宅地","02201","青森県","青森市","大字石江","新青森","16",5100000,"61000","","280",18000,"長方形","13.0","","","","","住宅","北西","市道",5.5,"第１種住居地域",60,200,"2020年第４四半期","",""
12,"宅地(土地と建物)","住宅地","02201","青森県","青森市","大字石江","新青森","11",19000000,"","","120",,"台形","6.5","75","令和2年","木造","住宅","住宅","南東","市道",5.5,"第１種低層住居専用地域",50,80,"2020年第４四半期","",""
13,"宅地(土地と建物)","住宅地","02201","青森県","青森市","大字石江","新青森","10",3500000,"","","150",,"長方形","11.0","55","昭和50年","木造","住宅","住宅","北東","市道",7.5,"第１種低層住居専用地域",50,80,"2020年第４四半期","",""
14,"宅地(土地)","住宅地","02201","青森県","青森市","大字石江","新青森","6",2500000,"27000","","300",8300,"ほぼ長方形","5.0","","","","","住宅","南西","市道",3.0,"第１種低層住居専用地域",50,80,"2020年第４四半期","",""
15,"宅地(土地と建物)","住宅地","02201","青森県","青森市","大字石江","新青森","7",3200000,"","","190",,"ほぼ台形","10.0","95","昭和42年","","","住宅","南","市道",4.5,"第１種低層住居専用地域",50,80,"2020年第４四半期","",""
16,"宅地(土地と建物)","住宅地","02201","青森県","青森市","石江","新青森","4",24000000,"","","200",,"長方形","12.0","120","平成27年","木造","住宅","住宅","北","市道",22.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
17,"宅地(土地)","住宅地","02201","青森県","青森市","石江","新青森","6",100000000,"190000","","1800",56000,"ほぼ長方形","47.5","","","","","その他","西","市道",11.0,"第１種住居地域",60,200,"2020年第４四半期","",""
18,"林地","","02201","青森県","青森市","大字岩渡","","",1600000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"2020年第４四半期","",""
19,"林地","","02201","青森県","青森市","大字岩渡","","",1100000,"","","680",,"","","","","","","","","",,"",,,"2020年第４四半期","",""
20,"宅地(土地)","住宅地","02201","青森県","青森市","大字浦町","青森","30分?60分",9100000,"150000","","200",45000,"ほぼ長方形","14.0","","","","","住宅","西","市道",6.5,"第１種低層住居専用地域",50,80,"2020年第４四半期","",""
21,"宅地(土地と建物)","住宅地","02201","青森県","青森市","大字大野","青森","30分?60分",22000000,"","","270",,"長方形","15.0","170","平成6年","軽量鉄骨造","住宅","住宅","東","市道",6.5,"第１種低層住居専用地域",50,80,"2020年第４四半期","",""
22,"宅地(土地)","住宅地","02201","青森県","青森市","大字大野","青森","30分?60分",8000000,"170000","","160",50000,"ほぼ長方形","10.0","","","","","住宅","南","市道",6.0,"第１種低層住居専用地域",50,80,"2020年第４四半期","",""
23,"宅地(土地と建物)","住宅地","02201","青森県","青森市","大字大野","青森","30分?60分",30000000,"","","360",,"ほぼ長方形","18.0","360","平成3年","木造","共同住宅","住宅","北西","市道",7.0,"第１種低層住居専用地域",60,150,"2020年第４四半期","",""
24,"宅地(土地)","住宅地","02201","青森県","青森市","大字大野","青森","30分?60分",5000000,"130000","","130",39000,"ほぼ長方形","14.5","","","","","","北","市道",6.0,"第１種低層住居専用地域",50,80,"2020年第４四半期","",""
25,"宅地(土地と建物)","住宅地","02201","青森県","青森市","大字大野","青森","30分?60分",4000000,"","","160",,"ほぼ長方形","10.0","85","昭和60年","木造","住宅","住宅","南西","道路",6.5,"第１種低層住居専用地域",50,80,"2020年第４四半期","",""
26,"宅地(土地と建物)","住宅地","02201","青森県","青森市","大字大野","青森","30分?60分",1500000,"","","220",,"ほぼ長方形","20.0","","","","共同住宅","その他","南","市道",5.5,"準住居地域",60,200,"2020年第４四半期","",""
