"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"農地","","08201","茨城県","水戸市","青柳町","","",120000,"","","1200",,"","","","","","","","","",,"",,,"2020年第４四半期","",""
2,"宅地(土地)","住宅地","08201","茨城県","水戸市","赤塚","赤塚","6",4000000,"96000","","140",29000,"長方形","13.6","","","","","住宅","接面道路無","",,"第１種住居地域",60,200,"2020年第４四半期","","調停・競売等"
3,"宅地(土地と建物)","住宅地","08201","茨城県","水戸市","赤塚","赤塚","9",25000000,"","","200",,"正方形","17.0","115","令和2年","木造","住宅","住宅","南西","市道",4.0,"第２種中高層住居専用地域",60,200,"2020年第４四半期","",""
4,"宅地(土地)","住宅地","08201","茨城県","水戸市","赤塚","赤塚","9",7600000,"100000","","250",31000,"長方形","11.0","","","","","住宅","北","市道",4.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
5,"宅地(土地と建物)","住宅地","08201","茨城県","水戸市","赤塚","赤塚","9",27000000,"","","200",,"長方形","11.0","115","令和2年","木造","住宅","住宅","南西","市道",4.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
6,"宅地(土地と建物)","住宅地","08201","茨城県","水戸市","赤塚","赤塚","12",1000000,"","","175",,"ほぼ長方形","11.0","100","昭和56年","木造","住宅","住宅","北東","市道",4.0,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
7,"宅地(土地と建物)","住宅地","08201","茨城県","水戸市","愛宕町","水戸","30分?60分",19000000,"","","370",,"ほぼ台形","21.0","145","平成8年","木造","住宅","住宅","東","市道",4.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
8,"宅地(土地)","宅地見込地","08201","茨城県","水戸市","内原町","内原","13",9300000,"59000","","520",18000,"ほぼ正方形","22.8","","","","","","北","市道",9.0,"第１種住居地域",60,200,"2020年第４四半期","",""
9,"宅地(土地と建物)","住宅地","08201","茨城県","水戸市","内原町","内原","19",32000000,"","","250",,"ほぼ正方形","15.5","115","令和2年","木造","住宅","住宅","南西","市道",6.3,"市街化調整区域",60,200,"2020年第４四半期","",""
10,"宅地(土地)","宅地見込地","08201","茨城県","水戸市","内原町","内原","15",6200000,"74000","","280",23000,"長方形","28.0","","","","","","北東","市道",8.7,"市街化調整区域",60,200,"2020年第４四半期","",""
11,"宅地(土地)","宅地見込地","08201","茨城県","水戸市","内原町","内原","18",16000000,"23000","","2000㎡以上",7000,"ほぼ整形","35.0","","","","","","南東","市道",20.0,"市街化調整区域",60,200,"2020年第４四半期","",""
12,"宅地(土地)","住宅地","08201","茨城県","水戸市","笠原町","水戸","30分?60分",16000000,"150000","","360",44000,"台形","13.0","","","","","住宅","北東","市道",3.0,"第２種中高層住居専用地域",60,200,"2020年第４四半期","",""
13,"宅地(土地と建物)","住宅地","08201","茨城県","水戸市","笠原町","水戸","30分?60分",17000000,"","","195",,"袋地等","3.0","95","令和2年","木造","住宅","住宅","北","市道",4.0,"第２種中高層住居専用地域",60,200,"2020年第４四半期","","私道を含む取引"
14,"宅地(土地と建物)","住宅地","08201","茨城県","水戸市","笠原町","水戸","30分?60分",35000000,"","","460",,"ほぼ正方形","21.0","210","平成9年","鉄骨造","事務所、店舗","店舗","東","市道",10.0,"第２種中高層住居専用地域",60,200,"2020年第４四半期","",""
15,"宅地(土地)","住宅地","08201","茨城県","水戸市","笠原町","水戸","1H?1H30",13000000,"160000","","260",49000,"正方形","17.0","","","","","住宅","東","市道",6.0,"市街化調整区域",60,200,"2020年第４四半期","",""
16,"宅地(土地と建物)","住宅地","08201","茨城県","水戸市","笠原町","水戸","1H?1H30",36000000,"","","1100",,"ほぼ整形","15.0","480","昭和61年","鉄骨造","事務所","","南","市道",7.0,"準工業地域",60,200,"2020年第４四半期","","私道を含む取引"
17,"宅地(土地)","住宅地","08201","茨城県","水戸市","笠原町","水戸","1H?1H30",21000000,"97000","","700",29000,"ほぼ整形","11.0","","","","","","南","市道",7.0,"準工業地域",60,200,"2020年第４四半期","","私道を含む取引"
18,"宅地(土地)","住宅地","08201","茨城県","水戸市","笠原町","水戸","30分?60分",15000000,"190000","","250",58000,"長方形","19.0","","","","","住宅","南西","市道",5.0,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
19,"宅地(土地)","住宅地","08201","茨城県","水戸市","笠原町","水戸","1H?1H30",9100000,"120000","","250",36000,"台形","17.0","","","","","","西","市道",4.5,"市街化調整区域",60,200,"2020年第４四半期","",""
20,"宅地(土地)","住宅地","08201","茨城県","水戸市","笠原町","水戸","1H?1H30",14000000,"150000","","290",47000,"長方形","","","","","","住宅","南","市道",6.0,"市街化調整区域",60,200,"2020年第４四半期","",""
21,"宅地(土地)","宅地見込地","08201","茨城県","水戸市","上国井町","赤塚","2H?",49000,"680","","240",210,"ほぼ長方形","14.0","","","","","","北","市道",4.5,"市街化調整区域",60,200,"2020年第４四半期","",""
22,"農地","","08201","茨城県","水戸市","上国井町","","",200000,"","","980",,"","","","","","","","","",,"",,,"2020年第４四半期","",""
23,"農地","","08201","茨城県","水戸市","上国井町","","",1300000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"2020年第４四半期","",""
24,"農地","","08201","茨城県","水戸市","上国井町","","",340000,"","","1700",,"","","","","","","","","",,"",,,"2020年第４四半期","",""
25,"農地","","08201","茨城県","水戸市","上国井町","","",600000,"","","3000",,"","","","","","","","","",,"",,,"2020年第４四半期","",""
26,"農地","","08201","茨城県","水戸市","上国井町","","",360000,"","","1800",,"","","","","","","","","",,"",,,"2020年第４四半期","",""
27,"宅地(土地と建物)","住宅地","08201","茨城県","水戸市","上水戸","赤塚","30分?60分",45000000,"","","400",,"不整形","34.0","200","平成25年","木造","共同住宅","住宅","東","市道",3.8,"第２種住居地域",60,200,"2020年第４四半期","",""
28,"宅地(土地と建物)","住宅地","08201","茨城県","水戸市","上水戸","赤塚","30分?60分",36000000,"","","230",,"ほぼ台形","20.5","150","平成28年","木造","住宅","住宅","南西","市道",6.0,"準工業地域",60,200,"2020年第４四半期","",""
29,"中古マンション等","","08201","茨城県","水戸市","上水戸","赤塚","30分?60分",7300000,"","３ＬＤＫ","70",,"","","","平成4年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,200,"2020年第４四半期","未改装",""
