"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","商業地","09201","栃木県","宇都宮市","旭","東武宇都宮","19",48000000,"","","500",,"不整形","34.0","185","平成6年","","その他","店舗","西","県道",12.0,"近隣商業地域",80,200,"2020年第４四半期","",""
2,"宅地(土地)","住宅地","09201","栃木県","宇都宮市","旭","東武宇都宮","15",23000000,"490000","","150",150000,"ほぼ正方形","11.5","","","","","住宅","北","市道",7.2,"近隣商業地域",80,200,"2020年第４四半期","",""
3,"林地","","09201","栃木県","宇都宮市","芦沼町","","",3000000,"","","2800",,"","","","","","","","","",,"",,,"2020年第４四半期","",""
4,"宅地(土地)","住宅地","09201","栃木県","宇都宮市","飯田町","東武宇都宮","1H?1H30",3300000,"39000","","280",12000,"ほぼ台形","16.5","","","","","住宅","南東","市道",4.0,"市街化調整区域",60,200,"2020年第４四半期","","私道を含む取引"
5,"宅地(土地と建物)","住宅地","09201","栃木県","宇都宮市","飯田町","東武宇都宮","1H?1H30",9700000,"","","320",,"ほぼ長方形","28.5","70","平成19年","木造","住宅","住宅","南東","私道",3.0,"市街化調整区域",60,200,"2020年第４四半期","",""
6,"宅地(土地と建物)","住宅地","09201","栃木県","宇都宮市","石井町","宇都宮","30分?60分",36000000,"","","165",,"ほぼ長方形","11.5","115","令和2年","木造","住宅","住宅","南","私道",6.0,"第２種中高層住居専用地域",60,200,"2020年第４四半期","",""
7,"宅地(土地と建物)","住宅地","09201","栃木県","宇都宮市","石井町","宇都宮","30分?60分",37000000,"","","150",,"ほぼ整形","11.5","120","令和3年","木造","住宅","住宅","南","道路",6.0,"第２種中高層住居専用地域",60,200,"2020年第４四半期","",""
8,"宅地(土地と建物)","住宅地","09201","栃木県","宇都宮市","石井町","宇都宮","1H?1H30",3500000,"","","1000",,"袋地等","35.0","220","戦前","","","住宅","西","道路",3.6,"市街化調整区域",60,200,"2020年第４四半期","",""
9,"宅地(土地と建物)","住宅地","09201","栃木県","宇都宮市","石井町","宇都宮","30分?60分",56000000,"","","250",,"ほぼ整形","13.0","105","","","住宅","住宅","南","市道",6.0,"第２種中高層住居専用地域",60,200,"2020年第４四半期","",""
10,"宅地(土地と建物)","住宅地","09201","栃木県","宇都宮市","石井町","宇都宮","30分?60分",29000000,"","","155",,"不整形","13.0","105","令和3年","木造","住宅","住宅","南","道路",6.0,"第２種中高層住居専用地域",60,200,"2020年第４四半期","",""
11,"中古マンション等","","09201","栃木県","宇都宮市","泉が丘","宇都宮","26",26000000,"","４ＬＤＫ","80",,"","","","平成21年","ＲＣ","","住宅","","",,"第１種住居地域",60,200,"2020年第４四半期","改装済",""
12,"宅地(土地)","商業地","09201","栃木県","宇都宮市","泉町","東武宇都宮","8",29000000,"300000","","320",91000,"不整形","","","","","","その他","北","市道",,"",,,"2020年第４四半期","","調停・競売等"
13,"宅地(土地と建物)","住宅地","09201","栃木県","宇都宮市","一の沢","東武宇都宮","30分?60分",6200000,"","","200",,"ほぼ正方形","11.5","115","昭和54年","木造","住宅","住宅","北東","市道",5.8,"第１種住居地域",60,200,"2020年第４四半期","",""
14,"中古マンション等","","09201","栃木県","宇都宮市","今泉","宇都宮","8",10000000,"","２ＬＤＫ","55",,"","","","平成10年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,400,"2020年第４四半期","未改装",""
15,"宅地(土地)","商業地","09201","栃木県","宇都宮市","今泉町","宇都宮","19",44000000,"300000","","480",92000,"ほぼ長方形","16.0","","","","","住宅","南東","県道",18.0,"準工業地域",60,200,"2020年第４四半期","",""
16,"中古マンション等","","09201","栃木県","宇都宮市","今泉町","宇都宮","20",7800000,"","４ＬＤＫ","65",,"","","","平成2年","ＲＣ","住宅","その他","","",,"第１種住居地域",60,200,"2020年第４四半期","未改装",""
17,"中古マンション等","","09201","栃木県","宇都宮市","今泉町","宇都宮","20",8000000,"","３ＬＤＫ","65",,"","","","平成2年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2020年第４四半期","未改装",""
18,"宅地(土地)","住宅地","09201","栃木県","宇都宮市","今里町","氏家","1H30?2H",2200000,"65000","","110",20000,"ほぼ長方形","26.0","","","","","","南西","県道",6.5,"市街化調整区域",60,200,"2020年第４四半期","",""
19,"宅地(土地と建物)","住宅地","09201","栃木県","宇都宮市","今宮","西川田","23",35000000,"","","180",,"長方形","","","","","","住宅","南","市道",,"",,,"2020年第４四半期","",""
20,"宅地(土地と建物)","住宅地","09201","栃木県","宇都宮市","今宮","西川田","24",35000000,"","","510",,"ほぼ長方形","27.5","320","昭和53年","鉄骨造","事務所、倉庫","","南西","市道",5.0,"第２種中高層住居専用地域",60,200,"2020年第４四半期","",""
21,"宅地(土地と建物)","住宅地","09201","栃木県","宇都宮市","今宮","西川田","23",17000000,"","","330",,"ほぼ長方形","22.5","175","平成3年","木造","住宅","住宅","西","市道",8.0,"第２種中高層住居専用地域",60,200,"2020年第４四半期","",""
22,"宅地(土地と建物)","住宅地","09201","栃木県","宇都宮市","今宮","西川田","15",15000000,"","","130",,"台形","12.0","70","昭和51年","木造","住宅","住宅","西","市道",6.0,"第２種中高層住居専用地域",60,200,"2020年第４四半期","",""
23,"宅地(土地と建物)","住宅地","09201","栃木県","宇都宮市","今宮","西川田","28",35000000,"","","180",,"長方形","13.0","115","令和2年","木造","住宅","住宅","南","私道",6.0,"第１種住居地域",60,200,"2020年第４四半期","",""
24,"宅地(土地と建物)","住宅地","09201","栃木県","宇都宮市","今宮","西川田","20",30000000,"","","195",,"ほぼ長方形","10.0","115","令和2年","木造","住宅","住宅","北","道路",6.0,"第２種中高層住居専用地域",60,200,"2020年第４四半期","",""
25,"宅地(土地と建物)","住宅地","09201","栃木県","宇都宮市","岩曽町","宇都宮","30分?60分",30000000,"","","570",,"ほぼ長方形","26.0","210","平成6年","鉄骨造","事務所","事務所","北","市道",6.0,"第２種中高層住居専用地域",60,200,"2020年第４四半期","",""
26,"宅地(土地と建物)","住宅地","09201","栃木県","宇都宮市","岩曽町","宇都宮","30分?60分",35000000,"","","175",,"ほぼ台形","9.0","110","平成31年","軽量鉄骨造","住宅","住宅","南東","道路",6.0,"第２種中高層住居専用地域",60,200,"2020年第４四半期","",""
27,"宅地(土地と建物)","住宅地","09201","栃木県","宇都宮市","岩曽町","宇都宮","30分?60分",32000000,"","","290",,"袋地等","4.0","115","令和3年","木造","住宅","住宅","北","市道",4.5,"市街化調整区域",60,200,"2020年第４四半期","",""
28,"宅地(土地と建物)","住宅地","09201","栃木県","宇都宮市","岩曽町","宇都宮","30分?60分",14000000,"","","260",,"ほぼ長方形","24.5","360","昭和60年","木造","共同住宅、店舗","住宅","南","市道",7.7,"第２種中高層住居専用地域",60,200,"2020年第４四半期","",""
29,"宅地(土地)","住宅地","09201","栃木県","宇都宮市","上野町","岡本(栃木)","16",9200000,"190000","","160",57000,"ほぼ正方形","10.0","","","","","","東","市道",6.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
30,"農地","","09201","栃木県","宇都宮市","上田町","","",50000,"","","340",,"","","","","","","","","",,"",,,"2020年第４四半期","",""
31,"宅地(土地と建物)","住宅地","09201","栃木県","宇都宮市","江曽島","江曽島","20",30000000,"","","135",,"長方形","","","","","","住宅","東","市道",,"",,,"2020年第４四半期","",""
32,"宅地(土地と建物)","住宅地","09201","栃木県","宇都宮市","江曽島","江曽島","14",32000000,"","","280",,"不整形","13.0","115","令和2年","木造","住宅","住宅","北","私道",4.0,"第２種中高層住居専用地域",60,200,"2020年第４四半期","",""
33,"宅地(土地と建物)","住宅地","09201","栃木県","宇都宮市","江曽島","江曽島","19",29000000,"","","210",,"台形","","","","","","住宅","北","市道",,"",,,"2020年第４四半期","",""
34,"宅地(土地と建物)","住宅地","09201","栃木県","宇都宮市","江曽島","江曽島","13",33000000,"","","220",,"ほぼ長方形","11.0","120","令和2年","木造","住宅","住宅","南","市道",6.0,"第２種中高層住居専用地域",60,200,"2020年第４四半期","",""
35,"宅地(土地と建物)","工業地","09201","栃木県","宇都宮市","江曽島町","江曽島","19",100000000,"","","2000㎡以上",,"不整形","50.0m以上","700","平成3年","鉄骨造","工場、事務所","店舗","北東","市道",12.0,"第１種住居地域",60,200,"2020年第４四半期","","調停・競売等"
36,"宅地(土地)","住宅地","09201","栃木県","宇都宮市","江曽島町","江曽島","24",32000000,"160000","","680",47000,"長方形","18.5","","","","","その他","南","市道",6.0,"第１種住居地域",60,200,"2020年第４四半期","",""
37,"宅地(土地)","住宅地","09201","栃木県","宇都宮市","大曽","東武宇都宮","25",6900000,"130000","","175",40000,"不整形","23.7","","","","","住宅","東","市道",8.0,"第１種住居地域",60,200,"2020年第４四半期","",""
38,"宅地(土地)","商業地","09201","栃木県","宇都宮市","大通り","宇都宮","7",89000000,"970000","","310",290000,"不整形","8.3","","","","","その他","北","県道",30.0,"商業地域",80,600,"2020年第４四半期","",""
39,"宅地(土地と建物)","商業地","09201","栃木県","宇都宮市","大通り","宇都宮","8",1300000000,"","","640",,"長方形","27.5","2000㎡以上","平成9年","ＳＲＣ","事務所","事務所","北","県道",30.0,"商業地域",80,600,"2020年第４四半期","",""
40,"宅地(土地と建物)","住宅地","09201","栃木県","宇都宮市","大谷町","東武宇都宮","1H30?2H",9300000,"","","330",,"ほぼ正方形","17.0","100","平成8年","木造","住宅","その他","東","私道",4.0,"市街化調整区域",60,200,"2020年第４四半期","",""
41,"宅地(土地)","住宅地","09201","栃木県","宇都宮市","小幡","東武宇都宮","13",16000000,"300000","","180",90000,"ほぼ台形","11.5","","","","","","南","私道",2.0,"近隣商業地域",80,200,"2020年第４四半期","",""
42,"中古マンション等","","09201","栃木県","宇都宮市","小幡","東武宇都宮","11",21000000,"","３ＬＤＫ","85",,"","","","平成17年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,400,"2020年第４四半期","未改装",""
43,"宅地(土地)","宅地見込地","09201","栃木県","宇都宮市","海道町","岡本(栃木)","30分?60分",38000000,"130000","","1000",38000,"ほぼ整形","22.5","","","","","","東","県道",14.5,"市街化調整区域",60,200,"2020年第４四半期","",""
44,"宅地(土地)","住宅地","09201","栃木県","宇都宮市","上大曽町","宇都宮","30分?60分",900000,"57000","","50",17000,"ほぼ長方形","3.2","","","","","その他","東","道路",3.9,"第１種住居地域",60,200,"2020年第４四半期","",""
