"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","22101","静岡県","静岡市葵区","相生町","静岡","18",54000000,"","","210",,"長方形","9.0","250","昭和58年","ＳＲＣ","住宅、店舗","住宅","南東","市道",7.9,"第２種住居地域",60,200,"2020年第４四半期","",""
2,"宅地(土地と建物)","住宅地","22101","静岡県","静岡市葵区","上土","静岡","1H?1H30",29000000,"","","95",,"長方形","7.5","105","令和3年","木造","住宅","住宅","北西","市道",4.5,"第２種中高層住居専用地域",60,200,"2020年第４四半期","",""
3,"宅地(土地)","住宅地","22101","静岡県","静岡市葵区","上土","静岡","1H?1H30",17000000,"310000","","175",95000,"ほぼ整形","14.0","","","","","","北東","私道",4.0,"第２種中高層住居専用地域",60,200,"2020年第４四半期","",""
4,"林地","","22101","静岡県","静岡市葵区","足久保口組","","",5000000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"2020年第４四半期","",""
5,"宅地(土地と建物)","商業地","22101","静岡県","静岡市葵区","安西","静岡","29",9500000,"","","80",,"不整形","16.0","65","平成28年","木造","住宅","住宅","西","県道",20.0,"近隣商業地域",80,300,"2020年第４四半期","",""
6,"宅地(土地)","住宅地","22101","静岡県","静岡市葵区","安東","静岡","30分?60分",53000000,"870000","","200",260000,"長方形","7.5","","","","","住宅","西","市道",5.5,"第２種中高層住居専用地域",60,200,"2020年第４四半期","",""
7,"宅地(土地と建物)","住宅地","22101","静岡県","静岡市葵区","安東","静岡","30分?60分",23000000,"","","165",,"長方形","8.5","135","平成7年","木造","住宅","住宅","南","私道",2.5,"第２種中高層住居専用地域",60,200,"2020年第４四半期","",""
8,"宅地(土地)","住宅地","22101","静岡県","静岡市葵区","安東","静岡","29",500000,"25000","","65",7700,"ほぼ長方形","5.0","","","","","その他","南","私道",2.5,"第２種中高層住居専用地域",60,200,"2020年第４四半期","",""
9,"宅地(土地と建物)","住宅地","22101","静岡県","静岡市葵区","池ヶ谷東","静岡","1H?1H30",30000000,"","","210",,"袋地等","17.8","105","令和2年","木造","住宅","住宅","南東","国道",7.9,"第１種住居地域",60,200,"2020年第４四半期","","私道を含む取引"
10,"宅地(土地)","住宅地","22101","静岡県","静岡市葵区","井宮町","静岡","30分?60分",18000000,"480000","","125",150000,"長方形","8.0","","","","","住宅","北東","私道",4.0,"第２種住居地域",60,200,"2020年第４四半期","",""
11,"宅地(土地と建物)","住宅地","22101","静岡県","静岡市葵区","内牧","静岡","1H30?2H",4000000,"","","200",,"ほぼ正方形","14.5","55","昭和42年","木造","住宅","住宅","南東","市道",4.0,"市街化調整区域",60,200,"2020年第４四半期","","調停・競売等"
12,"宅地(土地)","宅地見込地","22101","静岡県","静岡市葵区","内牧","静岡","1H30?2H",500000,"3900","","430",1200,"不整形","30.0","","","","","","南東","市道",5.0,"市街化調整区域",60,200,"2020年第４四半期","",""
13,"中古マンション等","","22101","静岡県","静岡市葵区","追手町","静岡","13",9100000,"","２ＬＤＫ","55",,"","","","昭和54年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2020年第４四半期","改装済",""
