"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","24201","三重県","津市","青葉台","久居","30分?60分",11000000,"170000","","210",51000,"ほぼ長方形","10.7","","","","","その他","東","市道",8.3,"市街化調整区域",60,200,"2020年第４四半期","",""
2,"宅地(土地と建物)","住宅地","24201","三重県","津市","青葉台","久居","30分?60分",24000000,"","","195",,"ほぼ長方形","11.8","125","平成23年","木造","住宅","住宅","北","市道",6.0,"市街化調整区域",60,100,"2020年第４四半期","",""
3,"宅地(土地)","宅地見込地","24201","三重県","津市","安濃町太田","津","1H?1H30",500000,"13000","","130",3800,"ほぼ長方形","10.0","","","","","","西","市道",3.5,"市街化区域及び市街化調整区域外の都市計画区域",70,200,"2020年第４四半期","",""
4,"宅地(土地と建物)","住宅地","24201","三重県","津市","安濃町清水","津","1H?1H30",7000000,"","","380",,"長方形","17.5","120","昭和57年","木造","住宅","住宅","南東","市道",6.0,"市街化区域及び市街化調整区域外の都市計画区域",70,200,"2020年第４四半期","",""
5,"農地","","24201","三重県","津市","安濃町清水","","",400000,"","","155",,"","","","","","","","","",,"",,,"2020年第４四半期","",""
6,"宅地(土地と建物)","住宅地","24201","三重県","津市","安濃町田端上野","津","1H30?2H",5800000,"","","200",,"長方形","11.0","105","昭和60年","木造","住宅","その他","北西","市道",6.0,"市街化区域及び市街化調整区域外の都市計画区域",60,100,"2020年第４四半期","",""
7,"林地","","24201","三重県","津市","安濃町野口","","",100000,"","","1000",,"","","","","","","","","",,"",,,"2020年第４四半期","",""
8,"林地","","24201","三重県","津市","安濃町妙法寺","","",110000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"2020年第４四半期","",""
9,"宅地(土地)","住宅地","24201","三重県","津市","一志町井関","井関","1H?1H30",100000,"1000","","330",300,"長方形","15.0","","","","","","南西","私道",3.5,"都市計画区域外",,,"2020年第４四半期","",""
10,"宅地(土地)","宅地見込地","24201","三重県","津市","一志町小山","伊勢八太","7",400000,"5000","","260",1500,"ほぼ長方形","18.0","","","","","","北西","道路",1.2,"都市計画区域外",,,"2020年第４四半期","",""
11,"宅地(土地)","宅地見込地","24201","三重県","津市","一志町小山","伊勢八太","7",47000,"1000","","155",300,"長方形","10.7","","","","","","北西","市道",5.0,"都市計画区域外",,,"2020年第４四半期","",""
12,"宅地(土地)","宅地見込地","24201","三重県","津市","一志町小山","伊勢八太","7",1300000,"5000","","860",1500,"ほぼ長方形","36.0","","","","","","南東","市道",5.0,"都市計画区域外",,,"2020年第４四半期","",""
13,"宅地(土地)","宅地見込地","24201","三重県","津市","一志町小山","伊勢八太","7",260000,"5000","","175",1500,"ほぼ正方形","13.6","","","","","","北西","市道",5.0,"都市計画区域外",,,"2020年第４四半期","",""
14,"宅地(土地)","宅地見込地","24201","三重県","津市","一志町小山","伊勢八太","7",300000,"5000","","195",1500,"長方形","13.3","","","","","","北西","市道",5.0,"都市計画区域外",,,"2020年第４四半期","",""
15,"宅地(土地)","宅地見込地","24201","三重県","津市","一志町小山","伊勢八太","7",250000,"5000","","160",1500,"長方形","10.5","","","","","","北西","市道",5.0,"都市計画区域外",,,"2020年第４四半期","",""
16,"宅地(土地)","住宅地","24201","三重県","津市","一志町片野","伊勢八太","16",1500000,"26000","","190",7800,"ほぼ長方形","15.5","","","","","","東","市道",4.0,"都市計画区域外",,,"2020年第４四半期","",""
17,"宅地(土地と建物)","住宅地","24201","三重県","津市","一志町高野","川合高岡","18",4500000,"","","490",,"台形","17.0","80","昭和55年","木造","住宅","住宅","南西","市道",8.0,"都市計画区域外",,,"2020年第４四半期","",""
18,"宅地(土地)","宅地見込地","24201","三重県","津市","一志町高野","川合高岡","10",7200000,"31000","","760",9400,"台形","23.0","","","","","","南","市道",9.0,"都市計画区域外",,,"2020年第４四半期","",""
19,"宅地(土地)","宅地見込地","24201","三重県","津市","一志町高野","川合高岡","11",6500000,"31000","","680",9400,"長方形","17.0","","","","","","南","市道",9.0,"都市計画区域外",,,"2020年第４四半期","",""
20,"宅地(土地)","宅地見込地","24201","三重県","津市","一志町高野","川合高岡","10",13000000,"31000","","1400",9400,"正方形","39.0","","","","","","南","市道",9.0,"都市計画区域外",,,"2020年第４四半期","",""
21,"宅地(土地)","商業地","24201","三重県","津市","一志町田尻","川合高岡","2",4700000,"33000","","470",10000,"不整形","3.5","","","","","住宅","東","県道",8.0,"都市計画区域外",,,"2020年第４四半期","",""
22,"宅地(土地)","住宅地","24201","三重県","津市","一志町虹が丘","伊勢八太","24",5200000,"16000","","1100",4800,"台形","29.0","","","","","","南東","市道",12.0,"都市計画区域外",,,"2020年第４四半期","","調停・競売等"
23,"宅地(土地と建物)","住宅地","24201","三重県","津市","一志町虹が丘","伊勢八太","25",6500000,"","","290",,"台形","19.6","120","平成16年","木造","住宅","住宅","西","市道",6.0,"都市計画区域外",,,"2020年第４四半期","",""
24,"宅地(土地)","宅地見込地","24201","三重県","津市","一志町波瀬","井関","30分?60分",190000,"1700","","390",500,"長方形","17.0","","","","","","接面道路無","",,"都市計画区域外",,,"2020年第４四半期","",""
25,"宅地(土地)","宅地見込地","24201","三重県","津市","一志町波瀬","井関","30分?60分",180000,"1700","","350",500,"長方形","17.0","","","","","","接面道路無","",,"都市計画区域外",,,"2020年第４四半期","",""
26,"宅地(土地)","宅地見込地","24201","三重県","津市","一志町波瀬","井関","1H?1H30",400000,"3400","","390",1000,"不整形","16.0","","","","","","南東","県道",11.5,"都市計画区域外",,,"2020年第４四半期","",""
27,"宅地(土地)","住宅地","24201","三重県","津市","一志町八太","伊勢八太","6",1000000,"32000","","105",9600,"ほぼ長方形","8.5","","","","","その他","北","市道",4.5,"都市計画区域外",,,"2020年第４四半期","",""
28,"宅地(土地と建物)","住宅地","24201","三重県","津市","一志町八太","一志","1",17000000,"","","300",,"ほぼ長方形","20.0","135","平成11年","木造","住宅","住宅","西","市道",4.5,"都市計画区域外",,,"2020年第４四半期","",""
29,"宅地(土地と建物)","住宅地","24201","三重県","津市","一志町八太","一志","1",19000000,"","","300",,"ほぼ長方形","20.0","135","平成11年","木造","住宅","住宅","西","市道",4.5,"都市計画区域外",,,"2020年第４四半期","",""
30,"宅地(土地)","住宅地","24201","三重県","津市","一志町みのりヶ丘","伊勢八太","18",7300000,"120000","","195",38000,"長方形","12.2","","","","","","南","市道",6.0,"都市計画区域外",,,"2020年第４四半期","",""
31,"宅地(土地と建物)","住宅地","24201","三重県","津市","一志町みのりヶ丘","伊勢八太","15",19000000,"","","200",,"長方形","13.6","130","平成15年","木造","住宅","住宅","南","市道",6.0,"都市計画区域外",,,"2020年第４四半期","",""
32,"中古マンション等","","24201","三重県","津市","一身田上津部田","津","25",20000000,"","３ＬＤＫ","70",,"","","","平成11年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2020年第４四半期","未改装",""
33,"宅地(土地)","住宅地","24201","三重県","津市","一身田町","一身田","10",6000000,"110000","","180",34000,"長方形","7.0","","","","","その他","北西","市道",4.0,"第１種住居地域",60,200,"2020年第４四半期","",""
34,"宅地(土地)","宅地見込地","24201","三重県","津市","一身田町","東一身田","7",13000000,"42000","","980",13000,"長方形","18.5","","","","","住宅","北東","市道",5.0,"第１種低層住居専用地域",60,100,"2020年第４四半期","",""
35,"宅地(土地と建物)","住宅地","24201","三重県","津市","一身田豊野","一身田","30分?60分",31000000,"","","300",,"ほぼ台形","15.0","130","平成21年","軽量鉄骨造","住宅","住宅","南東","市道",6.0,"市街化調整区域",70,400,"2020年第４四半期","",""
36,"宅地(土地と建物)","住宅地","24201","三重県","津市","一身田平野","東一身田","1",26000000,"","","570",,"ほぼ台形","18.5","260","平成9年","軽量鉄骨造","共同住宅","その他","南東","市道",4.0,"第１種住居地域",60,200,"2020年第４四半期","",""
37,"宅地(土地)","住宅地","24201","三重県","津市","稲葉町","久居","1H?1H30",2400000,"26000","","310",7900,"ほぼ長方形","14.0","","","","","","北東","市道",7.0,"都市計画区域外",,,"2020年第４四半期","",""
38,"宅地(土地)","宅地見込地","24201","三重県","津市","稲葉町","久居","1H30?2H",2000000,"5200","","1300",1600,"台形","40.0","","","","","","北東","県道",8.0,"都市計画区域外",,,"2020年第４四半期","",""
39,"宅地(土地)","住宅地","24201","三重県","津市","稲葉町","久居","2H?",1800000,"22000","","260",6600,"長方形","20.0","","","","","","北西","市道",5.5,"都市計画区域外",,,"2020年第４四半期","",""
40,"宅地(土地)","住宅地","24201","三重県","津市","稲葉町","久居","2H?",3000000,"21000","","480",6200,"ほぼ長方形","39.0","","","","","","南東","市道",5.5,"都市計画区域外",,,"2020年第４四半期","",""
41,"宅地(土地)","住宅地","24201","三重県","津市","岩田","津新町","14",14000000,"190000","","240",56000,"ほぼ長方形","14.0","","","","","住宅","南西","市道",6.0,"第１種住居地域",60,200,"2020年第４四半期","",""
42,"林地","","24201","三重県","津市","大里睦合町","","",450000,"","","490",,"","","","","","","","","",,"",,,"2020年第４四半期","",""
43,"林地","","24201","三重県","津市","大里睦合町","","",480000,"","","530",,"","","","","","","","","",,"",,,"2020年第４四半期","",""
44,"林地","","24201","三重県","津市","大里睦合町","","",210000,"","","230",,"","","","","","","","","",,"",,,"2020年第４四半期","",""
45,"林地","","24201","三重県","津市","大里睦合町","","",200000,"","","220",,"","","","","","","","","",,"",,,"2020年第４四半期","",""
