"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","25201","滋賀県","大津市","青山","南草津","30分?60分",23000000,"","","195",,"長方形","13.5","120","平成2年","木造","住宅","住宅","南","市道",6.0,"第１種低層住居専用地域",40,60,"2020年第４四半期","",""
2,"宅地(土地)","住宅地","25201","滋賀県","大津市","青山","南草津","30分?60分",19000000,"330000","","185",100000,"長方形","","","","","","住宅","南","市道",6.0,"第１種低層住居専用地域",40,60,"2020年第４四半期","",""
3,"宅地(土地と建物)","住宅地","25201","滋賀県","大津市","青山","南草津","30分?60分",26000000,"","","250",,"不整形","","140","平成2年","木造","住宅","住宅","北西","市道",6.0,"第１種低層住居専用地域",40,60,"2020年第４四半期","",""
4,"宅地(土地と建物)","住宅地","25201","滋賀県","大津市","青山","南草津","30分?60分",20000000,"","","200",,"正方形","14.0","130","平成5年","木造","住宅","住宅","南","市道",6.0,"第１種低層住居専用地域",50,80,"2020年第４四半期","",""
5,"宅地(土地と建物)","住宅地","25201","滋賀県","大津市","赤尾町","石山","1H?1H30",9700000,"","","185",,"長方形","12.2","145","昭和57年","木造","住宅","住宅","東","市道",8.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
6,"宅地(土地)","住宅地","25201","滋賀県","大津市","秋葉台","膳所","21",21000000,"94000","","720",28000,"台形","19.0","","","","","住宅","南西","市道",3.0,"第１種住居地域",60,200,"2020年第４四半期","",""
7,"宅地(土地)","住宅地","25201","滋賀県","大津市","朝日","小野(滋賀)","19",10000000,"48000","","710",14000,"不整形","19.0","","","","","住宅","東","市道",5.5,"第１種低層住居専用地域",50,80,"2020年第４四半期","",""
8,"宅地(土地と建物)","住宅地","25201","滋賀県","大津市","朝日","小野(滋賀)","19",12000000,"","","190",,"長方形","17.0","115","昭和57年","木造","住宅","住宅","西","市道",5.0,"第１種低層住居専用地域",50,80,"2020年第４四半期","",""
9,"宅地(土地と建物)","住宅地","25201","滋賀県","大津市","朝日が丘","大津","6",36000000,"","","310",,"ほぼ台形","","145","平成2年","木造","住宅","住宅","南","私道",3.5,"第１種住居地域",60,200,"2020年第４四半期","","私道を含む取引"
10,"宅地(土地)","住宅地","25201","滋賀県","大津市","朝日が丘","大津","14",160000000,"140000","","2000㎡以上",42000,"不整形","30.0","","","","","その他","南東","県道",12.0,"第１種住居地域",60,200,"2020年第４四半期","",""
