"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","30201","和歌山県","和歌山市","秋月","和歌山","19",19000000,"430000","","150",130000,"ほぼ台形","12.0","","","","","住宅","南","私道",6.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
2,"宅地(土地と建物)","住宅地","30201","和歌山県","和歌山市","秋月","和歌山","19",11000000,"","","200",,"ほぼ台形","8.0","110","昭和42年","木造","住宅","住宅","北西","道路",3.9,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
3,"宅地(土地)","住宅地","30201","和歌山県","和歌山市","秋葉町","和歌山市","30分?60分",7100000,"180000","","125",56000,"ほぼ台形","9.0","","","","","その他","北","市道",4.0,"第１種低層住居専用地域",50,100,"2020年第４四半期","",""
4,"宅地(土地と建物)","住宅地","30201","和歌山県","和歌山市","秋葉町","和歌山市","1H?1H30",6100000,"","","110",,"ほぼ台形","8.8","55","","木造","住宅","その他","北","市道",3.6,"第１種低層住居専用地域",50,100,"2020年第４四半期","",""
5,"宅地(土地)","住宅地","30201","和歌山県","和歌山市","有家","田中口","6",12000000,"170000","","220",52000,"ほぼ長方形","14.0","","","","","","北","市道",4.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","","私道を含む取引"
6,"宅地(土地)","住宅地","30201","和歌山県","和歌山市","有家","田中口","8",13000000,"260000","","165",78000,"ほぼ整形","13.5","","","","","住宅","北","私道",6.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
7,"宅地(土地と建物)","住宅地","30201","和歌山県","和歌山市","有家","日前宮","5",27000000,"","","160",,"ほぼ長方形","9.6","","令和2年","木造","住宅","住宅","東","道路",,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
8,"宅地(土地)","住宅地","30201","和歌山県","和歌山市","有家","日前宮","18",13000000,"300000","","140",90000,"ほぼ長方形","8.0","","","","","住宅","東","私道",6.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
9,"宅地(土地と建物)","住宅地","30201","和歌山県","和歌山市","有家","日前宮","8",13000000,"","","135",,"ほぼ長方形","12.0","100","平成26年","木造","住宅","住宅","北","道路",,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
10,"宅地(土地)","住宅地","30201","和歌山県","和歌山市","有家","日前宮","4",7600000,"180000","","140",55000,"ほぼ長方形","8.0","","","","","住宅","西","私道",4.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
