"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","相生町","鳥取","23",13000000,"","","130",,"ほぼ長方形","8.5","","昭和50年","","","住宅","南","市道",4.0,"第１種住居地域",60,200,"2020年第４四半期","",""
2,"中古マンション等","","31201","鳥取県","鳥取市","青葉町","鳥取","30分?60分",21000000,"","４ＬＤＫ","100",,"","","","平成20年","ＳＲＣ","住宅","その他","","",,"近隣商業地域",80,200,"2020年第４四半期","",""
3,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","青谷町青谷","青谷","3",1100000,"60000","","60",18000,"長方形","4.0","","","","","","南東","市道",2.0,"市街化区域及び市街化調整区域外の都市計画区域",70,400,"2020年第４四半期","",""
4,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","青谷町青谷","青谷","3",1400000,"60000","","75",18000,"長方形","6.0","","","","","","南東","市道",2.0,"市街化区域及び市街化調整区域外の都市計画区域",70,400,"2020年第４四半期","",""
5,"林地","","31201","鳥取県","鳥取市","青谷町井手","","",4100000,"","","3600",,"","","","","","","","","",,"",,,"2020年第４四半期","",""
6,"農地","","31201","鳥取県","鳥取市","青谷町吉川","","",10000,"","","870",,"","","","","","","","","",,"",,,"2020年第４四半期","",""
7,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","秋里","鳥取","30分?60分",18000000,"150000","","400",45000,"ほぼ長方形","23.0","","","","","住宅","西","市道",3.3,"第２種中高層住居専用地域",60,200,"2020年第４四半期","",""
8,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","上原","鳥取","1H30?2H",2600000,"49000","","175",15000,"ほぼ正方形","13.0","","","","","その他","南","市道",6.0,"都市計画区域外",,,"2020年第４四半期","",""
9,"宅地(土地)","宅地見込地","31201","鳥取県","鳥取市","円護寺","鳥取","1H?1H30",47000000,"50000","","2000㎡以上",15000,"不整形","50.0m以上","","","","","","北東","市道",12.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
10,"宅地(土地)","商業地","31201","鳥取県","鳥取市","扇町","鳥取","",13000000,"380000","","110",110000,"ほぼ長方形","8.5","","","","","その他","北東","市道",5.0,"商業地域",80,400,"2020年第４四半期","",""
11,"宅地(土地と建物)","商業地","31201","鳥取県","鳥取市","扇町","鳥取","",15000000,"","","130",,"ほぼ整形","8.0","110","昭和43年","木造","住宅","その他","南","市道",16.0,"商業地域",80,400,"2020年第４四半期","",""
12,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","大杙","鳥取","30分?60分",12000000,"","","210",,"ほぼ整形","10.0","190","昭和46年","木造","住宅","住宅","北東","市道",4.0,"第２種中高層住居専用地域",60,200,"2020年第４四半期","",""
13,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","面影","鳥取","30分?60分",4800000,"160000","","100",48000,"ほぼ長方形","12.0","","","","","住宅","東","私道",5.0,"第１種住居地域",60,200,"2020年第４四半期","",""
14,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","桂見","鳥取大学前","21",6500000,"68000","","320",21000,"不整形","20.0","","","","","","東","市道",4.0,"第１種低層住居専用地域",50,80,"2020年第４四半期","",""
15,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","叶","鳥取","30分?60分",11000000,"210000","","165",64000,"ほぼ整形","16.0","","","","","住宅","北","市道",8.0,"工業地域",60,200,"2020年第４四半期","",""
16,"宅地(土地)","宅地見込地","31201","鳥取県","鳥取市","叶","鳥取","30分?60分",180000000,"67000","","2000㎡以上",20000,"不整形","35.0","","","","","住宅","南","市道",9.5,"工業地域",60,200,"2020年第４四半期","",""
17,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","叶","鳥取","30分?60分",11000000,"230000","","165",69000,"ほぼ長方形","10.0","","","","","住宅","東","市道",6.0,"工業地域",60,200,"2020年第４四半期","",""
18,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","叶","鳥取","30分?60分",12000000,"110000","","380",32000,"長方形","11.0","","","","","住宅","西","市道",3.0,"市街化調整区域",70,400,"2020年第４四半期","",""
19,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","賀露町北","湖山","30分?60分",27000000,"","","165",,"ほぼ整形","9.0","100","令和2年","木造","住宅","住宅","北東","市道",6.0,"第２種中高層住居専用地域",60,200,"2020年第４四半期","",""
20,"宅地(土地)","商業地","31201","鳥取県","鳥取市","行徳","鳥取","10",13000000,"180000","","230",54000,"ほぼ整形","7.0","","","","","住宅","南","市道",12.0,"近隣商業地域",80,300,"2020年第４四半期","",""
21,"宅地(土地)","商業地","31201","鳥取県","鳥取市","行徳","鳥取","10",11000000,"220000","","170",67000,"ほぼ長方形","7.0","","","","","住宅","北","市道",12.0,"近隣商業地域",80,300,"2020年第４四半期","",""
22,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","行徳","鳥取","16",2300000,"100000","","75",30000,"台形","10.0","","","","","店舗","南東","市道",5.0,"第１種住居地域",60,200,"2020年第４四半期","",""
23,"宅地(土地と建物)","商業地","31201","鳥取県","鳥取市","雲山","鳥取","30分?60分",76000000,"","","1200",,"ほぼ整形","30.0","840","昭和57年","ＳＲＣ","共同住宅、店舗","住宅","西","県道",21.0,"第１種住居地域",60,200,"2020年第４四半期","",""
24,"宅地(土地と建物)","工業地","31201","鳥取県","鳥取市","気高町浜村","浜村","5",20000000,"","","1100",,"長方形","29.0","730","平成5年","鉄骨造","工場","事務所","北","市道",4.0,"市街化区域及び市街化調整区域外の都市計画区域",70,400,"2020年第４四半期","",""
25,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","気高町宝木","宝木","6",2700000,"45000","","200",14000,"不整形","15.0","","","","","住宅","接面道路無","",,"都市計画区域外",,,"2020年第４四半期","",""
26,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","気高町宝木","宝木","6",2000000,"45000","","150",14000,"ほぼ長方形","16.0","","","","","住宅","南","市道",5.5,"都市計画区域外",,,"2020年第４四半期","",""
27,"農地","","31201","鳥取県","鳥取市","気高町八束水","","",200000,"","","480",,"","","","","","","","","",,"",,,"2020年第４四半期","",""
28,"林地","","31201","鳥取県","鳥取市","気高町八束水","","",400000,"","","990",,"","","","","","","","","",,"",,,"2020年第４四半期","",""
29,"林地","","31201","鳥取県","鳥取市","気高町八幡","","",3200000,"","","5000㎡以上",,"","","","","","","","","",,"",,,"2020年第４四半期","",""
30,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","河内","鳥取","2H?",5000,"270","","60",81,"台形","20.0","","","","","その他","南東","県道",10.0,"都市計画区域外",,,"2020年第４四半期","",""
31,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","興南町","鳥取","14",13000000,"","","160",,"ほぼ長方形","12.0","170","昭和47年","鉄骨造","工場、倉庫","倉庫","南東","市道",8.0,"準工業地域",60,200,"2020年第４四半期","",""
32,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","国府町奥谷","鳥取","30分?60分",9400000,"190000","","160",59000,"ほぼ長方形","16.0","","","","","住宅","西","道路",5.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
33,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","国府町新通り","鳥取","30分?60分",23000000,"82000","","920",25000,"ほぼ長方形","20.0","","","","","住宅","北西","市道",9.5,"第１種住居地域",60,200,"2020年第４四半期","",""
34,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","国府町新通り","鳥取","30分?60分",18000000,"120000","","510",35000,"不整形","25.0","","","","","住宅","東","市道",6.0,"第２種中高層住居専用地域",60,200,"2020年第４四半期","",""
35,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","国府町美歎","鳥取","1H?1H30",10000000,"","","540",,"ほぼ整形","11.0","300","平成8年","木造","住宅","住宅","南東","市道",5.0,"市街化調整区域",70,400,"2020年第４四半期","",""
36,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","国府町宮下","鳥取","30分?60分",9500000,"140000","","230",41000,"ほぼ長方形","15.0","","","","","","北東","市道",12.0,"第１種住居地域",60,200,"2020年第４四半期","",""
37,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","国府町宮下","鳥取","30分?60分",12000000,"","","130",,"ほぼ整形","11.0","90","平成8年","木造","住宅","住宅","北東","市道",3.0,"第１種住居地域",60,200,"2020年第４四半期","",""
38,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","国府町宮下","鳥取","30分?60分",11000000,"210000","","170",64000,"ほぼ長方形","9.5","","","","","住宅","南東","市道",6.0,"第１種住居地域",60,200,"2020年第４四半期","",""
39,"宅地(土地)","住宅地","31201","鳥取県","鳥取市","寿町","鳥取","16",4600000,"120000","","130",36000,"長方形","5.0","","","","","","北東","市道",8.0,"近隣商業地域",80,300,"2020年第４四半期","",""
40,"農地","","31201","鳥取県","鳥取市","湖山町北","","",3000000,"","","520",,"","","","","","","その他","","",,"",,,"2020年第４四半期","",""
41,"宅地(土地と建物)","住宅地","31201","鳥取県","鳥取市","湖山町西","鳥取大学前","24",11000000,"","","145",,"ほぼ長方形","10.0","100","平成4年","軽量鉄骨造","住宅","住宅","東","市道",5.0,"市街化調整区域",70,400,"2020年第４四半期","",""
