"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","33101","岡山県","岡山市北区","青江","備前西市","28",3000000,"230000","","45",69000,"長方形","2.0","","","","","住宅","南","市道",4.5,"第１種住居地域",60,200,"2020年第４四半期","",""
2,"宅地(土地と建物)","住宅地","33101","岡山県","岡山市北区","旭本町","大元","30分?60分",16000000,"","","360",,"台形","21.5","230","昭和64年","木造","住宅、工場","その他","北東","県道",6.0,"準工業地域",60,200,"2020年第４四半期","",""
3,"中古マンション等","","33101","岡山県","岡山市北区","伊島町","岡山","30分?60分",19000000,"","４ＬＤＫ","85",,"","","","昭和64年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2020年第４四半期","未改装",""
4,"宅地(土地と建物)","住宅地","33101","岡山県","岡山市北区","伊福町","岡山","13",4900000,"","","45",,"ほぼ長方形","","30","","木造","住宅","","接面道路無","",,"第２種住居地域",60,200,"2020年第４四半期","",""
5,"宅地(土地)","住宅地","33101","岡山県","岡山市北区","伊福町","岡山","15",25000000,"680000","","120",210000,"ほぼ台形","8.5","","","","","","南西","市道",7.0,"第２種住居地域",60,200,"2020年第４四半期","",""
6,"宅地(土地)","住宅地","33101","岡山県","岡山市北区","伊福町","岡山","14",24000000,"440000","","180",130000,"ほぼ長方形","11.5","","","","","住宅","東","市道",2.5,"第２種住居地域",60,200,"2020年第４四半期","",""
7,"宅地(土地)","住宅地","33101","岡山県","岡山市北区","伊福町","岡山","19",55000000,"700000","","260",210000,"台形","13.5","","","","","その他","西","私道",3.0,"第２種住居地域",60,200,"2020年第４四半期","",""
8,"宅地(土地)","住宅地","33101","岡山県","岡山市北区","伊福町","岡山","21",69000000,"1000000","","230",300000,"長方形","11.5","","","","","住宅","南","市道",5.0,"第２種住居地域",60,200,"2020年第４四半期","",""
9,"中古マンション等","","33101","岡山県","岡山市北区","今","大元","15",22000000,"","４ＬＤＫ","95",,"","","","平成7年","ＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,200,"2020年第４四半期","未改装",""
10,"中古マンション等","","33101","岡山県","岡山市北区","今","北長瀬","18",29000000,"","３ＬＤＫ","75",,"","","","平成26年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2020年第４四半期","未改装",""
11,"中古マンション等","","33101","岡山県","岡山市北区","今","北長瀬","18",30000000,"","４ＬＤＫ","90",,"","","","平成26年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2020年第４四半期","未改装",""
12,"中古マンション等","","33101","岡山県","岡山市北区","今村","大元","23",20000000,"","","60",,"","","","平成13年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2020年第４四半期","",""
13,"宅地(土地と建物)","住宅地","33101","岡山県","岡山市北区","岩井宮裏","備前三門","9",5000000,"","","570",,"ほぼ長方形","23.0","","","木造","住宅","倉庫","南","市道",2.5,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
