"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","35201","山口県","下関市","垢田町","幡生","29",11000000,"160000","","240",48000,"不整形","21.0","","","","","住宅","西","私道",5.0,"市街化調整区域",70,200,"2020年第４四半期","",""
2,"宅地(土地と建物)","住宅地","35201","山口県","下関市","秋根上町","新下関","12",20000000,"","","170",,"ほぼ長方形","10.5","120","平成4年","軽量鉄骨造","住宅","","北","市道",4.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
3,"中古マンション等","","35201","山口県","下関市","秋根北町","新下関","10",13000000,"","３ＬＤＫ","65",,"","","","平成6年","ＲＣ","","住宅","","",,"第１種住居地域",60,200,"2020年第４四半期","未改装",""
4,"宅地(土地と建物)","住宅地","35201","山口県","下関市","秋根新町","新下関","6",22000000,"","","190",,"ほぼ長方形","12.0","100","昭和60年","木造","住宅","住宅","北西","市道",6.5,"第１種住居地域",60,200,"2020年第４四半期","",""
5,"中古マンション等","","35201","山口県","下関市","秋根南町","新下関","2",8300000,"","１ＬＤＫ","65",,"","","","昭和55年","ＳＲＣ","","住宅","","",,"商業地域",80,400,"2020年第４四半期","未改装",""
6,"中古マンション等","","35201","山口県","下関市","秋根南町","新下関","2",8800000,"","３ＬＤＫ","65",,"","","","昭和55年","ＳＲＣ","","住宅","","",,"商業地域",80,400,"2020年第４四半期","未改装",""
7,"宅地(土地)","住宅地","35201","山口県","下関市","阿弥陀寺町","下関","30分?60分",1000000,"30000","","110",9100,"ほぼ長方形","8.0","","","","","その他","南東","市道",4.0,"商業地域",80,400,"2020年第４四半期","",""
8,"宅地(土地と建物)","住宅地","35201","山口県","下関市","綾羅木本町","綾羅木","15",12000000,"","","230",,"台形","12.0","70","昭和44年","木造","住宅","住宅","西","私道",3.0,"第１種住居地域",60,200,"2020年第４四半期","",""
9,"宅地(土地)","住宅地","35201","山口県","下関市","綾羅木南町","綾羅木","9",12000000,"170000","","220",51000,"ほぼ正方形","","","","","","住宅","北西","市道",4.5,"第１種低層住居専用地域",40,80,"2020年第４四半期","",""
10,"宅地(土地と建物)","住宅地","35201","山口県","下関市","大字有冨","新下関","14",40000000,"","","240",,"ほぼ台形","12.0","140","平成18年","軽量鉄骨造","住宅","住宅","北東","市道",7.5,"市街化調整区域",70,200,"2020年第４四半期","",""
