"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","40101","福岡県","北九州市門司区","奥田","小森江","30分?60分",1500000,"","","220",,"ほぼ長方形","12.0","115","昭和45年","木造","住宅","","北東","市道",4.0,"第１種住居地域",60,200,"2020年第４四半期","",""
2,"宅地(土地)","住宅地","40101","福岡県","北九州市門司区","奥田","門司","30分?60分",1400000,"27000","","170",8100,"ほぼ長方形","9.0","","","","","","北","県道",9.2,"第１種住居地域",60,200,"2020年第４四半期","",""
3,"宅地(土地と建物)","住宅地","40101","福岡県","北九州市門司区","上藤松","門司","30分?60分",100000,"","","90",,"台形","9.0","85","昭和52年","","住宅","住宅","北西","市道",5.0,"第１種低層住居専用地域",50,80,"2020年第４四半期","",""
4,"宅地(土地)","商業地","40101","福岡県","北九州市門司区","大字吉志","門司","1H30?2H",38000000,"120000","","1100",35000,"不整形","50.0m以上","","","","","その他","南東","県道",35.0,"市街化調整区域",70,200,"2020年第４四半期","",""
5,"宅地(土地)","住宅地","40101","福岡県","北九州市門司区","吉志","門司","1H30?2H",8000000,"57000","","470",17000,"不整形","18.0","","","","","住宅","北西","県道",6.5,"第１種住居地域",60,200,"2020年第４四半期","",""
6,"宅地(土地と建物)","住宅地","40101","福岡県","北九州市門司区","吉志","門司","1H30?2H",20000000,"","","195",,"袋地等","4.5","115","令和2年","木造","住宅","住宅","北西","市道",6.0,"第１種低層住居専用地域",50,80,"2020年第４四半期","",""
7,"宅地(土地)","宅地見込地","40101","福岡県","北九州市門司区","吉志","門司","1H30?2H",19000000,"34000","","1800",10000,"ほぼ整形","33.0","","","","","","北","市道",7.0,"第１種住居地域",60,200,"2020年第４四半期","",""
8,"宅地(土地)","住宅地","40101","福岡県","北九州市門司区","吉志","門司","1H30?2H",50000000,"110000","","1500",34000,"ほぼ整形","50.0m以上","","","","","","南","市道",7.0,"第１種低層住居専用地域",50,80,"2020年第４四半期","",""
9,"宅地(土地)","住宅地","40101","福岡県","北九州市門司区","吉志新町","門司","1H30?2H",1900000,"110000","","60",33000,"長方形","4.0","","","","","住宅","北","市道",6.0,"第１種低層住居専用地域",40,60,"2020年第４四半期","",""
10,"宅地(土地と建物)","住宅地","40101","福岡県","北九州市門司区","吉志新町","門司","1H30?2H",26000000,"","","210",,"長方形","12.5","105","令和2年","木造","住宅","住宅","北西","市道",6.0,"第１種低層住居専用地域",40,60,"2020年第４四半期","",""
