"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","商業地","41201","佐賀県","佐賀市","朝日町","佐賀","30分?60分",15000000,"","","400",,"ほぼ整形","10.0","95","平成7年","木造","住宅","住宅","北","県道",16.0,"近隣商業地域",80,200,"2020年第４四半期","",""
2,"宅地(土地と建物)","住宅地","41201","佐賀県","佐賀市","今宿町","佐賀","30分?60分",2500000,"","","210",,"長方形","16.5","85","昭和37年","木造","住宅","住宅","南","市道",4.0,"第１種低層住居専用地域",50,80,"2020年第４四半期","",""
3,"中古マンション等","","41201","佐賀県","佐賀市","駅前中央","佐賀","5",21000000,"","４ＬＤＫ","90",,"","","","平成16年","ＳＲＣ","","住宅","","",,"商業地域",80,500,"2020年第４四半期","改装済",""
4,"中古マンション等","","41201","佐賀県","佐賀市","駅南本町","佐賀","7",28000000,"","４ＬＤＫ","95",,"","","","平成27年","ＲＣ","","住宅","","",,"商業地域",80,400,"2020年第４四半期","未改装",""
5,"宅地(土地)","住宅地","41201","佐賀県","佐賀市","大財","佐賀","18",1500000,"49000","","100",15000,"ほぼ長方形","4.1","","","","","","南","私道",4.1,"第２種住居地域",60,200,"2020年第４四半期","",""
6,"宅地(土地と建物)","住宅地","41201","佐賀県","佐賀市","大財","佐賀","24",22000000,"","","140",,"長方形","9.0","95","","","","住宅","南","市道",4.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
7,"宅地(土地と建物)","住宅地","41201","佐賀県","佐賀市","大財","佐賀","24",24000000,"","","155",,"長方形","10.2","95","令和2年","木造","住宅","住宅","南","市道",4.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
8,"宅地(土地と建物)","住宅地","41201","佐賀県","佐賀市","大財","佐賀","19",10000000,"","","210",,"長方形","15.3","110","昭和59年","木造","住宅","住宅","西","私道",6.0,"第１種住居地域",60,200,"2020年第４四半期","",""
9,"中古マンション等","","41201","佐賀県","佐賀市","大財","佐賀","13",9000000,"","３ＬＤＫ","70",,"","","","平成8年","ＳＲＣ","住宅","住宅","","",,"第２種住居地域",60,200,"2020年第４四半期","未改装",""
10,"中古マンション等","","41201","佐賀県","佐賀市","大財","佐賀","16",11000000,"","４ＬＤＫ","90",,"","","","平成2年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2020年第４四半期","改装済",""
