"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","47201","沖縄県","那覇市","赤嶺","赤嶺","6",130000000,"","","470",,"ほぼ長方形","27.0","115","平成16年","木造","住宅","住宅","北西","市道",6.0,"第１種中高層住居専用地域",60,200,"2020年第４四半期","",""
2,"宅地(土地と建物)","工業地","47201","沖縄県","那覇市","曙","","",600000000,"","","1900",,"長方形","43.0","1300","昭和47年","鉄骨造","倉庫","工場","東","市道",9.0,"商業地域",80,400,"2020年第４四半期","",""
3,"宅地(土地と建物)","商業地","47201","沖縄県","那覇市","字安里","安里","5",88000000,"","","100",,"ほぼ台形","9.2","170","平成30年","ＲＣ","共同住宅","その他","北西","国道",40.0,"準住居地域",60,200,"2020年第４四半期","",""
4,"中古マンション等","","47201","沖縄県","那覇市","安里","安里","4",16000000,"","２ＬＤＫ","50",,"","","","昭和58年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2020年第４四半期","未改装",""
5,"宅地(土地)","住宅地","47201","沖縄県","那覇市","字安謝","","",15000000,"430000","","110",130000,"ほぼ長方形","9.0","","","","","住宅","北西","道路",3.0,"第１種住居地域",60,200,"2020年第４四半期","",""
6,"宅地(土地と建物)","住宅地","47201","沖縄県","那覇市","安謝","古島","19",91000000,"","","150",,"長方形","9.0","190","平成19年","ＲＣ","事務所、店舗","住宅","南西","市道",6.0,"第２種中高層住居専用地域",60,200,"2020年第４四半期","",""
7,"宅地(土地)","住宅地","47201","沖縄県","那覇市","安謝","","",280000000,"1000000","","910",310000,"長方形","20.0","","","","","事務所","北西","国道",8.0,"近隣商業地域",80,300,"2020年第４四半期","",""
8,"中古マンション等","","47201","沖縄県","那覇市","安謝","","",32000000,"","２ＬＤＫ","75",,"","","","平成16年","ＲＣ","","住宅","","",,"第２種中高層住居専用地域",60,200,"2020年第４四半期","未改装",""
9,"中古マンション等","","47201","沖縄県","那覇市","字天久","古島","29",23000000,"","３ＬＤＫ","70",,"","","","平成22年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2020年第４四半期","未改装",""
10,"中古マンション等","","47201","沖縄県","那覇市","上之屋","","",29000000,"","１ＬＤＫ","65",,"","","","平成16年","ＳＲＣ","住宅","店舗","","",,"近隣商業地域",80,300,"2020年第４四半期","未改装",""
11,"宅地(土地と建物)","住宅地","47201","沖縄県","那覇市","宇栄原","赤嶺","20",120000000,"","","520",,"不整形","12.0","370","平成17年","ＲＣ","住宅、共同住宅","","南","市道",5.8,"第１種低層住居専用地域",50,100,"2020年第４四半期","",""
12,"宅地(土地と建物)","住宅地","47201","沖縄県","那覇市","宇栄原","赤嶺","19",65000000,"","","260",,"ほぼ整形","11.5","180","平成13年","ＲＣ","住宅、共同住宅","","南","市道",8.0,"第１種低層住居専用地域",50,100,"2020年第４四半期","",""
13,"宅地(土地と建物)","住宅地","47201","沖縄県","那覇市","宇栄原","赤嶺","7",37000000,"","","105",,"ほぼ正方形","10.0","95","平成8年","鉄骨造","住宅","住宅","北東","市道",12.0,"第２種低層住居専用地域",50,100,"2020年第４四半期","",""
14,"宅地(土地と建物)","住宅地","47201","沖縄県","那覇市","宇栄原","赤嶺","25",43000000,"","","120",,"ほぼ整形","6.5","95","令和2年","木造","住宅","住宅","南","市道",6.0,"第１種低層住居専用地域",50,100,"2020年第４四半期","",""
15,"中古マンション等","","47201","沖縄県","那覇市","おもろまち","おもろまち","10",59000000,"","３ＬＤＫ","80",,"","","","平成27年","ＲＣ","","住宅","","",,"近隣商業地域",80,400,"2020年第４四半期","未改装",""
16,"中古マンション等","","47201","沖縄県","那覇市","おもろまち","おもろまち","9",39000000,"","２ＬＤＫ","70",,"","","","平成25年","ＲＣ","住宅","その他","","",,"近隣商業地域",80,400,"2020年第４四半期","未改装",""
17,"中古マンション等","","47201","沖縄県","那覇市","おもろまち","","",41000000,"","３ＬＤＫ","75",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,200,"2020年第４四半期","改装済",""
18,"宅地(土地)","住宅地","47201","沖縄県","那覇市","字小禄","奥武山公園","20",41000000,"400000","","340",120000,"ほぼ長方形","22.0","","","","","","北","市道",4.0,"第１種低層住居専用地域",50,100,"2020年第４四半期","",""
