"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","03201","岩手県","盛岡市","青山","青山(岩手)","14",19000000,"","","110",,"ほぼ長方形","8.5","105","平成15年","木造","住宅","住宅","南東","市道",6.0,"第１種住居地域",60,200,"2021年第１四半期","",""
2,"宅地(土地)","商業地","03201","岩手県","盛岡市","青山","青山(岩手)","8",8500000,"240000","","115",73000,"ほぼ長方形","7.0","","","","","住宅","北西","市道",12.0,"近隣商業地域",80,200,"2021年第１四半期","",""
3,"宅地(土地と建物)","商業地","03201","岩手県","盛岡市","青山","青山(岩手)","11",120000000,"","","1900",,"ほぼ台形","36.0","710","昭和53年","","その他","その他","南東","市道",16.0,"第１種住居地域",60,200,"2021年第１四半期","",""
4,"宅地(土地と建物)","住宅地","03201","岩手県","盛岡市","浅岸","盛岡","30分?60分",12000000,"","","280",,"ほぼ長方形","18.0","240","平成7年","木造","共同住宅","その他","北西","市道",16.0,"第１種住居地域",60,200,"2021年第１四半期","",""
5,"宅地(土地)","住宅地","03201","岩手県","盛岡市","愛宕町","盛岡","30分?60分",52000000,"220000","","790",66000,"ほぼ長方形","35.0","","","","","その他","南東","市道",7.0,"第１種住居地域",60,200,"2021年第１四半期","",""
6,"宅地(土地と建物)","住宅地","03201","岩手県","盛岡市","上田","盛岡","30分?60分",12000000,"","","135",,"長方形","14.9","140","平成2年","木造","","その他","南","私道",4.0,"第１種住居地域",60,200,"2021年第１四半期","",""
7,"宅地(土地)","住宅地","03201","岩手県","盛岡市","上田堤","盛岡","1H?1H30",5300000,"110000","","160",33000,"ほぼ台形","8.4","","","","","住宅","南西","市道",4.5,"第１種低層住居専用地域",50,80,"2021年第１四半期","",""
8,"中古マンション等","","03201","岩手県","盛岡市","内丸","盛岡","23",8000000,"","１Ｋ","30",,"","","","","","","住宅","","",,"商業地域",80,400,"2021年第１四半期","改装済",""
9,"宅地(土地)","住宅地","03201","岩手県","盛岡市","大館町","青山(岩手)","16",21000000,"170000","","420",51000,"ほぼ台形","30.0","","","","","住宅","北東","市道",4.0,"第１種低層住居専用地域",50,80,"2021年第１四半期","",""
10,"中古マンション等","","03201","岩手県","盛岡市","大通","盛岡","6",38000000,"","４ＬＤＫ","105",,"","","","","","","住宅","","",,"商業地域",80,600,"2021年第１四半期","未改装",""
11,"中古マンション等","","03201","岩手県","盛岡市","大通","盛岡","6",31000000,"","３ＬＤＫ","80",,"","","","平成14年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第１四半期","",""
12,"中古マンション等","","03201","岩手県","盛岡市","開運橋通","盛岡","8",6000000,"","３ＤＫ","50",,"","","","","ＳＲＣ","","住宅","","",,"商業地域",80,600,"2021年第１四半期","未改装",""
13,"宅地(土地)","住宅地","03201","岩手県","盛岡市","加賀野","盛岡","30分?60分",2400000,"18000","","460",5400,"ほぼ台形","10.0","","","","","その他","南西","道路",3.0,"第１種住居地域",60,200,"2021年第１四半期","","調停・競売等"
14,"中古マンション等","","03201","岩手県","盛岡市","加賀野","盛岡","30分?60分",30000000,"","３ＬＤＫ","70",,"","","","平成26年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2021年第１四半期","未改装",""
15,"宅地(土地と建物)","住宅地","03201","岩手県","盛岡市","上堂","青山(岩手)","15",25000000,"","","200",,"長方形","13.0","190","平成8年","木造","住宅、作業場","住宅","西","市道",6.0,"第１種住居地域",60,200,"2021年第１四半期","",""
16,"宅地(土地)","住宅地","03201","岩手県","盛岡市","上堂","青山(岩手)","21",25000000,"110000","","770",32000,"ほぼ台形","18.3","","","","","住宅","北","市道",6.5,"第１種住居地域",60,200,"2021年第１四半期","",""
17,"宅地(土地と建物)","住宅地","03201","岩手県","盛岡市","北松園","盛岡","1H30?2H",10000000,"","","220",,"正方形","15.0","120","昭和63年","木造","住宅","住宅","西","市道",6.0,"第１種低層住居専用地域",40,80,"2021年第１四半期","",""
18,"宅地(土地)","住宅地","03201","岩手県","盛岡市","北松園","盛岡","1H30?2H",8900000,"140000","","210",42000,"長方形","13.0","","","","","住宅","北","市道",10.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
19,"宅地(土地と建物)","住宅地","03201","岩手県","盛岡市","厨川","厨川","18",29000000,"","","165",,"ほぼ台形","8.0","110","","木造","住宅","住宅","北西","市道",6.0,"第１種住居地域",60,200,"2021年第１四半期","",""
20,"宅地(土地と建物)","商業地","03201","岩手県","盛岡市","厨川","厨川","4",17000000,"","","380",,"ほぼ台形","13.5","160","昭和62年","鉄骨造","店舗","店舗","南東","国道",22.0,"近隣商業地域",80,200,"2021年第１四半期","",""
21,"宅地(土地)","住宅地","03201","岩手県","盛岡市","黒石野","盛岡","1H?1H30",7900000,"190000","","135",59000,"ほぼ整形","7.5","","","","","住宅","西","私道",4.0,"第１種低層住居専用地域",50,80,"2021年第１四半期","",""
22,"宅地(土地)","住宅地","03201","岩手県","盛岡市","黒石野","盛岡","1H?1H30",1500000,"30000","","165",9200,"ほぼ正方形","12.5","","","","","住宅","南","市道",4.0,"第１種低層住居専用地域",50,80,"2021年第１四半期","",""
23,"農地","","03201","岩手県","盛岡市","好摩","","",47000,"","","470",,"","","","","","","その他","","",,"",,,"2021年第１四半期","",""
24,"中古マンション等","","03201","岩手県","盛岡市","材木町","盛岡","11",3000000,"","１ＤＫ","20",,"","","","平成3年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,400,"2021年第１四半期","",""
