"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","04101","宮城県","仙台市青葉区","旭ケ丘","旭ケ丘(宮城)","5",43000000,"380000","","370",120000,"ほぼ長方形","16.4","","","","","住宅","南","道路",4.0,"第１種低層住居専用地域",50,80,"2021年第１四半期","",""
2,"宅地(土地)","住宅地","04101","宮城県","仙台市青葉区","旭ケ丘","旭ケ丘(宮城)","11",26000000,"260000","","330",77000,"ほぼ長方形","","","","","","","東","市道",4.0,"第１種住居地域",60,200,"2021年第１四半期","",""
3,"宅地(土地)","住宅地","04101","宮城県","仙台市青葉区","旭ケ丘","旭ケ丘(宮城)","6",26000000,"450000","","190",140000,"長方形","12.0","","","","","住宅","南","市道",6.0,"第１種低層住居専用地域",50,80,"2021年第１四半期","",""
4,"宅地(土地と建物)","住宅地","04101","宮城県","仙台市青葉区","旭ケ丘","旭ケ丘(宮城)","9",66000000,"","","320",,"ほぼ長方形","","","","","","住宅","東","市道",6.0,"",,,"2021年第１四半期","",""
5,"宅地(土地と建物)","住宅地","04101","宮城県","仙台市青葉区","旭ケ丘","旭ケ丘(宮城)","11",35000000,"","","140",,"ほぼ長方形","12.7","105","令和2年","木造","住宅","住宅","東","市道",7.0,"第１種住居地域",60,200,"2021年第１四半期","",""
6,"宅地(土地と建物)","住宅地","04101","宮城県","仙台市青葉区","旭ケ丘","旭ケ丘(宮城)","7",59000000,"","","410",,"ほぼ長方形","22.0","280","平成6年","木造","共同住宅","その他","北","市道",4.0,"第１種低層住居専用地域",50,80,"2021年第１四半期","",""
7,"宅地(土地と建物)","住宅地","04101","宮城県","仙台市青葉区","旭ケ丘","旭ケ丘(宮城)","9",18000000,"","","330",,"ほぼ長方形","18.6","230","昭和63年","木造","共同住宅","","北","私道",4.0,"第１種低層住居専用地域",50,80,"2021年第１四半期","",""
8,"宅地(土地)","住宅地","04101","宮城県","仙台市青葉区","旭ケ丘","台原","8",26000000,"400000","","220",120000,"ほぼ長方形","15.4","","","","","住宅","西","市道",5.0,"第１種低層住居専用地域",50,80,"2021年第１四半期","",""
9,"宅地(土地と建物)","住宅地","04101","宮城県","仙台市青葉区","愛子中央","愛子","8",29000000,"","","250",,"不整形","8.2","195","平成9年","木造","住宅","住宅","西","市道",9.0,"第２種中高層住居専用地域",60,200,"2021年第１四半期","",""
10,"宅地(土地と建物)","住宅地","04101","宮城県","仙台市青葉区","愛子中央","愛子","6",27000000,"","","150",,"ほぼ台形","12.4","105","令和2年","木造","住宅","住宅","西","市道",10.0,"第２種中高層住居専用地域",60,200,"2021年第１四半期","",""
11,"宅地(土地)","住宅地","04101","宮城県","仙台市青葉区","愛子東","愛子","10",15000000,"180000","","260",56000,"ほぼ長方形","","","","","","住宅","西","道路",4.0,"第２種住居地域",60,200,"2021年第１四半期","",""
12,"宅地(土地)","住宅地","04101","宮城県","仙台市青葉区","愛子東","愛子","11",16000000,"320000","","170",95000,"ほぼ長方形","9.4","","","","","住宅","北西","市道",5.5,"第２種中高層住居専用地域",60,200,"2021年第１四半期","",""
13,"宅地(土地と建物)","住宅地","04101","宮城県","仙台市青葉区","愛子東","陸前落合","25",25000000,"","","145",,"ほぼ長方形","","","","","","","西","市道",,"",,,"2021年第１四半期","",""
14,"宅地(土地)","住宅地","04101","宮城県","仙台市青葉区","荒巻","青葉山","25",8000000,"100000","","260",30000,"ほぼ長方形","15.0","","","","","","北","市道",5.0,"第１種住居地域",60,200,"2021年第１四半期","",""
15,"宅地(土地と建物)","住宅地","04101","宮城県","仙台市青葉区","荒巻神明町","北仙台","13",46000000,"","","180",,"不整形","24.0","160","平成31年","木造","共同住宅","","西","道路",4.0,"第１種住居地域",60,200,"2021年第１四半期","",""
16,"宅地(土地と建物)","住宅地","04101","宮城県","仙台市青葉区","荒巻中央","北仙台","21",46000000,"","","165",,"ほぼ長方形","10.0","110","令和2年","木造","住宅","住宅","東","市道",5.0,"第１種低層住居専用地域",,,"2021年第１四半期","",""
17,"中古マンション等","","04101","宮城県","仙台市青葉区","一番町","青葉通一番町","6",7500000,"","１ＬＤＫ","25",,"","","","平成3年","ＲＣ","住宅","その他","","",,"商業地域",80,500,"2021年第１四半期","未改装",""
18,"中古マンション等","","04101","宮城県","仙台市青葉区","一番町","青葉通一番町","6",3300000,"","１Ｋ","20",,"","","","平成3年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第１四半期","未改装",""
19,"中古マンション等","","04101","宮城県","仙台市青葉区","五橋","五橋","4",23000000,"","３ＬＤＫ","60",,"","","","平成8年","ＳＲＣ","住宅","","","",,"商業地域",80,400,"2021年第１四半期","",""
20,"中古マンション等","","04101","宮城県","仙台市青葉区","五橋","五橋","5",12000000,"","３ＬＤＫ","60",,"","","","平成18年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,400,"2021年第１四半期","",""
21,"中古マンション等","","04101","宮城県","仙台市青葉区","五橋","五橋","9",31000000,"","３ＬＤＫ","70",,"","","","平成9年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第１四半期","未改装",""
22,"中古マンション等","","04101","宮城県","仙台市青葉区","五橋","仙台","8",38000000,"","４ＬＤＫ","85",,"","","","平成9年","ＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第１四半期","未改装",""
23,"宅地(土地)","住宅地","04101","宮城県","仙台市青葉区","芋沢","陸前落合","21",500000,"12000","","145",3500,"ほぼ長方形","11.0","","","","","事務所","北","市道",4.5,"市街化調整区域",60,100,"2021年第１四半期","",""
24,"林地","","04101","宮城県","仙台市青葉区","芋沢","","",120000,"","","3800",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
25,"農地","","04101","宮城県","仙台市青葉区","芋沢","","",600000,"","","530",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
26,"宅地(土地)","住宅地","04101","宮城県","仙台市青葉区","大倉","熊ケ根","30分?60分",1000000,"2900","","1200",860,"ほぼ整形","","","","","","その他","北東","道路",2.0,"市街化調整区域",,,"2021年第１四半期","",""
