"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","05201","秋田県","秋田市","新屋朝日町","秋田","1H?1H30",11000000,"110000","","310",34000,"台形","13.0","","","","","その他","南","市道",4.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
2,"宅地(土地と建物)","住宅地","05201","秋田県","秋田市","新屋大川町","新屋(秋田)","14",40000000,"","","360",,"ほぼ整形","18.0","120","","","","住宅","南","市道",6.0,"第１種住居地域",60,200,"2021年第１四半期","",""
3,"宅地(土地)","住宅地","05201","秋田県","秋田市","新屋日吉町","新屋(秋田)","20",6100000,"110000","","190",32000,"長方形","9.7","","","","","住宅","北","市道",6.0,"第２種中高層住居専用地域",60,200,"2021年第１四半期","",""
4,"宅地(土地)","住宅地","05201","秋田県","秋田市","新屋松美ガ丘南町","秋田","1H?1H30",13000000,"130000","","320",39000,"ほぼ長方形","12.2","","","","","住宅","北","市道",7.5,"第１種低層住居専用地域",40,60,"2021年第１四半期","",""
5,"宅地(土地)","住宅地","05201","秋田県","秋田市","新屋元町","新屋(秋田)","16",5500000,"91000","","200",28000,"ほぼ長方形","8.3","","","","","住宅","東","県道",6.5,"第１種住居地域",60,200,"2021年第１四半期","",""
6,"宅地(土地と建物)","商業地","05201","秋田県","秋田市","新屋豊町","秋田","30分?60分",80000000,"","","820",,"ほぼ台形","21.0","280","平成28年","鉄骨造","その他","店舗","北西","市道",16.0,"工業地域",60,200,"2021年第１四半期","",""
7,"中古マンション等","","05201","秋田県","秋田市","新屋豊町","秋田","30分?60分",16000000,"","４ＬＤＫ","95",,"","","","平成13年","ＲＣ","住宅","住宅","","",,"工業地域",60,200,"2021年第１四半期","未改装",""
8,"宅地(土地と建物)","住宅地","05201","秋田県","秋田市","新屋割山町","秋田","1H?1H30",29000000,"","","310",,"ほぼ長方形","13.0","195","平成20年","木造","住宅","住宅","南","市道",4.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","","私道を含む取引"
9,"農地","","05201","秋田県","秋田市","飯島","","",300000,"","","3100",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
10,"農地","","05201","秋田県","秋田市","飯島","","",50000,"","","520",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
11,"農地","","05201","秋田県","秋田市","飯島","","",4000000,"","","2000",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
12,"宅地(土地と建物)","住宅地","05201","秋田県","秋田市","飯島鼠田","上飯島","3",9100000,"","","250",,"ほぼ整形","12.0","135","平成14年","軽量鉄骨造","共同住宅","住宅","北西","県道",5.0,"第１種低層住居専用地域",40,60,"2021年第１四半期","",""
13,"宅地(土地と建物)","住宅地","05201","秋田県","秋田市","泉北","","",10000000,"","","165",,"ほぼ長方形","11.0","165","平成11年","木造","住宅","住宅","西","市道",6.0,"準工業地域",60,200,"2021年第１四半期","",""
14,"宅地(土地と建物)","商業地","05201","秋田県","秋田市","泉中央","秋田","30分?60分",19000000,"","","310",,"不整形","19.0","75","昭和50年","木造","住宅","事務所","南","市道",7.0,"準工業地域",60,200,"2021年第１四半期","",""
15,"宅地(土地と建物)","住宅地","05201","秋田県","秋田市","泉中央","秋田","30分?60分",16000000,"","","290",,"長方形","17.0","195","昭和63年","木造","住宅","住宅","南","市道",6.0,"第２種中高層住居専用地域",60,200,"2021年第１四半期","",""
16,"宅地(土地)","住宅地","05201","秋田県","秋田市","泉馬場","秋田","30分?60分",4000000,"60000","","220",18000,"長方形","11.0","","","","","住宅","南","市道",6.0,"第１種低層住居専用地域",50,80,"2021年第１四半期","",""
17,"宅地(土地と建物)","住宅地","05201","秋田県","秋田市","泉南","秋田","30分?60分",20000000,"","","290",,"正方形","17.0","270","昭和52年","木造","共同住宅","","西","市道",4.0,"第２種中高層住居専用地域",60,200,"2021年第１四半期","",""
18,"宅地(土地)","商業地","05201","秋田県","秋田市","牛島西","羽後牛島","8",900000,"30000","","100",9100,"台形","2.4","","","","","事務所","北東","国道",24.0,"近隣商業地域",80,200,"2021年第１四半期","",""
19,"宅地(土地)","住宅地","05201","秋田県","秋田市","大住","羽後牛島","11",7800000,"110000","","230",33000,"ほぼ正方形","15.6","","","","","住宅","南西","市道",6.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
20,"宅地(土地と建物)","住宅地","05201","秋田県","秋田市","大住","羽後牛島","18",21000000,"","","210",,"長方形","13.5","85","令和3年","木造","住宅","住宅","北東","市道",6.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
21,"宅地(土地)","住宅地","05201","秋田県","秋田市","大住","羽後牛島","15",8700000,"140000","","210",42000,"長方形","13.0","","","","","住宅","南西","市道",6.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
22,"宅地(土地)","住宅地","05201","秋田県","秋田市","大住","羽後牛島","16",6800000,"120000","","180",38000,"長方形","11.8","","","","","住宅","南西","市道",6.0,"第１種低層住居専用地域",50,80,"2021年第１四半期","",""
