"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","06201","山形県","山形市","大字青柳","楯山","10",11000000,"100000","","350",31000,"ほぼ整形","","","","","","","南","県道",4.0,"市街化調整区域",70,200,"2021年第１四半期","",""
2,"宅地(土地)","住宅地","06201","山形県","山形市","大字青柳","楯山","10",1800000,"100000","","60",31000,"ほぼ整形","","","","","","","南","県道",4.0,"市街化調整区域",70,200,"2021年第１四半期","",""
3,"宅地(土地)","住宅地","06201","山形県","山形市","あこや町","山形","30分?60分",21000000,"240000","","300",73000,"ほぼ長方形","15.1","","","","","","南","市道",5.4,"準住居地域",60,200,"2021年第１四半期","",""
4,"宅地(土地)","住宅地","06201","山形県","山形市","あこや町","山形","30分?60分",24000000,"320000","","250",97000,"長方形","20.0","","","","","住宅","南","市道",9.0,"第２種中高層住居専用地域",60,200,"2021年第１四半期","",""
5,"中古マンション等","","06201","山形県","山形市","あこや町","山形","30分?60分",14000000,"","３ＬＤＫ","60",,"","","","平成14年","","","住宅","","",,"第１種住居地域",60,200,"2021年第１四半期","未改装",""
6,"宅地(土地と建物)","住宅地","06201","山形県","山形市","あさひ町","山形","30分?60分",30000000,"","","270",,"ほぼ長方形","14.2","250","昭和62年","鉄骨造","事務所、店舗","","南","市道",15.0,"第２種中高層住居専用地域",60,200,"2021年第１四半期","",""
7,"宅地(土地と建物)","住宅地","06201","山形県","山形市","荒楯町","山形","29",25000000,"","","300",,"長方形","20.0","135","昭和64年","木造","住宅","住宅","南","市道",6.0,"第２種低層住居専用地域",60,150,"2021年第１四半期","",""
8,"宅地(土地)","住宅地","06201","山形県","山形市","荒楯町","山形","26",19000000,"160000","","370",49000,"ほぼ長方形","10.0","","","","","住宅","北","市道",6.0,"第２種低層住居専用地域",60,150,"2021年第１四半期","",""
9,"宅地(土地)","住宅地","06201","山形県","山形市","飯田","山形","30分?60分",11000000,"200000","","185",60000,"正方形","12.8","","","","","","南東","市道",6.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
10,"宅地(土地と建物)","住宅地","06201","山形県","山形市","泉町","北山形","25",27000000,"","","130",,"長方形","7.5","95","令和2年","木造","住宅","住宅","西","市道",8.0,"第１種住居地域",60,200,"2021年第１四半期","",""
