"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","10201","群馬県","前橋市","朝倉町","前橋大島","27",5000000,"","","190",,"不整形","","80","昭和40年","木造","住宅","住宅","西","市道",5.0,"第２種中高層住居専用地域",60,200,"2021年第１四半期","",""
2,"宅地(土地と建物)","住宅地","10201","群馬県","前橋市","朝倉町","前橋大島","30分?60分",26000000,"","","330",,"ほぼ整形","","105","令和2年","木造","住宅","住宅","東","市道",7.4,"第２種中高層住居専用地域",60,200,"2021年第１四半期","",""
3,"宅地(土地)","住宅地","10201","群馬県","前橋市","朝倉町","前橋大島","19",10000000,"83000","","400",25000,"ほぼ整形","15.0","","","","","店舗","北東","市道",16.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
4,"宅地(土地と建物)","住宅地","10201","群馬県","前橋市","朝日が丘町","前橋","30分?60分",9000000,"","","180",,"長方形","11.0","80","昭和58年","木造","住宅","その他","南","市道",10.0,"第１種低層住居専用地域",40,80,"2021年第１四半期","",""
5,"宅地(土地と建物)","住宅地","10201","群馬県","前橋市","朝日町","前橋","22",1800000,"","","35",,"台形","6.0","35","昭和39年","木造","住宅","店舗","北","市道",17.0,"第１種住居地域",60,200,"2021年第１四半期","",""
6,"宅地(土地と建物)","住宅地","10201","群馬県","前橋市","天川大島町","前橋大島","20",32000000,"","","600",,"台形","17.0","350","昭和50年","鉄骨造","倉庫","倉庫","南西","市道",13.6,"準工業地域",60,200,"2021年第１四半期","","隣地の購入"
7,"宅地(土地)","住宅地","10201","群馬県","前橋市","天川大島町","前橋大島","9",5800000,"140000","","135",43000,"ほぼ正方形","11.9","","","","","その他","南東","市道",6.0,"準工業地域",60,200,"2021年第１四半期","",""
8,"宅地(土地と建物)","住宅地","10201","群馬県","前橋市","天川大島町","前橋大島","12",28000000,"","","185",,"不整形","11.5","115","令和2年","木造","住宅","住宅","東","市道",6.0,"準工業地域",60,200,"2021年第１四半期","",""
9,"宅地(土地と建物)","住宅地","10201","群馬県","前橋市","天川原町","前橋","30分?60分",30000000,"","","185",,"ほぼ台形","6.0","115","令和2年","木造","住宅","住宅","南","市道",6.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","","私道を含む取引"
10,"宅地(土地と建物)","住宅地","10201","群馬県","前橋市","天川原町","前橋","30分?60分",6000000,"","","165",,"台形","11.0","110","昭和56年","軽量鉄骨造","住宅","","北","市道",4.2,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
11,"宅地(土地と建物)","住宅地","10201","群馬県","前橋市","飯土井町","駒形","1H?1H30",4400000,"","","430",,"不整形","8.5","240","昭和61年","鉄骨造","事務所、作業場","その他","西","市道",5.2,"市街化調整区域",70,200,"2021年第１四半期","","調停・競売等"
12,"宅地(土地と建物)","住宅地","10201","群馬県","前橋市","石倉町","新前橋","11",20000000,"","","220",,"不整形","17.5","95","令和2年","木造","住宅","住宅","南","私道",8.0,"第２種住居地域",60,200,"2021年第１四半期","",""
13,"宅地(土地と建物)","住宅地","10201","群馬県","前橋市","石倉町","新前橋","25",23000000,"","","260",,"ほぼ長方形","17.5","270","昭和58年","鉄骨造","事務所、倉庫","事務所","東","市道",6.0,"第１種住居地域",60,200,"2021年第１四半期","",""
14,"農地","","10201","群馬県","前橋市","市之関町","","",350000,"","","1300",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
