"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"中古マンション等","","11101","埼玉県","さいたま市西区","大字植田谷本","北与野","30分?60分",6500000,"","３ＤＫ","45",,"","","","昭和48年","ＲＣ","","住宅","","",,"市街化調整区域",60,200,"2021年第１四半期","未改装",""
2,"宅地(土地)","住宅地","11101","埼玉県","さいたま市西区","大字内野本郷","日進(埼玉)","18",6800000,"340000","","65",100000,"ほぼ長方形","8.9","","","","","住宅","南東","市道",4.0,"第１種住居地域",60,200,"2021年第１四半期","",""
3,"宅地(土地と建物)","住宅地","11101","埼玉県","さいたま市西区","大字内野本郷","宮原","26",30000000,"","","130",,"ほぼ台形","9.4","105","令和2年","木造","住宅","住宅","南東","市道",44.0,"第１種住居地域",60,200,"2021年第１四半期","",""
4,"宅地(土地)","住宅地","11101","埼玉県","さいたま市西区","大字指扇","指扇","14",17000000,"340000","","165",100000,"長方形","7.3","","","","","住宅","北西","市道",4.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
5,"中古マンション等","","11101","埼玉県","さいたま市西区","大字指扇","指扇","13",19000000,"","４ＬＤＫ","90",,"","","","平成10年","ＲＣ","","住宅","","",,"第１種住居地域",60,200,"2021年第１四半期","改装済",""
6,"中古マンション等","","11101","埼玉県","さいたま市西区","大字指扇","指扇","12",9700000,"","２ＬＤＫ","55",,"","","","平成8年","ＲＣ","","住宅","","",,"第１種中高層住居専用地域",60,200,"2021年第１四半期","未改装",""
7,"宅地(土地と建物)","住宅地","11101","埼玉県","さいたま市西区","大字指扇","西大宮","11",89000000,"","","210",,"長方形","13.4","","","","","住宅","南西","市道",4.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
8,"宅地(土地と建物)","住宅地","11101","埼玉県","さいたま市西区","大字指扇","西大宮","16",30000000,"","","155",,"ほぼ正方形","12.0","155","平成19年","木造","住宅","その他","北東","市道",6.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","","調停・競売等"
9,"宅地(土地と建物)","住宅地","11101","埼玉県","さいたま市西区","大字指扇","西大宮","13",8000000,"","","105",,"不整形","2.5","85","平成5年","木造","住宅","住宅","北西","市道",4.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
10,"中古マンション等","","11101","埼玉県","さいたま市西区","大字指扇領別所","指扇","15",12000000,"","３ＬＤＫ","60",,"","","","昭和61年","ＲＣ","","住宅","","",,"市街化調整区域",60,200,"2021年第１四半期","改装済",""
11,"宅地(土地と建物)","住宅地","11101","埼玉県","さいたま市西区","大字佐知川","西大宮","30分?60分",23000000,"","","120",,"ほぼ整形","11.2","100","令和2年","木造","住宅","住宅","北東","市道",4.0,"第１種低層住居専用地域",50,100,"2021年第１四半期","",""
12,"宅地(土地)","住宅地","11101","埼玉県","さいたま市西区","大字佐知川","西大宮","27",4000000,"130000","","100",40000,"ほぼ長方形","14.2","","","","","住宅","南東","市道",4.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
13,"宅地(土地と建物)","住宅地","11101","埼玉県","さいたま市西区","大字佐知川","西大宮","28",25000000,"","","135",,"袋地等","2.7","100","令和2年","木造","住宅","住宅","南","市道",4.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
14,"宅地(土地)","住宅地","11101","埼玉県","さいたま市西区","大字佐知川","西大宮","30分?60分",14000000,"280000","","165",85000,"ほぼ長方形","8.0","","","","","","南東","市道",4.5,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
15,"宅地(土地と建物)","住宅地","11101","埼玉県","さいたま市西区","大字佐知川","西大宮","30分?60分",24000000,"","","155",,"袋地等","3.1","100","令和2年","木造","住宅","住宅","南","市道",3.4,"第１種住居地域",60,200,"2021年第１四半期","",""
