"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","15101","新潟県","新潟市北区","朝日町","豊栄","13",6400000,"","","210",,"ほぼ長方形","","90","昭和53年","木造","住宅","住宅","北西","市道",6.0,"第１種低層住居専用地域",50,100,"2021年第１四半期","",""
2,"宅地(土地)","住宅地","15101","新潟県","新潟市北区","内島見","豊栄","30分?60分",4500000,"90000","","165",27000,"ほぼ長方形","","","","","","住宅","東","市道",6.0,"",70,200,"2021年第１四半期","",""
3,"農地","","15101","新潟県","新潟市北区","大久保","","",300000,"","","830",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
4,"農地","","15101","新潟県","新潟市北区","大瀬柳","","",800000,"","","2100",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
5,"農地","","15101","新潟県","新潟市北区","大瀬柳","","",250000,"","","690",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
6,"農地","","15101","新潟県","新潟市北区","上土地亀","","",200000,"","","420",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
7,"宅地(土地と建物)","住宅地","15101","新潟県","新潟市北区","嘉山","豊栄","18",5000000,"","","150",,"ほぼ長方形","","75","昭和59年","軽量鉄骨造","住宅","住宅","南","市道",6.0,"第１種低層住居専用地域",50,100,"2021年第１四半期","",""
8,"宅地(土地と建物)","住宅地","15101","新潟県","新潟市北区","嘉山","豊栄","18",17000000,"","","240",,"不整形","","105","昭和61年","軽量鉄骨造","住宅","住宅","北","市道",6.0,"第１種低層住居専用地域",50,100,"2021年第１四半期","",""
9,"宅地(土地)","住宅地","15101","新潟県","新潟市北区","木崎","早通","30分?60分",4800000,"43000","","370",13000,"ほぼ台形","","","","","","その他","南西","市道",6.0,"市街化調整区域",70,200,"2021年第１四半期","",""
10,"宅地(土地)","住宅地","15101","新潟県","新潟市北区","葛塚","豊栄","13",10000000,"140000","","250",41000,"ほぼ長方形","","","","","","","北東","市道",6.0,"第１種住居地域",60,200,"2021年第１四半期","",""
11,"宅地(土地と建物)","商業地","15101","新潟県","新潟市北区","葛塚","豊栄","4",770000000,"","","1200",,"不整形","32.1","2000㎡以上","令和2年","ＲＣ","共同住宅","","南東","市道",11.2,"商業地域",80,400,"2021年第１四半期","",""
12,"宅地(土地と建物)","住宅地","15101","新潟県","新潟市北区","葛塚","豊栄","8",27000000,"","","2000㎡以上",,"不整形","45.4","1400","昭和33年","鉄骨造","住宅、その他","その他","南東","市道",11.3,"商業地域",80,400,"2021年第１四半期","",""
13,"農地","","15101","新潟県","新潟市北区","下土地亀","","",660000,"","","130",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
14,"林地","","15101","新潟県","新潟市北区","新富町","","",4500000,"","","330",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
15,"林地","","15101","新潟県","新潟市北区","新富町","","",2000000,"","","330",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
16,"農地","","15101","新潟県","新潟市北区","新鼻","","",2800000,"","","3900",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
17,"農地","","15101","新潟県","新潟市北区","須戸","","",710000,"","","3000",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
18,"宅地(土地)","工業地","15101","新潟県","新潟市北区","太夫浜","新崎","1H?1H30",6000000,"20000","","980",6100,"ほぼ整形","49.0","","","","","","北西","県道",11.0,"市街化調整区域",60,200,"2021年第１四半期","",""
19,"宅地(土地と建物)","住宅地","15101","新潟県","新潟市北区","太夫浜新町","新崎","1H?1H30",14000000,"","","450",,"ほぼ整形","20.5","350","平成9年","木造","共同住宅","住宅","南","市道",6.0,"第１種低層住居専用地域",50,100,"2021年第１四半期","",""
20,"宅地(土地)","工業地","15101","新潟県","新潟市北区","太郎代","黒山","1H30?2H",240000000,"52000","","2000㎡以上",16000,"不整形","50.0m以上","","","","","","北東","市道",12.0,"工業専用地域",60,200,"2021年第１四半期","",""
21,"宅地(土地と建物)","住宅地","15101","新潟県","新潟市北区","長戸呂","新崎","1H?1H30",3500000,"","","580",,"ほぼ台形","","105","昭和54年","木造","住宅","倉庫","南","市道",6.0,"市街化調整区域",70,200,"2021年第１四半期","",""
22,"宅地(土地)","住宅地","15101","新潟県","新潟市北区","長戸呂","早通","1H?1H30",2200000,"16000","","440",5000,"不整形","23.2","","","","","","北","市道",5.1,"市街化調整区域",70,200,"2021年第１四半期","",""
23,"農地","","15101","新潟県","新潟市北区","名目所","","",1000000,"","","1000",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
24,"宅地(土地)","住宅地","15101","新潟県","新潟市北区","新崎","新崎","8",2300000,"92000","","85",28000,"ほぼ正方形","10.0","","","","","その他","東","市道",4.0,"市街化調整区域",60,200,"2021年第１四半期","",""
25,"宅地(土地と建物)","住宅地","15101","新潟県","新潟市北区","白新町","豊栄","8",3800000,"","","145",,"長方形","10.0","","","木造","住宅","","北東","市道",5.4,"第１種住居地域",60,200,"2021年第１四半期","",""
26,"農地","","15101","新潟県","新潟市北区","早通","","",600000,"","","1500",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
27,"農地","","15101","新潟県","新潟市北区","早通","","",1500000,"","","2200",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
28,"宅地(土地と建物)","商業地","15101","新潟県","新潟市北区","早通南","豊栄","1",84000000,"","","450",,"ほぼ長方形","","470","令和3年","","","その他","南","市道",6.0,"近隣商業地域",80,200,"2021年第１四半期","",""
29,"農地","","15101","新潟県","新潟市北区","松潟","","",1200000,"","","1700",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
30,"宅地(土地と建物)","住宅地","15101","新潟県","新潟市北区","松浜","新崎","1H?1H30",7800000,"","","185",,"ほぼ正方形","13.0","80","昭和55年","木造","住宅","住宅","北","市道",5.5,"第１種中高層住居専用地域",60,200,"2021年第１四半期","","調停・競売等"
31,"宅地(土地)","住宅地","15101","新潟県","新潟市北区","松浜","新崎","30分?60分",7300000,"100000","","230",31000,"不整形","23.0","","","","","住宅","南西","私道",4.0,"近隣商業地域",80,200,"2021年第１四半期","",""
32,"宅地(土地と建物)","住宅地","15101","新潟県","新潟市北区","松浜","新崎","30分?60分",1800000,"","","170",,"ほぼ整形","13.0","90","昭和37年","","","","南西","市道",4.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
