"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","16201","富山県","富山市","綾田町","新庄田中","12",10000000,"170000","","190",52000,"長方形","9.6","","","","","住宅","北西","市道",6.0,"第１種住居地域",60,200,"2021年第１四半期","",""
2,"宅地(土地と建物)","住宅地","16201","富山県","富山市","秋吉","大泉(富山)","19",22000000,"","","210",,"長方形","11.8","140","平成25年","木造","住宅","住宅","南西","市道",6.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","","調停・競売等"
3,"宅地(土地と建物)","住宅地","16201","富山県","富山市","秋吉新町","大泉(富山)","15",20000000,"","","110",,"長方形","9.5","90","令和2年","木造","住宅","住宅","南西","市道",6.5,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
4,"宅地(土地と建物)","住宅地","16201","富山県","富山市","愛宕町","富山","11",7000000,"","","120",,"ほぼ長方形","10.0","115","昭和46年","木造","住宅、駐車場","その他","南","市道",5.0,"第１種住居地域",60,200,"2021年第１四半期","",""
5,"宅地(土地)","住宅地","16201","富山県","富山市","新屋","東富山","30分?60分",1300000,"27000","","160",8200,"ほぼ台形","8.0","","","","","倉庫","南","市道",7.4,"市街化調整区域",60,200,"2021年第１四半期","",""
6,"宅地(土地)","住宅地","16201","富山県","富山市","粟島町","粟島","5",7600000,"140000","","180",42000,"ほぼ長方形","7.0","","","","","","東","市道",5.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
7,"宅地(土地と建物)","住宅地","16201","富山県","富山市","石坂","富山トヨペット本社前","25",22000000,"","","135",,"長方形","8.2","110","平成31年","木造","住宅","住宅","東","市道",6.0,"第１種住居地域",60,200,"2021年第１四半期","",""
8,"宅地(土地)","住宅地","16201","富山県","富山市","石田","布市","10",1600000,"13000","","390",4000,"不整形","","","","","","住宅","南","道路",4.0,"市街化調整区域",60,200,"2021年第１四半期","",""
9,"宅地(土地)","住宅地","16201","富山県","富山市","石田","布市","6",6500000,"41000","","520",13000,"ほぼ長方形","20.0","","","","","住宅","南東","道路",4.0,"市街化調整区域",60,200,"2021年第１四半期","",""
10,"宅地(土地)","住宅地","16201","富山県","富山市","稲荷元町","富山","23",6400000,"61000","","350",18000,"不整形","","","","","","","北東","市道",3.2,"第１種住居地域",60,200,"2021年第１四半期","",""
11,"宅地(土地)","住宅地","16201","富山県","富山市","牛島本町","富山","11",11000000,"200000","","180",60000,"ほぼ長方形","17.0","","","","","その他","北","市道",4.5,"第１種住居地域",60,200,"2021年第１四半期","",""
12,"宅地(土地)","住宅地","16201","富山県","富山市","上野","布市","23",4400000,"22000","","660",6700,"台形","22.5","","","","","","南","市道",5.0,"市街化調整区域",60,200,"2021年第１四半期","",""
13,"宅地(土地と建物)","住宅地","16201","富山県","富山市","上野寿町","開発","30分?60分",21000000,"","","490",,"長方形","27.0","280","平成5年","鉄骨造、木造","住宅、駐車場","","西","市道",9.0,"市街化調整区域",60,200,"2021年第１四半期","",""
14,"宅地(土地と建物)","住宅地","16201","富山県","富山市","大泉","大泉(富山)","3",500000,"","","110",,"不整形","7.5","65","昭和36年","木造","住宅","住宅","南西","道路",3.0,"第１種住居地域",60,200,"2021年第１四半期","",""
15,"宅地(土地と建物)","住宅地","16201","富山県","富山市","大泉","南富山","8",28000000,"","","185",,"長方形","10.0","100","令和3年","木造","住宅","住宅","南","市道",6.0,"第１種住居地域",60,200,"2021年第１四半期","",""
16,"宅地(土地)","住宅地","16201","富山県","富山市","大泉東町","富山","30分?60分",29000000,"230000","","420",68000,"ほぼ台形","28.0","","","","","","北","市道",20.0,"第１種住居地域",60,200,"2021年第１四半期","",""
17,"宅地(土地と建物)","住宅地","16201","富山県","富山市","大泉東町","富山","30分?60分",36000000,"","","270",,"ほぼ台形","15.2","210","平成13年","ＲＣ","住宅","住宅","北東","市道",5.0,"第１種住居地域",60,200,"2021年第１四半期","",""
18,"宅地(土地)","住宅地","16201","富山県","富山市","大泉町","富山","30分?60分",17000000,"250000","","230",76000,"ほぼ長方形","17.0","","","","","住宅","南東","市道",6.7,"第２種中高層住居専用地域",60,200,"2021年第１四半期","",""
19,"宅地(土地と建物)","住宅地","16201","富山県","富山市","大江干","越中荏原","8",23000000,"","","200",,"ほぼ正方形","14.0","110","令和2年","木造","住宅","住宅","北","市道",6.0,"第１種住居地域",60,200,"2021年第１四半期","",""
20,"宅地(土地)","住宅地","16201","富山県","富山市","大島","越中荏原","30分?60分",10000000,"120000","","270",38000,"台形","16.1","","","","","住宅","西","市道",6.0,"第１種住居地域",60,200,"2021年第１四半期","",""
