"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","商業地","17201","石川県","金沢市","暁町","金沢","30分?60分",42000000,"","","135",,"台形","11.0","180","平成26年","木造","住宅","住宅","北","国道",19.0,"第２種住居地域",60,200,"2021年第１四半期","",""
2,"宅地(土地と建物)","住宅地","17201","石川県","金沢市","朝霧台","能美根上","1H30?2H",32000000,"","","220",,"長方形","12.5","150","平成19年","木造","住宅","住宅","南東","市道",16.0,"第２種中高層住居専用地域",60,200,"2021年第１四半期","","調停・競売等"
3,"宅地(土地と建物)","住宅地","17201","石川県","金沢市","浅野本町","金沢","18",19000000,"","","165",,"ほぼ長方形","14.5","130","平成9年","軽量鉄骨造","共同住宅","住宅","南東","市道",6.0,"準工業地域",60,200,"2021年第１四半期","",""
4,"林地","","17201","石川県","金沢市","朝日牧町","","",47000,"","","710",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
5,"林地","","17201","石川県","金沢市","朝日牧町","","",7000,"","","120",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
6,"宅地(土地)","住宅地","17201","石川県","金沢市","有松","金沢","1H?1H30",12000000,"210000","","195",62000,"不整形","8.0","","","","","その他","西","道路",3.8,"第２種中高層住居専用地域",60,200,"2021年第１四半期","",""
7,"宅地(土地と建物)","住宅地","17201","石川県","金沢市","有松","金沢","1H?1H30",33000000,"","","155",,"長方形","9.5","120","令和2年","木造","住宅","住宅","西","道路",4.7,"第２種中高層住居専用地域",60,200,"2021年第１四半期","",""
8,"宅地(土地)","住宅地","17201","石川県","金沢市","粟崎町","金沢","1H?1H30",9700000,"240000","","130",73000,"ほぼ長方形","8.5","","","","","住宅","南東","市道",6.0,"第１種住居地域",60,200,"2021年第１四半期","",""
9,"宅地(土地と建物)","住宅地","17201","石川県","金沢市","粟崎町","金沢","1H?1H30",8800000,"","","560",,"不整形","15.0","220","昭和61年","木造","住宅","住宅","南東","市道",3.3,"第２種中高層住居専用地域",60,200,"2021年第１四半期","",""
10,"宅地(土地と建物)","住宅地","17201","石川県","金沢市","粟崎町","金沢","1H?1H30",13000000,"","","240",,"長方形","11.8","50","昭和43年","木造","住宅","住宅","北東","市道",6.0,"第２種中高層住居専用地域",60,200,"2021年第１四半期","",""
