"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","商業地","19201","山梨県","甲府市","青沼","南甲府","14",20000000,"","","165",,"ほぼ長方形","11.0","330","","鉄骨造","店舗","店舗","南西","市道",12.0,"",,,"2021年第１四半期","",""
2,"中古マンション等","","19201","山梨県","甲府市","青沼","南甲府","14",16000000,"","３ＬＤＫ","70",,"","","","","ＲＣ","住宅","","","",,"第１種住居地域",60,200,"2021年第１四半期","未改装",""
3,"宅地(土地)","商業地","19201","山梨県","甲府市","朝日","甲府","6",3200000,"220000","","50",67000,"不整形","6.0","","","","","その他","南東","市道",8.0,"商業地域",80,400,"2021年第１四半期","",""
4,"中古マンション等","","19201","山梨県","甲府市","朝日","甲府","4",1600000,"","１Ｋ","15",,"","","","昭和63年","ＳＲＣ","住宅","その他","","",,"商業地域",80,600,"2021年第１四半期","未改装",""
5,"宅地(土地と建物)","住宅地","19201","山梨県","甲府市","飯田","甲府","15",170000000,"","","1400",,"ほぼ整形","23.0","980","平成20年","鉄骨造","その他","その他","東","市道",4.4,"第１種住居地域",60,200,"2021年第１四半期","","関係者間取引"
6,"宅地(土地と建物)","住宅地","19201","山梨県","甲府市","岩窪町","甲府","30分?60分",1800000,"","","230",,"ほぼ台形","","90","昭和47年","木造","住宅","住宅","南","私道",4.0,"第１種低層住居専用地域",50,80,"2021年第１四半期","","調停・競売等"
7,"宅地(土地)","住宅地","19201","山梨県","甲府市","岩窪町","甲府","30分?60分",900000,"9600","","310",2900,"不整形","","","","","","住宅","北","市道",4.8,"第２種低層住居専用地域",60,100,"2021年第１四半期","",""
8,"宅地(土地)","宅地見込地","19201","山梨県","甲府市","後屋町","国母","14",14000000,"59000","","790",18000,"ほぼ長方形","21.0","","","","","","南西","市道",5.5,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
9,"宅地(土地と建物)","住宅地","19201","山梨県","甲府市","右左口町","東花輪","1H30?2H",15000000,"","","75",,"不整形","24.5","","","","住宅","その他","南西","市道",5.5,"市街化区域及び市街化調整区域外の都市計画区域",60,200,"2021年第１四半期","",""
10,"宅地(土地)","住宅地","19201","山梨県","甲府市","大里町","甲斐住吉","30分?60分",9800000,"150000","","210",46000,"ほぼ長方形","9.5","","","","","住宅","南","市道",6.1,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
11,"宅地(土地と建物)","商業地","19201","山梨県","甲府市","大里町","国母","25",15000000,"","","560",,"ほぼ台形","23.0","270","昭和64年","木造","住宅、店舗","店舗","西","市道",11.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","","調停・競売等"
12,"宅地(土地)","宅地見込地","19201","山梨県","甲府市","大里町","国母","9",3300000,"28000","","400",8300,"ほぼ長方形","","","","","","","接面道路無","",,"工業地域",60,200,"2021年第１四半期","",""
13,"宅地(土地と建物)","住宅地","19201","山梨県","甲府市","大里町","国母","29",10000000,"","","155",,"ほぼ長方形","15.5","110","昭和64年","木造","住宅","住宅","南","市道",5.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
14,"宅地(土地と建物)","商業地","19201","山梨県","甲府市","太田町","南甲府","12",19000000,"","","490",,"ほぼ整形","23.0","300","昭和54年","ＲＣ","住宅、事務所","住宅","南","県道",8.6,"近隣商業地域",80,200,"2021年第１四半期","","調停・競売等"
15,"宅地(土地と建物)","商業地","19201","山梨県","甲府市","太田町","南甲府","12",9000000,"","","350",,"長方形","23.0","310","平成3年","鉄骨造","事務所","事務所","南","道路",2.0,"近隣商業地域",80,200,"2021年第１四半期","",""
16,"宅地(土地と建物)","住宅地","19201","山梨県","甲府市","大手","甲府","23",25000000,"","","420",,"不整形","12.5","185","平成5年","軽量鉄骨造","住宅","住宅","東","市道",7.2,"第２種低層住居専用地域",60,100,"2021年第１四半期","",""
17,"宅地(土地)","住宅地","19201","山梨県","甲府市","音羽町","甲府","30分?60分",12000000,"170000","","220",52000,"長方形","18.0","","","","","住宅","東","道路",6.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
18,"宅地(土地と建物)","住宅地","19201","山梨県","甲府市","上阿原町","酒折","30分?60分",25000000,"","","200",,"ほぼ長方形","13.5","110","平成25年","木造","住宅","住宅","南","市道",5.0,"市街化調整区域",60,200,"2021年第１四半期","",""
19,"宅地(土地)","住宅地","19201","山梨県","甲府市","上石田","甲府","29",800000,"15000","","180",4400,"ほぼ長方形","16.0","","","","","住宅","南西","道路",3.3,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
20,"宅地(土地と建物)","住宅地","19201","山梨県","甲府市","上今井町","甲斐住吉","30分?60分",33000000,"","","200",,"ほぼ長方形","8.0","140","令和3年","木造","住宅","住宅","南","道路",6.0,"市街化調整区域",60,200,"2021年第１四半期","",""
21,"宅地(土地)","住宅地","19201","山梨県","甲府市","上小河原町","甲斐住吉","20",2500000,"110000","","75",33000,"台形","10.0","","","","","住宅","南西","道路",3.7,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
22,"宅地(土地)","住宅地","19201","山梨県","甲府市","上町","甲斐住吉","25",9000000,"130000","","230",40000,"不整形","8.0","","","","","住宅","北","道路",5.0,"市街化調整区域",60,200,"2021年第１四半期","",""
23,"宅地(土地と建物)","住宅地","19201","山梨県","甲府市","川田町","石和温泉","6",17000000,"","","360",,"ほぼ長方形","9.0","120","平成12年","木造","住宅","","北西","市道",7.3,"市街化調整区域",70,400,"2021年第１四半期","",""
24,"宅地(土地)","住宅地","19201","山梨県","甲府市","川田町","石和温泉","6",11000000,"100000","","340",31000,"ほぼ長方形","8.5","","","","","","北西","市道",7.3,"市街化調整区域",70,400,"2021年第１四半期","",""
25,"宅地(土地と建物)","住宅地","19201","山梨県","甲府市","北口","甲府","6",1500000,"","","230",,"長方形","23.0","270","昭和41年","ＲＣ","共同住宅","住宅","北","私道",1.8,"商業地域",80,400,"2021年第１四半期","",""
26,"宅地(土地)","住宅地","19201","山梨県","甲府市","国玉町","酒折","25",1700000,"95000","","60",29000,"ほぼ長方形","3.0","","","","","その他","東","道路",4.0,"市街化調整区域",60,200,"2021年第１四半期","",""
27,"宅地(土地)","商業地","19201","山梨県","甲府市","国玉町","酒折","16",14000000,"160000","","300",47000,"ほぼ正方形","18.0","","","","","住宅","北","国道",22.0,"市街化調整区域",60,200,"2021年第１四半期","",""
28,"宅地(土地)","住宅地","19201","山梨県","甲府市","国母","甲府","30分?60分",15000000,"140000","","340",44000,"ほぼ台形","13.0","","","","","その他","南西","市道",6.0,"第１種住居地域",60,200,"2021年第１四半期","","私道を含む取引"
29,"宅地(土地と建物)","住宅地","19201","山梨県","甲府市","国母","国母","16",20000000,"","","220",,"ほぼ長方形","15.0","","","","","その他","北東","道路",4.0,"",,,"2021年第１四半期","",""
30,"宅地(土地)","商業地","19201","山梨県","甲府市","国母","国母","16",10000000,"84000","","400",25000,"長方形","17.5","","","","","工場","北東","市道",6.0,"商業地域",80,400,"2021年第１四半期","",""
31,"宅地(土地と建物)","住宅地","19201","山梨県","甲府市","古府中町","甲府","30分?60分",11000000,"","","460",,"ほぼ整形","23.5","95","昭和44年","木造","住宅","住宅","東","市道",3.0,"市街化調整区域",60,100,"2021年第１四半期","",""
32,"宅地(土地と建物)","住宅地","19201","山梨県","甲府市","古府中町","甲府","28",25000000,"","","380",,"ほぼ台形","20.0","240","平成12年","軽量鉄骨造","共同住宅","住宅","北","区道",4.6,"第２種低層住居専用地域",60,100,"2021年第１四半期","",""
33,"宅地(土地と建物)","住宅地","19201","山梨県","甲府市","塩部","甲府","20",22000000,"","","240",,"ほぼ長方形","12.0","310","平成6年","鉄骨造","住宅、店舗","住宅","南","市道",7.0,"第１種住居地域",60,200,"2021年第１四半期","",""
34,"中古マンション等","","19201","山梨県","甲府市","塩部","甲府","19",22000000,"","３ＬＤＫ","70",,"","","","平成21年","ＲＣ","住宅","住宅","","",,"準住居地域",60,200,"2021年第１四半期","改装済",""
35,"宅地(土地と建物)","住宅地","19201","山梨県","甲府市","下飯田","甲府","26",24000000,"","","210",,"不整形","22.0","","令和3年","","住宅","住宅","北東","市道",8.0,"第１種住居地域",60,200,"2021年第１四半期","",""
36,"宅地(土地と建物)","住宅地","19201","山梨県","甲府市","下飯田","甲府","30分?60分",2000000,"","","115",,"不整形","3.0","35","昭和45年","木造","住宅","住宅","東","道路",2.0,"第１種住居地域",60,200,"2021年第１四半期","",""
37,"中古マンション等","","19201","山梨県","甲府市","下飯田","甲府","30分?60分",21000000,"","４ＬＤＫ","90",,"","","","平成19年","ＲＣ","","","","",,"第１種住居地域",60,200,"2021年第１四半期","未改装",""
38,"宅地(土地と建物)","商業地","19201","山梨県","甲府市","下石田","甲府","30分?60分",64000000,"","","650",,"ほぼ長方形","11.0","400","平成5年","鉄骨造","事務所","事務所","南東","市道",13.0,"第２種住居地域",60,200,"2021年第１四半期","",""
39,"宅地(土地と建物)","住宅地","19201","山梨県","甲府市","下今井町","甲斐住吉","30分?60分",28000000,"","","200",,"ほぼ整形","10.0","","平成31年","","住宅","住宅","南","市道",7.5,"市街化調整区域",60,200,"2021年第１四半期","",""
40,"宅地(土地と建物)","住宅地","19201","山梨県","甲府市","下鍛冶屋町","甲斐住吉","30分?60分",31000000,"","","220",,"長方形","14.0","120","令和3年","木造","住宅","住宅","北","道路",5.0,"市街化調整区域",,,"2021年第１四半期","",""
