"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","21201","岐阜県","岐阜市","茜部大野","岐阜","21",25000000,"150000","","560",45000,"不整形","50.0m以上","","","","","","南西","道路",2.1,"第１種住居地域",60,200,"2021年第１四半期","",""
2,"宅地(土地と建物)","住宅地","21201","岐阜県","岐阜市","茜部大野","岐阜","21",25000000,"","","270",,"長方形","15.0","370","昭和60年","","共同住宅","事務所","南西","市道",4.6,"第１種住居地域",60,200,"2021年第１四半期","",""
3,"宅地(土地と建物)","工業地","21201","岐阜県","岐阜市","茜部新所","岐阜","30分?60分",70000000,"","","1300",,"ほぼ正方形","35.5","600","平成21年","鉄骨造","倉庫","倉庫","南","市道",5.7,"商業地域",80,400,"2021年第１四半期","",""
4,"宅地(土地)","住宅地","21201","岐阜県","岐阜市","茜部寺屋敷","岐阜","30分?60分",12000000,"92000","","430",28000,"長方形","7.9","","","","","","北","市道",4.8,"第１種住居地域",60,200,"2021年第１四半期","",""
5,"宅地(土地)","商業地","21201","岐阜県","岐阜市","茜部菱野","岐阜","30分?60分",35000000,"230000","","500",70000,"長方形","19.0","","","","","事務所","東","県道",17.0,"準住居地域",60,200,"2021年第１四半期","",""
6,"宅地(土地)","住宅地","21201","岐阜県","岐阜市","芥見","岐阜","2H?",11000000,"110000","","350",33000,"正方形","18.5","","","","","","南東","市道",6.8,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
7,"宅地(土地)","住宅地","21201","岐阜県","岐阜市","尼ケ崎町","岐阜","30分?60分",1100000,"13000","","270",4000,"長方形","","","","","","その他","東","市道",7.0,"準工業地域",60,200,"2021年第１四半期","",""
8,"宅地(土地と建物)","住宅地","21201","岐阜県","岐阜市","尼ケ崎町","岐阜","30分?60分",80000000,"","","770",,"長方形","12.5","2000㎡以上","平成17年","鉄骨造","その他","その他","東","市道",7.0,"準工業地域",60,200,"2021年第１四半期","",""
9,"宅地(土地)","住宅地","21201","岐阜県","岐阜市","粟野西","岐阜","1H30?2H",12000000,"140000","","270",43000,"長方形","10.9","","","","","住宅","北","市道",4.0,"第１種低層住居専用地域",50,80,"2021年第１四半期","",""
10,"宅地(土地と建物)","住宅地","21201","岐阜県","岐阜市","粟野西","岐阜","1H30?2H",8000000,"","","120",,"ほぼ長方形","7.0","90","平成13年","木造","住宅","住宅","北","市道",3.0,"第１種低層住居専用地域",50,80,"2021年第１四半期","",""
