"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","23101","愛知県","名古屋市千種区","赤坂町","茶屋ケ坂","10",34000000,"800000","","140",240000,"長方形","9.3","","","","","その他","北","市道",6.3,"第１種低層住居専用地域",50,150,"2021年第１四半期","","隣地の購入"
2,"宅地(土地と建物)","住宅地","23101","愛知県","名古屋市千種区","赤坂町","茶屋ケ坂","9",18000000,"","","95",,"長方形","","40","","木造","住宅","住宅","西","市道",5.4,"第１種低層住居専用地域",50,150,"2021年第１四半期","","隣地の購入"
3,"中古マンション等","","23101","愛知県","名古屋市千種区","池下町","池下","1",60000000,"","２ＬＤＫ","60",,"","","","平成26年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,400,"2021年第１四半期","未改装",""
4,"中古マンション等","","23101","愛知県","名古屋市千種区","池園町","本山(愛知)","6",48000000,"","３ＬＤＫ","80",,"","","","平成23年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,200,"2021年第１四半期","未改装",""
5,"宅地(土地と建物)","商業地","23101","愛知県","名古屋市千種区","今池","今池(愛知)","6",360000000,"","","320",,"ほぼ整形","17.9","1000","平成18年","鉄骨造","共同住宅","住宅","東","市道",15.4,"近隣商業地域",80,300,"2021年第１四半期","",""
6,"中古マンション等","","23101","愛知県","名古屋市千種区","今池","今池(愛知)","2",14000000,"","１Ｋ","20",,"","","","平成21年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第１四半期","未改装",""
7,"中古マンション等","","23101","愛知県","名古屋市千種区","今池","吹上(愛知)","7",27000000,"","３ＬＤＫ","80",,"","","","平成8年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,200,"2021年第１四半期","",""
8,"宅地(土地)","住宅地","23101","愛知県","名古屋市千種区","今池南","今池(愛知)","8",30000000,"870000","","115",260000,"ほぼ長方形","6.0","","","","","その他","南","市道",3.6,"第１種住居地域",60,200,"2021年第１四半期","",""
9,"中古マンション等","","23101","愛知県","名古屋市千種区","今池南","今池(愛知)","5",6000000,"","１Ｋ","35",,"","","","昭和48年","ＲＣ","","その他","","",,"商業地域",80,400,"2021年第１四半期","未改装",""
10,"中古マンション等","","23101","愛知県","名古屋市千種区","今池南","今池(愛知)","4",9000000,"","２ＤＫ","45",,"","","","昭和61年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,400,"2021年第１四半期","未改装",""
11,"宅地(土地と建物)","住宅地","23101","愛知県","名古屋市千種区","内山","今池(愛知)","4",27000000,"","","100",,"長方形","4.9","120","","木造","住宅","倉庫","北東","市道",5.9,"商業地域",80,400,"2021年第１四半期","",""
12,"中古マンション等","","23101","愛知県","名古屋市千種区","内山","車道","5",68000000,"","３ＬＤＫ","105",,"","","","平成22年","ＲＣ","住宅","住宅","","",,"商業地域",80,600,"2021年第１四半期","未改装",""
13,"宅地(土地と建物)","住宅地","23101","愛知県","名古屋市千種区","大島町","覚王山","12",47000000,"","","135",,"ほぼ長方形","13.0","75","平成7年","木造","住宅","住宅","南","市道",5.4,"第２種中高層住居専用地域",60,200,"2021年第１四半期","",""
14,"中古マンション等","","23101","愛知県","名古屋市千種区","丘上町","覚王山","3",62000000,"","３ＬＤＫ","80",,"","","","平成28年","ＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,200,"2021年第１四半期","未改装",""
15,"宅地(土地と建物)","住宅地","23101","愛知県","名古屋市千種区","霞ケ丘","自由ケ丘(愛知)","8",38000000,"","","85",,"不整形","8.6","85","令和2年","木造","住宅","住宅","西","市道",8.0,"第１種低層住居専用地域",40,100,"2021年第１四半期","",""
16,"中古マンション等","","23101","愛知県","名古屋市千種区","香流橋","小幡","24",19000000,"","４ＬＤＫ","95",,"","","","平成10年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2021年第１四半期","未改装",""
17,"宅地(土地)","工業地","23101","愛知県","名古屋市千種区","香流橋","茶屋ケ坂","21",3000000,"220000","","45",66000,"不整形","15.9","","","","","その他","南","市道",6.4,"準工業地域",60,200,"2021年第１四半期","",""
18,"中古マンション等","","23101","愛知県","名古屋市千種区","鹿子殿","自由ケ丘(愛知)","14",25000000,"","３ＬＤＫ","75",,"","","","平成10年","ＲＣ","","住宅","","",,"第２種住居地域",60,200,"2021年第１四半期","未改装",""
19,"宅地(土地と建物)","住宅地","23101","愛知県","名古屋市千種区","神田町","今池(愛知)","9",32000000,"","","85",,"袋地等","2.8","80","令和2年","木造","住宅","住宅","北","市道",8.0,"第１種住居地域",60,200,"2021年第１四半期","",""
20,"宅地(土地)","住宅地","23101","愛知県","名古屋市千種区","希望ケ丘","自由ケ丘(愛知)","11",33000000,"750000","","145",230000,"ほぼ長方形","15.8","","","","","住宅","北","市道",4.0,"第１種低層住居専用地域",40,100,"2021年第１四半期","",""
21,"宅地(土地と建物)","住宅地","23101","愛知県","名古屋市千種区","希望ケ丘","自由ケ丘(愛知)","13",63000000,"","","200",,"ほぼ長方形","10.0","210","平成10年","ＲＣ","住宅","住宅","北","市道",8.0,"第１種低層住居専用地域",40,100,"2021年第１四半期","",""
22,"中古マンション等","","23101","愛知県","名古屋市千種区","清住町","東山公園(愛知)","5",63000000,"","３ＬＤＫ","110",,"","","","平成16年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",50,150,"2021年第１四半期","未改装",""
23,"中古マンション等","","23101","愛知県","名古屋市千種区","幸川町","本山(愛知)","8",4500000,"","１Ｋ","25",,"","","","昭和64年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,200,"2021年第１四半期","",""
24,"中古マンション等","","23101","愛知県","名古屋市千種区","向陽","池下","6",15000000,"","１ＬＤＫ","60",,"","","","昭和49年","ＲＣ","住宅","","","",,"第１種中高層住居専用地域",60,200,"2021年第１四半期","改装済",""
25,"中古マンション等","","23101","愛知県","名古屋市千種区","桜が丘","星ケ丘(愛知)","11",38000000,"","３ＬＤＫ","80",,"","","","平成27年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2021年第１四半期","未改装",""
