"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地)","住宅地","26101","京都府","京都市北区","出雲路俵町","鞍馬口","10",24000000,"910000","","85",270000,"長方形","4.8","","","","","住宅","北西","市道",5.4,"第１種低層住居専用地域",60,100,"2021年第１四半期","",""
2,"宅地(土地と建物)","住宅地","26101","京都府","京都市北区","大北山原谷乾町","北大路","1H?1H30",13000000,"","","230",,"ほぼ台形","14.4","300","昭和49年","ＲＣ","住宅、倉庫","住宅","北","私道",5.0,"準工業地域",60,200,"2021年第１四半期","","私道を含む取引"
3,"宅地(土地と建物)","住宅地","26101","京都府","京都市北区","大北山原谷乾町","北大路","1H?1H30",1800000,"","","55",,"ほぼ台形","3.5","45","昭和61年","木造","住宅","住宅","東","私道",4.0,"市街化調整区域",60,100,"2021年第１四半期","",""
4,"中古マンション等","","26101","京都府","京都市北区","大宮中林町","北大路","23",29000000,"","３ＬＤＫ","60",,"","","","平成7年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",60,200,"2021年第１四半期","改装済",""
5,"宅地(土地)","住宅地","26101","京都府","京都市北区","大宮西小野堀町","北大路","30分?60分",30000000,"1000000","","95",300000,"ほぼ長方形","5.1","","","","","住宅","南","市道",9.8,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
6,"宅地(土地)","住宅地","26101","京都府","京都市北区","大宮南林町","北大路","26",22000000,"930000","","80",280000,"長方形","7.0","","","","","住宅","東","市道",6.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
7,"宅地(土地と建物)","住宅地","26101","京都府","京都市北区","上賀茂赤尾町","二軒茶屋(京都)","20",32000000,"","","170",,"ほぼ台形","23.1","85","令和3年","木造","住宅","住宅","南東","市道",6.0,"第１種低層住居専用地域",40,60,"2021年第１四半期","",""
8,"中古マンション等","","26101","京都府","京都市北区","上賀茂朝露ケ原町","北大路","26",30000000,"","３ＬＤＫ","70",,"","","","平成14年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2021年第１四半期","未改装",""
9,"宅地(土地と建物)","住宅地","26101","京都府","京都市北区","上賀茂畔勝町","北山(京都)","8",54000000,"","","165",,"ほぼ長方形","7.7","125","昭和51年","木造","住宅","住宅","北","市道",6.0,"第１種低層住居専用地域",50,80,"2021年第１四半期","",""
10,"宅地(土地)","住宅地","26101","京都府","京都市北区","上賀茂池端町","北山(京都)","8",63000000,"1300000","","155",400000,"ほぼ長方形","8.1","","","","","住宅","南","市道",6.0,"第１種低層住居専用地域",50,80,"2021年第１四半期","",""
11,"宅地(土地と建物)","住宅地","26101","京都府","京都市北区","上賀茂今井河原町","北山(京都)","8",40000000,"","","150",,"ほぼ台形","7.7","210","昭和59年","木造","住宅、店舗","住宅","北東","市道",8.0,"第１種低層住居専用地域",50,80,"2021年第１四半期","",""
