"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","29201","奈良県","奈良市","青野町","大和西大寺","11",25000000,"","","380",,"ほぼ整形","23.5","150","昭和30年","木造","住宅、その他","住宅","西","市道",3.1,"第１種低層住居専用地域",50,80,"2021年第１四半期","",""
2,"中古マンション等","","29201","奈良県","奈良市","青野町","大和西大寺","6",21000000,"","３ＬＤＫ","60",,"","","","平成17年","ＲＣ","","住宅","","",,"商業地域",80,400,"2021年第１四半期","未改装",""
3,"宅地(土地と建物)","住宅地","29201","奈良県","奈良市","秋篠早月町","大和西大寺","9",54000000,"","","115",,"ほぼ長方形","11.5","105","令和3年","","住宅","住宅","西","私道",5.0,"第１種住居地域",60,200,"2021年第１四半期","",""
4,"宅地(土地と建物)","住宅地","29201","奈良県","奈良市","あやめ池北","菖蒲池","6",38000000,"","","210",,"不整形","2.1","110","令和2年","ブロック造","住宅","住宅","北西","市道",4.0,"第１種低層住居専用地域",40,60,"2021年第１四半期","",""
5,"宅地(土地と建物)","住宅地","29201","奈良県","奈良市","あやめ池北","菖蒲池","10",11000000,"","","250",,"長方形","17.5","145","昭和56年","木造","住宅","住宅","北","市道",6.0,"第１種低層住居専用地域",40,60,"2021年第１四半期","",""
6,"中古マンション等","","29201","奈良県","奈良市","あやめ池北","菖蒲池","6",50000000,"","４ＬＤＫ","90",,"","","","平成26年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2021年第１四半期","未改装",""
7,"中古マンション等","","29201","奈良県","奈良市","あやめ池南","菖蒲池","4",26000000,"","３ＬＤＫ","70",,"","","","平成19年","ＲＣ","住宅","","","",,"第１種住居地域",60,200,"2021年第１四半期","未改装",""
8,"林地","","29201","奈良県","奈良市","あやめ池南","","",400000,"","","670",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
9,"中古マンション等","","29201","奈良県","奈良市","右京","高の原","5",40000000,"","３ＬＤＫ","75",,"","","","平成25年","ＲＣ","住宅","住宅","","",,"第１種中高層住居専用地域",50,150,"2021年第１四半期","未改装",""
10,"宅地(土地と建物)","商業地","29201","奈良県","奈良市","大宮町","新大宮","6",76000000,"","","240",,"ほぼ長方形","22.5","410","昭和52年","鉄骨造","共同住宅、店舗","住宅","西","市道",6.0,"商業地域",80,400,"2021年第１四半期","",""
11,"中古マンション等","","29201","奈良県","奈良市","大宮町","新大宮","5",29000000,"","３ＬＤＫ","70",,"","","","平成25年","ＲＣ","","住宅","","",,"商業地域",80,400,"2021年第１四半期","未改装",""
12,"中古マンション等","","29201","奈良県","奈良市","大宮町","新大宮","7",13000000,"","２ＬＤＫ","60",,"","","","昭和56年","ＳＲＣ","","住宅","","",,"商業地域",80,400,"2021年第１四半期","改装済",""
13,"中古マンション等","","29201","奈良県","奈良市","大森町","奈良","9",47000000,"","４ＬＤＫ","85",,"","","","平成29年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2021年第１四半期","未改装",""
14,"林地","","29201","奈良県","奈良市","小倉町","","",1000000,"","","1700",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
15,"宅地(土地)","商業地","29201","奈良県","奈良市","押熊町","学研奈良登美ケ丘","30分?60分",2500000000,"33000000","","250",10000000,"ほぼ台形","8.0","","","","","","東","県道",23.0,"準住居地域",60,200,"2021年第１四半期","","関係者間取引"
16,"中古マンション等","","29201","奈良県","奈良市","学園朝日町","学園前(奈良)","9",38000000,"","４ＬＤＫ","110",,"","","","平成15年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2021年第１四半期","改装済",""
