"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"林地","","32201","島根県","松江市","秋鹿町","","",3000000,"","","4800",,"","","","","","","工場","","",,"",,,"2021年第１四半期","",""
2,"宅地(土地と建物)","住宅地","32201","島根県","松江市","上乃木","乃木","15",23000000,"","","230",,"ほぼ台形","13.0","170","平成10年","木造","住宅","住宅","北","市道",4.0,"第２種中高層住居専用地域",60,200,"2021年第１四半期","",""
3,"宅地(土地)","住宅地","32201","島根県","松江市","魚町","松江","16",17000000,"270000","","200",83000,"ほぼ台形","17.5","","","","","その他","北","市道",2.5,"商業地域",80,500,"2021年第１四半期","",""
4,"宅地(土地)","住宅地","32201","島根県","松江市","魚町","松江","16",17000000,"270000","","200",83000,"ほぼ台形","17.5","","","","","","北","市道",2.5,"商業地域",80,500,"2021年第１四半期","",""
5,"宅地(土地)","住宅地","32201","島根県","松江市","魚町","松江","12",2200000,"140000","","50",43000,"ほぼ長方形","10.0","","","","","その他","接面道路無","",,"商業地域",80,500,"2021年第１四半期","",""
6,"宅地(土地)","住宅地","32201","島根県","松江市","学園","松江","28",28000000,"380000","","240",110000,"長方形","10.5","","","","","住宅","北","市道",6.0,"第２種中高層住居専用地域",60,200,"2021年第１四半期","",""
7,"中古マンション等","","32201","島根県","松江市","学園","松江","30分?60分",16000000,"","３ＬＤＫ","65",,"","","","平成8年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,200,"2021年第１四半期","",""
8,"宅地(土地)","商業地","32201","島根県","松江市","鹿島町武代","松江","2H?",1300000,"32000","","135",9500,"長方形","8.0","","","","","その他","北東","県道",7.5,"都市計画区域外",,,"2021年第１四半期","",""
9,"宅地(土地と建物)","住宅地","32201","島根県","松江市","鹿島町御津","松江","2H?",4200000,"","","125",,"不整形","7.0","130","昭和42年","木造","住宅","住宅","西","市道",6.0,"都市計画区域外",,,"2021年第１四半期","",""
10,"宅地(土地)","住宅地","32201","島根県","松江市","春日町","松江","30分?60分",1500000,"66000","","75",20000,"不整形","11.2","","","","","その他","東","市道",6.2,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
11,"宅地(土地)","住宅地","32201","島根県","松江市","北堀町","松江","26",1600000,"98000","","55",30000,"ほぼ長方形","8.0","","","","","その他","接面道路無","",,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
12,"宅地(土地)","住宅地","32201","島根県","松江市","黒田町","松江","30分?60分",16000000,"250000","","210",76000,"ほぼ整形","15.0","","","","","住宅","西","市道",6.0,"第１種低層住居専用地域",60,100,"2021年第１四半期","",""
13,"宅地(土地と建物)","住宅地","32201","島根県","松江市","黒田町","松江","30分?60分",25000000,"","","175",,"長方形","8.8","110","平成24年","木造","住宅","住宅","北","市道",6.0,"第２種中高層住居専用地域",60,200,"2021年第１四半期","",""
14,"宅地(土地と建物)","住宅地","32201","島根県","松江市","古志原","松江","30分?60分",5000000,"","","130",,"台形","9.0","75","昭和60年","木造","住宅","その他","東","市道",4.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
15,"宅地(土地)","住宅地","32201","島根県","松江市","古志原","松江","30分?60分",18000000,"150000","","410",44000,"ほぼ長方形","19.0","","","","","","東","市道",7.8,"第２種中高層住居専用地域",60,200,"2021年第１四半期","",""
16,"宅地(土地と建物)","住宅地","32201","島根県","松江市","古曽志町","朝日ケ丘","3",6300000,"","","270",,"ほぼ正方形","14.1","145","平成3年","木造","住宅","住宅","北","市道",6.0,"市街化調整区域",70,200,"2021年第１四半期","","調停・競売等"
17,"農地","","32201","島根県","松江市","古曽志町","","",85000,"","","540",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
18,"宅地(土地と建物)","商業地","32201","島根県","松江市","雑賀町","松江","14",13000000,"","","195",,"ほぼ長方形","15.0","220","昭和53年","鉄骨造","店舗","その他","東","国道",15.0,"近隣商業地域",80,200,"2021年第１四半期","",""
19,"農地","","32201","島根県","松江市","島根町大芦","","",1500000,"","","3000",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
20,"農地","","32201","島根県","松江市","下佐陀町","","",300000,"","","2500",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
21,"宅地(土地と建物)","住宅地","32201","島根県","松江市","菅田町","松江","30分?60分",7000000,"","","230",,"長方形","14.0","140","昭和52年","木造","住宅","住宅","南","市道",6.0,"第１種低層住居専用地域",50,100,"2021年第１四半期","",""
22,"中古マンション等","","32201","島根県","松江市","砂子町","松江しんじ湖温泉","9",17000000,"","３ＬＤＫ","75",,"","","","平成12年","ＲＣ","","住宅","","",,"近隣商業地域",80,200,"2021年第１四半期","未改装",""
23,"宅地(土地と建物)","住宅地","32201","島根県","松江市","外中原町","松江","30分?60分",26000000,"","","400",,"ほぼ長方形","20.4","125","昭和63年","木造","住宅","住宅","南東","市道",8.0,"第１種住居地域",60,200,"2021年第１四半期","",""
24,"宅地(土地)","住宅地","32201","島根県","松江市","玉湯町湯町","玉造温泉","13",9500000,"160000","","200",47000,"ほぼ正方形","15.2","","","","","住宅","東","市道",6.5,"第１種住居地域",60,200,"2021年第１四半期","",""
25,"宅地(土地と建物)","住宅地","32201","島根県","松江市","竹矢町","東松江(島根)","24",11000000,"","","165",,"ほぼ長方形","","130","平成14年","木造","住宅","住宅","西","市道",6.0,"第１種住居地域",60,200,"2021年第１四半期","",""
26,"宅地(土地と建物)","住宅地","32201","島根県","松江市","西川津町","松江","30分?60分",51000000,"","","190",,"ほぼ長方形","16.0","130","平成31年","木造","住宅","住宅","南東","市道",7.0,"第２種中高層住居専用地域",60,200,"2021年第１四半期","",""
27,"宅地(土地)","住宅地","32201","島根県","松江市","西川津町","松江","30分?60分",2700000,"81000","","110",24000,"不整形","15.0","","","","","","南東","市道",4.5,"第１種低層住居専用地域",60,100,"2021年第１四半期","",""
28,"宅地(土地)","住宅地","32201","島根県","松江市","西川津町","松江","30分?60分",13000000,"160000","","270",49000,"長方形","17.5","","","","","住宅","北西","市道",4.0,"第２種中高層住居専用地域",60,200,"2021年第１四半期","",""
29,"中古マンション等","","32201","島根県","松江市","西川津町","松江","28",6500000,"","３ＬＤＫ","60",,"","","","平成12年","ＲＣ","住宅","住宅","","",,"第１種住居地域",60,200,"2021年第１四半期","未改装",""
30,"宅地(土地と建物)","住宅地","32201","島根県","松江市","西津田","松江","20",820000,"","","55",,"長方形","4.0","45","昭和61年","木造","住宅","住宅","北東","市道",4.0,"第１種住居地域",60,200,"2021年第１四半期","",""
31,"宅地(土地)","住宅地","32201","島根県","松江市","西津田","松江","19",15000000,"97000","","510",29000,"ほぼ台形","20.1","","","","","その他","北","市道",4.0,"第１種住居地域",60,200,"2021年第１四半期","",""
32,"宅地(土地)","住宅地","32201","島根県","松江市","西津田","松江","20",8500000,"120000","","240",35000,"台形","14.0","","","","","","東","市道",6.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
33,"宅地(土地)","住宅地","32201","島根県","松江市","西嫁島","乃木","7",19000000,"140000","","440",42000,"ほぼ長方形","14.7","","","","","住宅","北西","市道",6.0,"第２種住居地域",60,200,"2021年第１四半期","",""
34,"宅地(土地と建物)","住宅地","32201","島根県","松江市","乃木福富町","乃木","18",13000000,"","","250",,"ほぼ長方形","15.0","150","平成6年","木造","住宅","住宅","南東","市道",6.0,"第１種低層住居専用地域",50,100,"2021年第１四半期","",""
35,"宅地(土地と建物)","商業地","32201","島根県","松江市","八軒屋町","松江","14",100000000,"","","250",,"ほぼ整形","11.0","370","昭和40年","ＲＣ","事務所","その他","北","市道",11.5,"商業地域",80,500,"2021年第１四半期","",""
36,"宅地(土地)","住宅地","32201","島根県","松江市","浜佐田町","松江","1H?1H30",8000000,"100000","","260",31000,"不整形","25.0","","","","","住宅","西","市道",6.0,"市街化調整区域",60,100,"2021年第１四半期","",""
37,"宅地(土地と建物)","商業地","32201","島根県","松江市","浜乃木","乃木","14",62000000,"","","750",,"ほぼ長方形","22.0","310","昭和57年","木造","住宅、事務所、店舗","その他","南東","市道",12.0,"第２種住居地域",60,200,"2021年第１四半期","",""
38,"宅地(土地)","工業地","32201","島根県","松江市","東出雲町揖屋","揖屋","30分?60分",5200000,"50000","","350",15000,"ほぼ正方形","18.0","","","","","","北東","市道",3.3,"工業地域",60,200,"2021年第１四半期","",""
39,"宅地(土地と建物)","住宅地","32201","島根県","松江市","東出雲町揖屋","揖屋","26",22000000,"","","1000",,"長方形","19.5","270","昭和39年","鉄骨造、木造","住宅","その他","北","市道",3.5,"工業地域",60,200,"2021年第１四半期","","調停・競売等"
40,"宅地(土地と建物)","住宅地","32201","島根県","松江市","東出雲町揖屋","揖屋","12",30000000,"","","200",,"ほぼ長方形","16.0","","","","","住宅","南西","市道",5.0,"第１種住居地域",60,200,"2021年第１四半期","",""
41,"農地","","32201","島根県","松江市","東出雲町揖屋","","",900000,"","","390",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
42,"宅地(土地)","住宅地","32201","島根県","松江市","東出雲町錦新町","揖屋","23",26000000,"95000","","910",29000,"ほぼ長方形","45.0","","","","","住宅","南西","市道",6.0,"第１種住居地域",60,200,"2021年第１四半期","",""
43,"宅地(土地と建物)","住宅地","32201","島根県","松江市","東津田町","松江","30分?60分",18000000,"","","190",,"ほぼ台形","12.0","115","平成3年","軽量鉄骨造","住宅","住宅","東","市道",6.0,"第１種低層住居専用地域",50,100,"2021年第１四半期","",""
44,"宅地(土地)","住宅地","32201","島根県","松江市","東津田町","松江","30分?60分",9500000,"140000","","220",44000,"不整形","5.0","","","","","住宅","北東","市道",4.0,"第１種住居地域",60,200,"2021年第１四半期","",""
45,"宅地(土地)","住宅地","32201","島根県","松江市","東津田町","松江","30分?60分",1000000,"24000","","140",7200,"ほぼ台形","13.5","","","","","","北","市道",5.0,"第１種低層住居専用地域",60,100,"2021年第１四半期","",""
46,"宅地(土地と建物)","住宅地","32201","島根県","松江市","東津田町","松江","30分?60分",26000000,"","","290",,"ほぼ台形","24.0","120","平成29年","木造","住宅","住宅","北西","市道",6.0,"第１種低層住居専用地域",50,100,"2021年第１四半期","",""
47,"宅地(土地と建物)","住宅地","32201","島根県","松江市","東津田町","松江","30分?60分",25000000,"","","125",,"ほぼ長方形","10.5","90","令和3年","","住宅","住宅","南西","市道",3.2,"第１種住居地域",60,200,"2021年第１四半期","",""
48,"宅地(土地)","商業地","32201","島根県","松江市","東本町","松江","16",18000000,"280000","","210",85000,"ほぼ長方形","7.5","","","","","その他","南","市道",6.0,"商業地域",80,400,"2021年第１四半期","",""
49,"宅地(土地と建物)","住宅地","32201","島根県","松江市","比津町","松江","30分?60分",4500000,"","","120",,"ほぼ台形","10.7","65","昭和62年","軽量鉄骨造","共同住宅","その他","西","市道",4.0,"第１種低層住居専用地域",50,100,"2021年第１四半期","",""
50,"宅地(土地)","工業地","32201","島根県","松江市","平成町","松江","30分?60分",200000000,"100000","","2000㎡以上",31000,"ほぼ台形","50.0m以上","","","","","事務所","南東","市道",12.0,"工業地域",60,200,"2021年第１四半期","",""
51,"宅地(土地)","住宅地","32201","島根県","松江市","馬潟町","東松江(島根)","21",4400000,"100000","","145",30000,"ほぼ長方形","8.5","","","","","住宅","北西","市道",4.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
52,"林地","","32201","島根県","松江市","美保関町片江","","",250000,"","","520",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
53,"宅地(土地と建物)","住宅地","32201","島根県","松江市","美保関町美保関","松江","2H?",800000,"","","110",,"ほぼ長方形","5.5","70","","木造","住宅","その他","北","市道",3.0,"都市計画区域外",,,"2021年第１四半期","",""
