"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","34101","広島県","広島市中区","江波南","広島","1H?1H30",38000000,"","","120",,"長方形","9.4","110","令和2年","木造","住宅","住宅","南西","市道",6.0,"工業地域",60,200,"2021年第１四半期","",""
2,"中古マンション等","","34101","広島県","広島市中区","大手町","広島","30分?60分",34000000,"","３ＬＤＫ","70",,"","","","平成20年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2021年第１四半期","未改装",""
3,"中古マンション等","","34101","広島県","広島市中区","大手町","広島","30分?60分",32000000,"","４ＬＤＫ","75",,"","","","","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2021年第１四半期","改装済",""
4,"中古マンション等","","34101","広島県","広島市中区","上八丁堀","広島","15",13000000,"","１Ｒ","80",,"","","","昭和55年","ＳＲＣ","事務所","事務所","","",,"商業地域",80,600,"2021年第１四半期","改装済",""
5,"中古マンション等","","34101","広島県","広島市中区","河原町","広島","30分?60分",15000000,"","２ＬＤＫ","55",,"","","","平成8年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,500,"2021年第１四半期","未改装",""
6,"中古マンション等","","34101","広島県","広島市中区","国泰寺町","広島","3",14000000,"","１Ｋ","20",,"","","","平成31年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2021年第１四半期","未改装",""
7,"中古マンション等","","34101","広島県","広島市中区","国泰寺町","広島","29",5500000,"","１ＤＫ","30",,"","","","昭和54年","ＳＲＣ","","住宅","","",,"商業地域",80,700,"2021年第１四半期","",""
8,"宅地(土地)","商業地","34101","広島県","広島市中区","昭和町","広島","30分?60分",67000000,"1000000","","220",300000,"不整形","6.0","","","","","その他","南西","市道",8.0,"近隣商業地域",80,400,"2021年第１四半期","",""
9,"宅地(土地と建物)","商業地","34101","広島県","広島市中区","千田町","広島","30分?60分",160000000,"","","290",,"不整形","12.0","200","昭和45年","木造","住宅、駐車場、その他","その他","北東","市道",8.0,"商業地域",80,500,"2021年第１四半期","","隣地の購入"
10,"宅地(土地と建物)","商業地","34101","広島県","広島市中区","竹屋町","広島","26",34000000,"","","45",,"台形","3.6","55","令和2年","木造","住宅","住宅","北","市道",25.0,"商業地域",80,700,"2021年第１四半期","",""
