"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"中古マンション等","","36201","徳島県","徳島市","安宅","阿波富田","26",1900000,"","１ＤＫ","20",,"","","","昭和60年","ＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2021年第１四半期","改装済",""
2,"宅地(土地と建物)","住宅地","36201","徳島県","徳島市","一宮町","鮎喰","1H?1H30",1800000,"","","190",,"長方形","10.0","80","昭和50年","軽量鉄骨造","住宅","住宅","北","私道",9.5,"市街化調整区域",70,200,"2021年第１四半期","",""
3,"林地","","36201","徳島県","徳島市","一宮町","","",100000,"","","300",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
4,"農地","","36201","徳島県","徳島市","応神町西貞方","","",50000,"","","180",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
5,"宅地(土地)","住宅地","36201","徳島県","徳島市","応神町吉成","吉成","9",10000000,"45000","","740",13000,"ほぼ正方形","28.2","","","","","","北","県道",8.5,"市街化調整区域",70,200,"2021年第１四半期","",""
6,"農地","","36201","徳島県","徳島市","応神町吉成","","",420000,"","","140",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
7,"宅地(土地)","住宅地","36201","徳島県","徳島市","大原町","中田(徳島)","30分?60分",9700000,"120000","","260",37000,"長方形","17.8","","","","","","西","市道",6.0,"第１種低層住居専用地域",60,100,"2021年第１四半期","",""
8,"宅地(土地と建物)","住宅地","36201","徳島県","徳島市","大松町","地蔵橋","6",3500000,"","","100",,"ほぼ整形","10.7","","","","","","西","県道",6.0,"市街化調整区域",70,200,"2021年第１四半期","",""
9,"宅地(土地と建物)","住宅地","36201","徳島県","徳島市","沖浜町","二軒屋","7",37000000,"","","1000",,"不整形","15.3","150","昭和57年","軽量鉄骨造","住宅","","南","市道",4.0,"第１種住居地域",60,200,"2021年第１四半期","",""
10,"宅地(土地と建物)","住宅地","36201","徳島県","徳島市","上八万町","文化の森","1H?1H30",15000000,"","","190",,"長方形","15.0","135","昭和62年","木造","住宅","住宅","南","市道",6.0,"市街化調整区域",60,200,"2021年第１四半期","",""
11,"宅地(土地と建物)","住宅地","36201","徳島県","徳島市","上八万町","文化の森","1H?1H30",13000000,"","","220",,"正方形","15.0","160","平成5年","木造","住宅","住宅","南西","市道",6.0,"市街化調整区域",60,200,"2021年第１四半期","",""
12,"宅地(土地)","住宅地","36201","徳島県","徳島市","川内町","徳島","1H?1H30",5600000,"80000","","230",24000,"ほぼ長方形","6.4","","","","","住宅","南","市道",4.5,"市街化調整区域",70,200,"2021年第１四半期","",""
13,"宅地(土地)","住宅地","36201","徳島県","徳島市","川内町","徳島","1H?1H30",7500000,"95000","","260",29000,"長方形","13.0","","","","","住宅","北","市道",6.0,"市街化調整区域",70,200,"2021年第１四半期","",""
14,"宅地(土地と建物)","住宅地","36201","徳島県","徳島市","川内町","徳島","1H?1H30",7000000,"","","165",,"長方形","11.0","80","昭和53年","木造","住宅","事務所","西","私道",5.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
