"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","39201","高知県","高知市","曙町","朝倉(ＪＲ)","10",12000000,"","","130",,"ほぼ台形","6.0","80","昭和47年","木造","住宅","住宅","南","市道",4.3,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
2,"宅地(土地)","住宅地","39201","高知県","高知市","朝倉","朝倉(ＪＲ)","11",2500000,"140000","","60",42000,"不整形","15.0","","","","","その他","北","国道",9.0,"第２種中高層住居専用地域",60,200,"2021年第１四半期","",""
3,"宅地(土地)","住宅地","39201","高知県","高知市","朝倉","朝倉(ＪＲ)","23",4000000,"110000","","115",35000,"ほぼ長方形","6.2","","","","","住宅","北","私道",4.0,"",,,"2021年第１四半期","",""
4,"林地","","39201","高知県","高知市","朝倉","","",50000,"","","380",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
5,"林地","","39201","高知県","高知市","朝倉","","",1600000,"","","540",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
6,"農地","","39201","高知県","高知市","朝倉","","",460000,"","","310",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
7,"林地","","39201","高知県","高知市","朝倉","","",3900000,"","","1700",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
8,"宅地(土地)","住宅地","39201","高知県","高知市","朝倉横町","朝倉(ＪＲ)","12",3600000,"240000","","50",72000,"ほぼ長方形","9.0","","","","","","西","市道",4.4,"第２種中高層住居専用地域",60,200,"2021年第１四半期","",""
9,"宅地(土地)","住宅地","39201","高知県","高知市","薊野西町","薊野","11",8000000,"180000","","145",55000,"ほぼ長方形","16.8","","","","","住宅","東","市道",4.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
10,"宅地(土地と建物)","住宅地","39201","高知県","高知市","薊野西町","高知","25",31000000,"","","100",,"ほぼ長方形","9.2","","令和3年","木造","住宅","住宅","南東","市道",4.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
11,"宅地(土地)","住宅地","39201","高知県","高知市","愛宕町","高知","8",7400000,"350000","","70",110000,"ほぼ台形","13.0","","","","","その他","北","市道",11.2,"近隣商業地域",80,300,"2021年第１四半期","",""
12,"宅地(土地と建物)","住宅地","39201","高知県","高知市","愛宕町","高知","19",17000000,"","","130",,"ほぼ長方形","10.9","140","昭和59年","木造","住宅、共同住宅","その他","北","市道",4.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
13,"宅地(土地)","住宅地","39201","高知県","高知市","愛宕町","高知","9",6000000,"310000","","65",94000,"ほぼ長方形","5.9","","","","","その他","南","市道",4.0,"第１種住居地域",60,200,"2021年第１四半期","",""
14,"宅地(土地)","住宅地","39201","高知県","高知市","井口町","旭(高知)","12",2400000,"120000","","65",36000,"ほぼ長方形","12.0","","","","","","北","市道",3.2,"第１種住居地域",60,200,"2021年第１四半期","",""
15,"林地","","39201","高知県","高知市","池","","",270000,"","","1300",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
16,"宅地(土地)","宅地見込地","39201","高知県","高知市","一宮中町","土佐一宮","10",3000000,"26000","","380",7900,"ほぼ台形","19.0","","","","","","南","市道",3.2,"第１種住居地域",60,200,"2021年第１四半期","",""
17,"宅地(土地)","宅地見込地","39201","高知県","高知市","一宮中町","土佐一宮","10",15000000,"58000","","870",18000,"不整形","15.2","","","","","","南","市道",3.2,"第１種住居地域",60,200,"2021年第１四半期","",""
18,"中古マンション等","","39201","高知県","高知市","一宮東町","土佐一宮","18",12000000,"","３ＬＤＫ","70",,"","","","平成14年","ＳＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2021年第１四半期","未改装",""
19,"宅地(土地)","住宅地","39201","高知県","高知市","入明町","入明","2",19000000,"350000","","180",110000,"ほぼ長方形","9.1","","","","","住宅","南東","市道",4.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
20,"宅地(土地)","住宅地","39201","高知県","高知市","潮新町","高知","28",50000000,"170000","","970",52000,"ほぼ長方形","46.0","","","","","","南","市道",5.0,"第１種住居地域",60,200,"2021年第１四半期","",""
21,"宅地(土地)","住宅地","39201","高知県","高知市","浦戸","高知","2H?",300000,"19000","","50",5700,"ほぼ長方形","10.2","","","","","その他","接面道路無","",,"",,,"2021年第１四半期","",""
22,"宅地(土地と建物)","住宅地","39201","高知県","高知市","浦戸","高知","2H?",1000000,"","","100",,"ほぼ長方形","10.3","90","昭和52年","木造","住宅","住宅","南東","市道",3.7,"第１種住居地域",60,200,"2021年第１四半期","",""
23,"農地","","39201","高知県","高知市","大津","","",1100000,"","","710",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
24,"宅地(土地と建物)","住宅地","39201","高知県","高知市","小倉町","高知","30分?60分",28000000,"","","130",,"ほぼ長方形","7.4","160","平成24年","鉄骨造","住宅","","北","市道",6.4,"工業地域",60,200,"2021年第１四半期","",""
25,"農地","","39201","高知県","高知市","鏡小浜","","",1000000,"","","590",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
26,"林地","","39201","高知県","高知市","鏡敷ノ山","","",80000,"","","1600",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
27,"林地","","39201","高知県","高知市","鏡的渕","","",220000,"","","1400",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
28,"宅地(土地と建物)","住宅地","39201","高知県","高知市","葛島","高知","30分?60分",65000000,"","","280",,"ほぼ長方形","11.8","230","平成2年","ＲＣ","共同住宅","住宅","北","市道",12.0,"第１種中高層住居専用地域",60,200,"2021年第１四半期","",""
29,"林地","","39201","高知県","高知市","北秦泉寺","","",900000,"","","360",,"","","","","","","","","",,"",,,"2021年第１四半期","",""
