"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
1,"宅地(土地と建物)","住宅地","43101","熊本県","熊本市中央区","大江","新水前寺","7",25000000,"","","120",,"長方形","8.0","170","昭和63年","鉄骨造","共同住宅、事務所、店舗","","北東","市道",8.0,"第２種住居地域",60,200,"2021年第１四半期","",""
2,"宅地(土地)","住宅地","43101","熊本県","熊本市中央区","大江","水前寺","6",18000000,"480000","","120",140000,"正方形","11.0","","","","","住宅","南","市道",6.0,"第２種住居地域",60,200,"2021年第１四半期","",""
3,"中古マンション等","","43101","熊本県","熊本市中央区","大江","水前寺","15",40000000,"","４ＬＤＫ","85",,"","","","平成28年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,200,"2021年第１四半期","改装済",""
4,"中古マンション等","","43101","熊本県","熊本市中央区","大江","水前寺","15",26000000,"","２ＬＤＫ","60",,"","","","平成28年","ＲＣ","住宅","住宅","","",,"",,,"2021年第１四半期","",""
5,"中古マンション等","","43101","熊本県","熊本市中央区","大江","水前寺","26",11000000,"","２ＬＤＫ","60",,"","","","平成3年","ＳＲＣ","住宅","住宅","","",,"近隣商業地域",60,200,"2021年第１四半期","未改装",""
6,"中古マンション等","","43101","熊本県","熊本市中央区","大江","水前寺","19",42000000,"","４ＬＤＫ","85",,"","","","平成28年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,200,"2021年第１四半期","改装済",""
7,"中古マンション等","","43101","熊本県","熊本市中央区","大江","藤崎宮前","18",2700000,"","１ＤＫ","20",,"","","","平成3年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,300,"2021年第１四半期","未改装",""
8,"宅地(土地)","住宅地","43101","熊本県","熊本市中央区","帯山","水前寺","30分?60分",18000000,"120000","","500",36000,"長方形","","","","","","住宅","東","私道",4.0,"第１種中高層住居専用地域",60,150,"2021年第１四半期","","私道を含む取引"
9,"宅地(土地と建物)","住宅地","43101","熊本県","熊本市中央区","帯山","水前寺","25",64000000,"","","740",,"不整形","23.0","65","昭和51年","木造","住宅","","東","市道",5.0,"第１種住居地域",60,150,"2021年第１四半期","",""
10,"宅地(土地と建物)","住宅地","43101","熊本県","熊本市中央区","帯山","東海学園前","24",40000000,"","","250",,"長方形","9.0","290","平成3年","ＲＣ","共同住宅","住宅","南東","市道",7.0,"第２種中高層住居専用地域",60,150,"2021年第１四半期","",""
11,"中古マンション等","","43101","熊本県","熊本市中央区","鍛冶屋町","熊本","18",1800000,"","１Ｋ","15",,"","","","平成2年","","","住宅","","",,"商業地域",80,500,"2021年第１四半期","未改装",""
12,"中古マンション等","","43101","熊本県","熊本市中央区","上鍛冶屋町","熊本","18",7500000,"","２ＤＫ","45",,"","","","昭和64年","","住宅","住宅","","",,"商業地域",80,500,"2021年第１四半期","改装済",""
13,"中古マンション等","","43101","熊本県","熊本市中央区","上鍛冶屋町","熊本","20",6000000,"","２ＬＤＫ＋Ｓ","65",,"","","","昭和61年","ＳＲＣ","","住宅","","",,"商業地域",80,500,"2021年第１四半期","未改装",""
14,"宅地(土地と建物)","住宅地","43101","熊本県","熊本市中央区","上京塚町","水前寺","26",81000000,"","","600",,"ほぼ台形","34.5","490","平成7年","ＲＣ","共同住宅","住宅","西","市道",4.0,"第１種中高層住居専用地域",60,150,"2021年第１四半期","",""
15,"宅地(土地)","商業地","43101","熊本県","熊本市中央区","辛島町","熊本","21",170000000,"1400000","","400",420000,"長方形","16.0","","","","","事務所","東","市道",27.0,"商業地域",80,600,"2021年第１四半期","","関係者間取引"
16,"宅地(土地と建物)","住宅地","43101","熊本県","熊本市中央区","京町","上熊本(ＪＲ・熊本電鉄)","10",12000000,"","","60",,"ほぼ正方形","8.5","210","昭和61年","鉄骨造","共同住宅、事務所","住宅","北","市道",10.5,"近隣商業地域",80,300,"2021年第１四半期","",""
17,"宅地(土地と建物)","住宅地","43101","熊本県","熊本市中央区","京町","上熊本(ＪＲ・熊本電鉄)","4",35000000,"","","290",,"不整形","11.5","310","平成5年","木造","住宅、駐車場","事務所","南西","市道",5.5,"第２種住居地域",60,200,"2021年第１四半期","",""
18,"宅地(土地)","商業地","43101","熊本県","熊本市中央区","京町本丁","上熊本(ＪＲ・熊本電鉄)","9",28000000,"520000","","175",160000,"ほぼ長方形","6.4","","","","","","東","県道",14.0,"近隣商業地域",80,300,"2021年第１四半期","",""
19,"宅地(土地と建物)","住宅地","43101","熊本県","熊本市中央区","九品寺","新水前寺","13",2000000,"","","130",,"ほぼ正方形","9.0","","","","住宅","その他","接面道路無","",,"第２種住居地域",60,200,"2021年第１四半期","",""
20,"中古マンション等","","43101","熊本県","熊本市中央区","九品寺","新水前寺","9",41000000,"","４ＬＤＫ","95",,"","","","平成25年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2021年第１四半期","改装済",""
21,"中古マンション等","","43101","熊本県","熊本市中央区","九品寺","南熊本","15",15000000,"","３ＬＤＫ","70",,"","","","平成8年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,200,"2021年第１四半期","未改装",""
22,"中古マンション等","","43101","熊本県","熊本市中央区","九品寺","南熊本","15",13000000,"","３ＬＤＫ","55",,"","","","昭和63年","ＲＣ","住宅","住宅","","",,"第２種住居地域",60,200,"2021年第１四半期","未改装",""
23,"宅地(土地と建物)","住宅地","43101","熊本県","熊本市中央区","黒髪","竜田口","5",4000000,"","","330",,"ほぼ長方形","8.0","180","昭和47年","木造","共同住宅","その他","南","市道",4.0,"第１種中高層住居専用地域",60,150,"2021年第１四半期","",""
24,"宅地(土地と建物)","住宅地","43101","熊本県","熊本市中央区","紺屋町","熊本","18",45000000,"","","165",,"ほぼ長方形","8.0","370","昭和61年","鉄骨造","住宅、店舗","住宅","北西","市道",5.5,"商業地域",80,500,"2021年第１四半期","",""
25,"宅地(土地と建物)","住宅地","43101","熊本県","熊本市中央区","子飼本町","黒髪町","12",35000000,"","","105",,"不整形","8.0","155","平成29年","木造","住宅、駐車場","住宅","北","市道",4.0,"第１種住居地域",60,200,"2021年第１四半期","",""
26,"中古マンション等","","43101","熊本県","熊本市中央区","国府","新水前寺","15",11000000,"","４ＬＤＫ","85",,"","","","平成10年","ＲＣ","","住宅","","",,"第２種中高層住居専用地域",60,200,"2021年第１四半期","未改装","調停・競売等"
27,"宅地(土地)","住宅地","43101","熊本県","熊本市中央区","琴平","南熊本","11",33000000,"200000","","560",59000,"ほぼ長方形","15.0","","","","","","南","市道",3.0,"",,,"2021年第１四半期","",""
28,"宅地(土地)","住宅地","43101","熊本県","熊本市中央区","琴平","南熊本","5",32000000,"250000","","420",76000,"ほぼ台形","","","","","","住宅","北西","市道",3.5,"第２種住居地域",60,200,"2021年第１四半期","",""
29,"宅地(土地と建物)","住宅地","43101","熊本県","熊本市中央区","琴平本町","南熊本","11",62000000,"","","240",,"ほぼ長方形","11.0","195","令和3年","木造","共同住宅","住宅","南","道路",1.0,"第２種住居地域",60,200,"2021年第１四半期","",""
30,"宅地(土地と建物)","住宅地","43101","熊本県","熊本市中央区","十禅寺","熊本","25",33000000,"","","195",,"長方形","11.5","120","平成26年","木造","住宅","住宅","南","市道",3.5,"第２種住居地域",60,200,"2021年第１四半期","",""
31,"宅地(土地と建物)","住宅地","43101","熊本県","熊本市中央区","新大江","水前寺","14",26000000,"","","180",,"ほぼ長方形","","125","平成30年","木造","事務所","事務所","北東","市道",4.0,"第２種中高層住居専用地域",60,200,"2021年第１四半期","",""
32,"中古マンション等","","43101","熊本県","熊本市中央区","新大江","水前寺","10",37000000,"","３ＬＤＫ","85",,"","","","平成31年","ＲＣ","住宅","住宅","","",,"第２種中高層住居専用地域",60,200,"2021年第１四半期","未改装",""
33,"宅地(土地)","商業地","43101","熊本県","熊本市中央区","新町","熊本","19",2600000,"250000","","35",77000,"長方形","5.5","","","","","その他","北","県道",10.5,"商業地域",80,400,"2021年第１四半期","",""
34,"中古マンション等","","43101","熊本県","熊本市中央区","新町","熊本","21",7600000,"","４ＬＤＫ","65",,"","","","昭和63年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,400,"2021年第１四半期","未改装",""
35,"中古マンション等","","43101","熊本県","熊本市中央区","新町","熊本","25",17000000,"","４ＬＤＫ","90",,"","","","平成12年","","","住宅","","",,"商業地域",80,400,"2021年第１四半期","未改装",""
36,"宅地(土地と建物)","商業地","43101","熊本県","熊本市中央区","新屋敷","新水前寺","15",500000000,"","","580",,"長方形","21.8","2000㎡以上","昭和49年","ＳＲＣ","事務所","事務所","南西","県道",37.0,"商業地域",80,400,"2021年第１四半期","",""
37,"宅地(土地)","商業地","43101","熊本県","熊本市中央区","新屋敷","水前寺","24",67000000,"750000","","300",230000,"長方形","11.0","","","","","その他","北","県道",11.5,"第２種住居地域",60,200,"2021年第１四半期","",""
38,"宅地(土地)","住宅地","43101","熊本県","熊本市中央区","水前寺","水前寺","4",220000000,"1000000","","730",310000,"ほぼ整形","36.0","","","","","その他","南東","市道",8.5,"近隣商業地域",80,300,"2021年第１四半期","",""
39,"中古マンション等","","43101","熊本県","熊本市中央区","水前寺","水前寺","8",19000000,"","３ＬＤＫ","100",,"","","","昭和61年","","住宅","住宅","","",,"第２種中高層住居専用地域",60,200,"2021年第１四半期","改装済",""
40,"中古マンション等","","43101","熊本県","熊本市中央区","水前寺","水前寺","1",26000000,"","４ＬＤＫ","80",,"","","","平成18年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,400,"2021年第１四半期","未改装",""
41,"中古マンション等","","43101","熊本県","熊本市中央区","水前寺","水前寺","8",3100000,"","３ＬＤＫ","60",,"","","","昭和49年","ＳＲＣ","","その他","","",,"近隣商業地域",80,300,"2021年第１四半期","",""
42,"宅地(土地)","住宅地","43101","熊本県","熊本市中央区","水前寺公園","水前寺","16",40000000,"330000","","390",100000,"不整形","28.5","","","","","住宅","東","市道",4.0,"第２種中高層住居専用地域",60,200,"2021年第１四半期","",""
43,"宅地(土地と建物)","商業地","43101","熊本県","熊本市中央区","中央街","熊本","30分?60分",30000000,"","","115",,"長方形","8.0","540","昭和47年","ＳＲＣ","事務所","店舗","北西","市道",8.0,"商業地域",80,600,"2021年第１四半期","",""
44,"中古マンション等","","43101","熊本県","熊本市中央区","中央街","熊本","30分?60分",15000000,"","３ＬＤＫ","70",,"","","","平成13年","","","住宅","","",,"商業地域",80,600,"2021年第１四半期","未改装",""
45,"宅地(土地)","住宅地","43101","熊本県","熊本市中央区","坪井","上熊本(ＪＲ・熊本電鉄)","26",3000000,"180000","","55",53000,"ほぼ長方形","8.5","","","","","その他","北","市道",4.0,"近隣商業地域",80,300,"2021年第１四半期","",""
46,"中古マンション等","","43101","熊本県","熊本市中央区","坪井","上熊本(ＪＲ・熊本電鉄)","30分?60分",6000000,"","３ＬＤＫ","75",,"","","","昭和64年","ＳＲＣ","","住宅","","",,"",,,"2021年第１四半期","未改装",""
47,"宅地(土地と建物)","住宅地","43101","熊本県","熊本市中央区","坪井","黒髪町","5",30000000,"","","320",,"ほぼ台形","9.0","160","平成13年","木造","住宅","住宅","南","市道",4.0,"第１種住居地域",60,200,"2021年第１四半期","",""
48,"宅地(土地)","住宅地","43101","熊本県","熊本市中央区","坪井","藤崎宮前","7",45000000,"350000","","420",110000,"不整形","5.5","","","","","その他","北","市道",7.0,"近隣商業地域",80,300,"2021年第１四半期","",""
