都道府県名,件数,金額（千円）
北海道,565,507867
青森県,117,47961
岩手県,756,521883
宮城県,65,35441
秋田県,134,80663
山形県,402,219741
福島県,424,118149
茨城県,122,104755
栃木県,91,75667
群馬県,492,129509
埼玉県,394,358062
千葉県,2048,993892
東京都,2579,4165565
神奈川県,1309,708853
新潟県,151,35943
富山県,248,24792
石川県,288,104065
福井県,93,25273
山梨県,13,1982
長野県,185,84373
岐阜県,293,62806
静岡県,362,180237
愛知県,360,255995
三重県,341,133622
滋賀県,424,241285
京都府,1980,674246
大阪府,3649,1452603
兵庫県,1148,601141
奈良県,397,134162
和歌山県,146,101954
鳥取県,108,44932
島根県,165,106175
岡山県,31,19166
広島県,179,65407
山口県,143,40414
徳島県,86,41615
香川県,299,30182
愛媛県,295,126750
高知県,176,45743
福岡県,2669,1102096
佐賀県,14,3343
長崎県,549,415357
熊本県,93,62386
大分県,694,162296
宮崎県,184,65246
鹿児島県,359,120570
沖縄県,630,190192
