都道府県名,男,女,不明,合計人数
北海道,32,1,14,47
青森県,0,0,0,0
岩手県,1,1,0,2
宮城県,72,8,9,89
秋田県,0,0,0,0
山形県,0,0,0,0
福島県,17,0,0,17
茨城県,16,0,0,16
栃木県,20,0,0,20
群馬県,15,3,2,20
埼玉県,171,8,12,191
千葉県,156,9,14,179
東京都,1088,38,0,1126
神奈川県,860,29,10,899
新潟県,11,0,0,11
富山県,2,0,3,5
石川県,4,0,0,4
福井県,1,0,0,1
山梨県,2,0,0,2
長野県,1,1,0,2
岐阜県,11,1,0,12
静岡県,40,3,24,67
愛知県,147,3,24,67
三重県,12,1,0,13
滋賀県,0,0,0,0
京都府,41,3,1,45
大阪府,1039,25,0,1064
兵庫県,90,7,12,109
奈良県,0,0,0,0
和歌山県,17,2,1,20
鳥取県,3,0,0,3
島根県,0,0,0,0
岡山県,8,1,4,13
広島県,29,2,0,31
山口県,1,0,0,1
徳島県,4,0,0,4
香川県,3,0,0,3
愛媛県,5,1,0,6
高知県,1,0,0,1
福岡県,236,12,2,250
佐賀県,10,0,0,10
長崎県,2,0,0,2
熊本県,13,0,0,13
大分県,4,1,0,5
宮崎県,2,0,0,2
鹿児島県,10,1,1,12
沖縄県,56,2,0,58
